rep,run,shelf,plate,line,trt,read time,start,end,start count,end count,germinated,notes
1,1,6,209,001-1,15,,439.78,Inf,4,10,6,
1,1,2,67,100-1,15,,437.63,Inf,4,10,6,
1,1,8,253,104-2,15,,440.4,Inf,4,10,6,
1,1,3,107,130-1,0,,437.9,Inf,4,10,6,
1,1,4,144,130-1,20,,437.9,Inf,4,10,6,
1,1,6,204,135-2,0,,439.78,Inf,4,10,6,
1,2,8,276,136-1,10,2/13/16 8:44,59.32,107.23,0,6,6,
1,1,3,89,139-1,10,,437.9,Inf,4,10,6,
1,1,4,129,143-1,15,1/24/16 8:59,101.98,150.48,2,8,6,
1,1,5,173,145-1,0,,438.45,Inf,4,10,6,
1,1,6,193,145-1,20,,439.78,Inf,4,10,6,
1,1,2,56,146-1,0,,437.63,Inf,4,10,6,
1,1,8,254,146-1,15,,440.4,Inf,4,10,6,
1,1,9,294,149-1,0,1/24/16 9:14,102.32,150.73,2,8,6,
1,2,1,18,150-1,15,2/13/16 8:26,60.58,108.43,0,6,6,
1,2,6,182,152-1,15,2/13/16 8:39,59.58,107.48,0,6,6,
1,2,7,226,152-1,10,2/13/16 8:42,59.45,107.37,0,6,6,
1,1,5,164,153-2,20,1/26/16 8:53,150.53,198.38,1,7,6,
1,1,9,322,156-2,0,2/1/16 8:59,295.43,342.48,3,9,6,
1,1,1,18,164-2,10,1/28/16 8:28,198.12,245.97,2,2,6,
1,1,1,18,164-2,10,,437.63,Inf,4,10,6,
1,2,8,282,168-1,10,2/13/16 8:44,59.32,107.23,0,6,6,
1,1,2,70,177-2,0,,437.63,Inf,4,10,6,
1,1,8,286,177-2,15,,440.4,Inf,4,10,6,
1,1,4,133,179-1,20,1/26/16 8:49,150.48,198.32,0,6,6,
1,1,8,261,179-1,10,1/26/16 9:03,150.67,198.55,4,10,6,
1,1,5,158,182-1,10,1/24/16 9:02,102.07,150.53,0,6,6,
1,1,9,300,186-1,15,,440.62,Inf,4,10,6,
1,1,1,13,187-2,10,1/28/16 8:28,198.12,245.97,3,9,6,
1,1,5,172,189-1,15,,438.45,Inf,4,10,6,
1,1,4,123,190-2,0,,437.9,Inf,4,10,6,
1,1,1,7,208-1,15,,437.63,Inf,4,10,6,
1,1,8,273,208-2,15,,440.4,Inf,4,10,6,
1,1,9,307,215-2,15,1/24/16 9:14,102.32,150.73,0,6,6,
1,2,7,231,217-1,0,2/13/16 8:42,59.45,107.37,0,6,6,
1,1,6,203,218-1,10,1/22/16 8:34,54.07,102.07,0,6,6,
1,1,3,87,219-1,0,,437.9,Inf,4,10,6,
1,2,7,218,76-1,20,2/13/16 8:42,59.45,107.37,0,6,6,
1,1,4,134,77-1,20,1/26/16 8:49,150.48,198.32,0,6,6,
1,2,1,13,77-2,10,2/13/16 8:26,60.58,108.43,0,6,6,
1,1,6,183,79-1,10,1/22/16 8:34,54.07,102.07,0,6,6,
1,2,5,167,80-1,0,2/13/16 8:36,59.72,107.6,0,6,6,
1,2,8,258,80-1,10,2/13/16 8:44,59.32,107.23,0,6,6,
1,1,3,97,81-2,15,1/22/16 8:29,54,101.98,0,6,6,
1,1,3,100,92-1,20,1/24/16 8:56,101.98,150.43,0,6,6,
1,2,2,43,98-2,10,2/13/16 8:29,60.37,108.23,0,6,6,
1,2,4,131,98-2,15,2/13/16 8:33,59.93,107.8,0,6,6,
1,1,4,124,Johnny's,15,1/30/16 9:39,246.1,295.15,3,9,6,
1,1,6,192,Johnny's,20,,439.78,Inf,4,10,6,
1,1,1,35,100-1,15,,437.63,Inf,5,10,5,
1,1,3,91,100-1,0,1/28/16 8:33,198.22,246.05,0,5,5,
1,1,5,160,100-2,15,,438.45,Inf,5,10,5,
1,1,4,138,104-2,0,1/28/16 8:36,198.32,246.1,2,7,5,
1,2,1,20,120-1,15,2/13/16 8:26,60.58,108.43,0,5,5,
1,1,2,48,122-2,0,1/28/16 8:28,198.17,245.97,1,6,5,
1,1,1,17,125-2,0,,437.63,Inf,5,10,5,
1,2,8,288,128-1,10,2/13/16 8:44,59.32,107.23,0,5,5,
1,1,4,126,130-1,15,,437.9,Inf,5,10,5,
1,1,5,156,130-1,10,,438.45,Inf,5,10,5,
