Rep,Run,Shelf,Plate,Line,Trt,Type,end,germ,disease,drop
3,6,1,15,219-1,0,,215.66,0,1,
3,6,1,15,219-1,0,,264.06,0,1,
3,6,1,15,219-1,0,,312.03,2,1,
3,6,1,15,219-1,0,,360.06,2,1,
3,6,1,15,219-1,0,,408.1,2,1,
3,6,1,15,219-1,0,,456.02,3,3,
3,6,1,15,219-1,0,,527.81,3,3,
3,6,1,15,219-1,0,,Inf,7,3,
3,6,1,16,156-1,10,,71.95,0,0,
3,6,1,16,156-1,10,,120.03,0,0,
3,6,1,16,156-1,10,,167.99,0,0,
3,6,1,16,156-1,10,,215.66,2,0,
3,6,1,16,156-1,10,,264.06,4,0,
3,6,1,16,156-1,10,,312.03,4,0,
3,6,1,16,156-1,10,,360.06,5,2,
3,6,1,16,156-1,10,,408.1,5,3,
3,6,1,16,156-1,10,,456.02,5,4,
3,6,1,16,156-1,10,,527.81,6,4,
3,6,1,16,156-1,10,,Inf,6,4,
3,6,1,17,215-1,0,,71.95,0,0,
3,6,1,17,215-1,0,,120.03,3,0,
3,6,1,17,215-1,0,,167.99,4,0,
3,6,1,17,215-1,0,,215.66,5,1,
3,6,1,17,215-1,0,,264.06,5,3,
3,6,1,17,215-1,0,,312.03,5,5,
3,6,1,17,215-1,0,,360.06,5,5,
3,6,1,17,215-1,0,,408.1,5,5,
3,6,1,17,215-1,0,,456.02,5,5,
3,6,1,17,215-1,0,,527.81,5,5,
3,6,1,17,215-1,0,,Inf,5,5,
3,6,1,18,134-1,20,,71.95,0,0,
3,6,1,18,134-1,20,,120.03,0,0,
3,6,1,18,134-1,20,,167.99,0,0,
3,6,1,18,134-1,20,,215.66,3,0,
3,6,1,18,134-1,20,,264.06,3,0,
3,6,1,18,134-1,20,,312.03,3,3,
3,6,1,18,134-1,20,,360.06,3,5,
3,6,1,18,134-1,20,,408.1,3,5,
3,6,1,18,134-1,20,,456.02,3,7,
3,6,1,18,134-1,20,,527.81,3,7,
3,6,1,18,134-1,20,,Inf,3,7,
3,6,1,19,190-2,10,,71.95,0,0,
3,6,1,19,190-2,10,,120.03,0,0,
3,6,1,19,190-2,10,,167.99,0,0,
3,6,1,19,190-2,10,,215.66,2,0,
3,6,1,19,190-2,10,,264.06,2,1,
3,6,1,19,190-2,10,,312.03,3,1,
3,6,1,19,190-2,10,,360.06,3,1,
3,6,1,19,190-2,10,,408.1,3,4,
3,6,1,19,190-2,10,,456.02,3,4,
3,6,1,19,190-2,10,,527.81,3,5,
3,6,1,19,190-2,10,,Inf,3,7,
3,6,1,20,119-2,20,,71.95,0,0,
3,6,1,20,119-2,20,,120.03,0,0,
3,6,1,20,119-2,20,,167.99,0,0,
3,6,1,20,119-2,20,,215.66,0,0,
3,6,1,20,119-2,20,,264.06,0,0,
3,6,1,20,119-2,20,,312.03,1,0,
3,6,1,20,119-2,20,,360.06,1,0,
3,6,1,20,119-2,20,,408.1,1,0,
3,6,1,20,119-2,20,,456.02,1,0,
3,6,1,20,119-2,20,,527.81,1,0,
3,6,1,20,119-2,20,,Inf,10,0,
3,6,1,23,102-1,15,,71.95,0,0,
3,6,1,23,102-1,15,,120.03,1,0,
3,6,1,23,102-1,15,,167.99,2,0,
3,6,1,23,102-1,15,,215.66,3,0,
3,6,1,23,102-1,15,,264.06,6,0,
3,6,1,23,102-1,15,,312.03,9,1,
3,6,1,23,102-1,15,,360.06,9,1,
3,6,1,23,102-1,15,,408.1,9,1,
3,6,1,23,102-1,15,,456.02,9,1,
3,6,1,23,102-1,15,,527.81,9,1,
3,6,1,23,102-1,15,,Inf,9,1,
3,6,1,24,131-1,20,,71.95,0,0,
3,6,1,24,131-1,20,,120.03,2,0,
3,6,1,24,131-1,20,,167.99,4,0,
3,6,1,24,131-1,20,,215.66,4,1,
3,6,1,24,131-1,20,,264.06,4,2,
3,6,1,24,131-1,20,,312.03,5,3,
3,6,1,24,131-1,20,,360.06,5,3,
3,6,1,24,131-1,20,,408.1,5,3,
3,6,1,24,131-1,20,,456.02,5,3,
3,6,1,24,131-1,20,,527.81,5,2,
3,6,1,24,131-1,20,,Inf,7,3,
3,6,1,25,122-2,0,,71.95,0,0,
3,6,1,25,122-2,0,,120.03,0,0,
3,6,1,25,122-2,0,,167.99,2,0,
3,6,1,25,122-2,0,,215.66,3,0,
3,6,1,25,122-2,0,,264.06,5,0,
3,6,1,25,122-2,0,,312.03,6,2,
3,6,1,25,122-2,0,,360.06,6,2,
3,6,1,25,122-2,0,,408.1,8,1,
3,6,1,25,122-2,0,,456.02,8,2,
3,6,1,25,122-2,0,,527.81,8,2,
3,6,1,25,122-2,0,,Inf,8,2,
3,6,1,26,109-2,10,,71.95,0,0,
3,6,1,26,109-2,10,,120.03,0,1,
3,6,1,26,109-2,10,,167.99,0,1,
3,6,1,26,109-2,10,,215.66,3,1,
3,6,1,26,109-2,10,,264.06,4,1,
3,6,1,26,109-2,10,,312.03,4,1,
3,6,1,26,109-2,10,,360.06,5,2,
3,6,1,26,109-2,10,,408.1,5,2,
3,6,1,26,109-2,10,,456.02,5,2,
3,6,1,26,109-2,10,,527.81,7,2,
3,6,1,26,109-2,10,,Inf,7,3,
3,6,1,27,92-1,15,,71.95,0,0,
3,6,1,27,92-1,15,,120.03,1,0,
3,6,1,27,92-1,15,,167.99,1,0,
3,6,1,27,92-1,15,,215.66,3,0,
3,6,1,27,92-1,15,,264.06,3,0,
3,6,1,27,92-1,15,,312.03,4,0,
3,6,1,27,92-1,15,,360.06,4,0,
3,6,1,27,92-1,15,,408.1,4,0,
3,6,1,27,92-1,15,,456.02,4,0,
3,6,1,27,92-1,15,,527.81,4,0,
3,6,1,27,92-1,15,,Inf,6,4,
3,6,1,28,100-1,15,,71.95,0,0,
3,6,1,28,100-1,15,,120.03,1,0,
3,6,1,28,100-1,15,,167.99,3,0,
3,6,1,28,100-1,15,,215.66,4,0,
3,6,1,28,100-1,15,,264.06,9,1,
3,6,1,28,100-1,15,,312.03,9,1,
3,6,1,28,100-1,15,,360.06,9,1,
3,6,1,28,100-1,15,,408.1,9,1,
3,6,1,28,100-1,15,,456.02,9,1,
3,6,1,28,100-1,15,,527.81,9,1,
3,6,1,28,100-1,15,,Inf,9,1,
3,6,1,29,144-2,0,,71.95,0,0,
3,6,1,29,144-2,0,,120.03,2,0,
3,6,1,29,144-2,0,,167.99,3,0,
3,6,1,29,144-2,0,,215.66,3,0,
3,6,1,29,144-2,0,,264.06,3,1,
3,6,1,29,144-2,0,,312.03,3,1,
3,6,1,29,144-2,0,,360.06,3,3,
3,6,1,29,144-2,0,,408.1,3,4,
3,6,1,29,144-2,0,,456.02,3,5,
3,6,1,29,144-2,0,,527.81,3,7,
3,6,1,29,144-2,0,,Inf,3,7,
3,6,1,30,109-1,20,,71.95,0,0,
3,6,1,30,109-1,20,,120.03,0,0,
3,6,1,30,109-1,20,,167.99,0,2,
3,6,1,30,109-1,20,,215.66,0,2,
3,6,1,30,109-1,20,,264.06,0,2,
3,6,1,30,109-1,20,,312.03,0,3,
3,6,1,30,109-1,20,,360.06,1,3,
3,6,1,30,109-1,20,,408.1,1,3,
3,6,1,30,109-1,20,,456.02,1,6,
3,6,1,30,109-1,20,,527.81,1,6,
3,6,1,30,109-1,20,,Inf,4,6,
3,6,1,31,165-1,15,,71.95,0,0,
3,6,1,31,165-1,15,,120.03,3,0,
3,6,1,31,165-1,15,,167.99,4,1,
3,6,1,31,165-1,15,,215.66,6,1,
3,6,1,31,165-1,15,,264.06,7,1,
3,6,1,31,165-1,15,,312.03,7,3,
3,6,1,31,165-1,15,,360.06,7,3,
3,6,1,31,165-1,15,,408.1,7,3,
3,6,1,31,165-1,15,,456.02,7,3,
3,6,1,31,165-1,15,,527.81,7,3,
3,6,1,31,165-1,15,,Inf,7,3,
3,6,1,32,208-1,10,,71.95,0,1,
3,6,1,32,208-1,10,,120.03,0,1,
3,6,1,32,208-1,10,,167.99,0,1,
3,6,1,32,208-1,10,,215.66,0,1,
3,6,1,32,208-1,10,,264.06,1,1,
3,6,1,32,208-1,10,,312.03,1,2,
3,6,1,32,208-1,10,,360.06,2,2,
3,6,1,32,208-1,10,,408.1,2,2,
3,6,1,32,208-1,10,,456.02,2,2,
3,6,1,32,208-1,10,,527.81,5,2,
3,6,1,32,208-1,10,,Inf,8,2,
3,6,1,33,Johnny's,20,,71.95,0,0,
3,6,1,33,Johnny's,20,,120.03,0,0,
3,6,1,33,Johnny's,20,,167.99,0,1,
