,sampleid,line,rep,run,shelf,plate,trt,type,end,status,germinated,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
38,CanAbasolo1,215-2,1,1,5,155,20,E3,438.45,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
39,CanAbasolo1,215-2,5,5,9,291,20,E3,522,0,1,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
40,CanAbasolo1,215-2,1,1,5,155,20,E3,342.35,1,1,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
41,CanAbasolo1,215-2,2,3,4,137,10,E3,497.5,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
42,CanAbasolo1,215-2,3,5,3,78,10,E3,522,0,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
43,CanAbasolo1,215-2,1,1,4,125,10,E3,150.4833333,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
44,CanAbasolo1,215-2,1,1,4,125,10,E3,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
45,CanAbasolo1,215-2,3,5,9,297,0,E3,522,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
46,CanAbasolo1,215-2,5,5,8,261,15,E3,522,0,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
47,CanAbasolo1,215-2,3,5,9,297,0,E3,522,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
48,CanAbasolo1,215-2,2,3,4,121,15,E3,497.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
49,CanAbasolo1,215-2,3,5,8,261,15,E3,522,0,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
50,CanAbasolo1,215-2,2,3,4,121,15,E3,158.2,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
51,CanAbasolo1,215-2,3,5,9,297,0,E3,522,0,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
52,CanAbasolo1,215-2,3,5,9,291,20,E3,522,0,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
