rep,run,shelf,plate,line,trt,start time,read time,hours,count,notes
1,1,1,13,187-2,10,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,13,187-2,10,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,13,187-2,10,1/18/16 2:30,1/24/16 8:50,150.33,1,
1,1,1,13,187-2,10,1/18/16 2:30,1/26/16 8:37,198.12,3,
1,1,1,13,187-2,10,1/18/16 2:30,1/28/16 8:28,245.97,9,
1,1,1,13,187-2,10,1/18/16 2:30,1/30/16 9:25,294.92,9,
1,1,1,13,187-2,10,1/18/16 2:30,2/1/16 8:32,342.03,10,
1,1,1,13,187-2,10,1/18/16 2:30,2/3/16 8:23,389.88,10,
1,1,1,13,187-2,10,1/18/16 2:30,2/5/16 8:08,437.63,10,
1,1,1,14,140-1,0,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,14,140-1,0,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,14,140-1,0,1/18/16 2:30,1/22/16 8:24,101.9,1,
1,1,1,14,140-1,0,1/18/16 2:30,1/24/16 8:50,150.33,2,
1,1,1,14,140-1,0,1/18/16 2:30,1/26/16 8:37,198.12,3,
1,1,1,14,140-1,0,1/18/16 2:30,1/28/16 8:28,245.97,7,
1,1,1,14,140-1,0,1/18/16 2:30,1/30/16 9:25,294.92,3,
1,1,1,14,140-1,0,1/18/16 2:30,2/1/16 8:32,342.03,3,
1,1,1,14,140-1,0,1/18/16 2:30,2/3/16 8:23,389.88,3,
1,1,1,14,140-1,0,1/18/16 2:30,2/5/16 8:08,437.63,3,
1,1,1,15,81-2,20,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,15,81-2,20,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,15,81-2,20,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,15,81-2,20,1/18/16 2:30,1/24/16 8:50,150.33,1,
1,1,1,15,81-2,20,1/18/16 2:30,1/26/16 8:37,198.12,8,
1,1,1,15,81-2,20,1/18/16 2:30,1/28/16 8:28,245.97,9,
1,1,1,15,81-2,20,1/18/16 2:30,1/30/16 9:25,294.92,9,
1,1,1,15,81-2,20,1/18/16 2:30,2/1/16 8:32,342.03,9,
1,1,1,15,81-2,20,1/18/16 2:30,2/3/16 8:23,389.88,9,
1,1,1,15,81-2,20,1/18/16 2:30,2/5/16 8:08,437.63,9,
1,1,1,16,149-1,20,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,16,149-1,20,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,16,149-1,20,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,16,149-1,20,1/18/16 2:30,1/24/16 8:50,150.33,2,
1,1,1,16,149-1,20,1/18/16 2:30,1/26/16 8:37,198.12,6,
1,1,1,16,149-1,20,1/18/16 2:30,1/28/16 8:28,245.97,8,
1,1,1,16,149-1,20,1/18/16 2:30,1/30/16 9:25,294.92,8,
1,1,1,16,149-1,20,1/18/16 2:30,2/1/16 8:32,342.03,8,
1,1,1,16,149-1,20,1/18/16 2:30,2/3/16 8:23,389.88,8,
1,1,1,16,149-1,20,1/18/16 2:30,2/5/16 8:08,437.63,8,
1,1,1,17,125-2,0,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,17,125-2,0,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,17,125-2,0,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,17,125-2,0,1/18/16 2:30,1/24/16 8:50,150.33,0,
1,1,1,17,125-2,0,1/18/16 2:30,1/26/16 8:37,198.12,1,
1,1,1,17,125-2,0,1/18/16 2:30,1/28/16 8:28,245.97,2,
1,1,1,17,125-2,0,1/18/16 2:30,1/30/16 9:25,294.92,4,
1,1,1,17,125-2,0,1/18/16 2:30,2/1/16 8:32,342.03,5,
1,1,1,17,125-2,0,1/18/16 2:30,2/3/16 8:23,389.88,5,
1,1,1,17,125-2,0,1/18/16 2:30,2/5/16 8:08,437.63,5,
1,1,1,18,164-2,10,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,18,164-2,10,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,18,164-2,10,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,18,164-2,10,1/18/16 2:30,1/24/16 8:50,150.33,0,
1,1,1,18,164-2,10,1/18/16 2:30,1/26/16 8:37,198.12,2,
1,1,1,18,164-2,10,1/18/16 2:30,1/28/16 8:28,245.97,8,
1,1,1,18,164-2,10,1/18/16 2:30,1/30/16 9:25,294.92,2,
1,1,1,18,164-2,10,1/18/16 2:30,2/1/16 8:32,342.03,3,
1,1,1,18,164-2,10,1/18/16 2:30,2/3/16 8:23,389.88,4,
1,1,1,18,164-2,10,1/18/16 2:30,2/5/16 8:08,437.63,4,
1,1,1,20,170-1,20,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,20,170-1,20,1/18/16 2:30,1/20/16 8:30,54,0,
