,rep,run,shelf,plate,line,trt,end,status,number
26.3,1,1,1,6,173-1,10,Inf,0,4
27,1,1,1,7,208-1,15,294.9166667,1,1
28,1,1,1,7,208-1,15,389.8833333,1,3
28.1,1,1,1,7,208-1,15,389.8833333,1,3
28.2,1,1,1,7,208-1,15,389.8833333,1,3
29,1,1,1,7,208-1,15,Inf,0,6
29.1,1,1,1,7,208-1,15,Inf,0,6
29.2,1,1,1,7,208-1,15,Inf,0,6
29.3,1,1,1,7,208-1,15,Inf,0,6
29.4,1,1,1,7,208-1,15,Inf,0,6
29.5,1,1,1,7,208-1,15,Inf,0,6
30,1,1,1,9,77-1,10,101.9,1,7
30.1,1,1,1,9,77-1,10,101.9,1,7
30.2,1,1,1,9,77-1,10,101.9,1,7
30.3,1,1,1,9,77-1,10,101.9,1,7
30.4,1,1,1,9,77-1,10,101.9,1,7
30.5,1,1,1,9,77-1,10,101.9,1,7
30.6,1,1,1,9,77-1,10,101.9,1,7
31,1,1,1,9,77-1,10,150.3333333,1,3
31.1,1,1,1,9,77-1,10,150.3333333,1,3
31.2,1,1,1,9,77-1,10,150.3333333,1,3
32,1,1,1,10,174-1,0,101.9,1,3
32.1,1,1,1,10,174-1,0,101.9,1,3
32.2,1,1,1,10,174-1,0,101.9,1,3
33,1,1,1,10,174-1,0,150.3333333,1,3
33.1,1,1,1,10,174-1,0,150.3333333,1,3
33.2,1,1,1,10,174-1,0,150.3333333,1,3
34,1,1,1,10,174-1,0,198.1166667,1,2
34.1,1,1,1,10,174-1,0,198.1166667,1,2
35,1,1,1,10,174-1,0,Inf,0,2
35.1,1,1,1,10,174-1,0,Inf,0,2
36,1,1,1,11,100-1,10,150.3333333,1,1
37,1,1,1,11,100-1,10,245.9666667,1,5
37.1,1,1,1,11,100-1,10,245.9666667,1,5
37.2,1,1,1,11,100-1,10,245.9666667,1,5
37.3,1,1,1,11,100-1,10,245.9666667,1,5
37.4,1,1,1,11,100-1,10,245.9666667,1,5
38,1,1,1,11,100-1,10,342.0333333,1,3
38.1,1,1,1,11,100-1,10,342.0333333,1,3
38.2,1,1,1,11,100-1,10,342.0333333,1,3
39,1,1,1,11,100-1,10,Inf,0,1
40,1,1,1,12,140-2,15,150.3333333,1,1
41,1,1,1,12,140-2,15,245.9666667,1,1
42,1,1,1,12,140-2,15,Inf,0,8
42.1,1,1,1,12,140-2,15,Inf,0,8
42.2,1,1,1,12,140-2,15,Inf,0,8
42.3,1,1,1,12,140-2,15,Inf,0,8
42.4,1,1,1,12,140-2,15,Inf,0,8
42.5,1,1,1,12,140-2,15,Inf,0,8
42.6,1,1,1,12,140-2,15,Inf,0,8
42.7,1,1,1,12,140-2,15,Inf,0,8
43,1,1,1,13,187-2,10,150.3333333,1,1
44,1,1,1,13,187-2,10,198.1166667,1,2
44.1,1,1,1,13,187-2,10,198.1166667,1,2
45,1,1,1,13,187-2,10,245.9666667,1,6
45.1,1,1,1,13,187-2,10,245.9666667,1,6
45.2,1,1,1,13,187-2,10,245.9666667,1,6
45.3,1,1,1,13,187-2,10,245.9666667,1,6
45.4,1,1,1,13,187-2,10,245.9666667,1,6
45.5,1,1,1,13,187-2,10,245.9666667,1,6
46,1,1,1,13,187-2,10,342.0333333,1,1
47,1,1,1,14,140-1,0,101.9,1,1
48,1,1,1,14,140-1,0,150.3333333,1,1
49,1,1,1,14,140-1,0,198.1166667,1,1
50,1,1,1,14,140-1,0,Inf,0,7
50.1,1,1,1,14,140-1,0,Inf,0,7
50.2,1,1,1,14,140-1,0,Inf,0,7
50.3,1,1,1,14,140-1,0,Inf,0,7
50.4,1,1,1,14,140-1,0,Inf,0,7
50.5,1,1,1,14,140-1,0,Inf,0,7
50.6,1,1,1,14,140-1,0,Inf,0,7
51,1,1,1,15,81-2,20,150.3333333,1,1
52,1,1,1,15,81-2,20,198.1166667,1,7
52.1,1,1,1,15,81-2,20,198.1166667,1,7
52.2,1,1,1,15,81-2,20,198.1166667,1,7
52.3,1,1,1,15,81-2,20,198.1166667,1,7
52.4,1,1,1,15,81-2,20,198.1166667,1,7
52.5,1,1,1,15,81-2,20,198.1166667,1,7
52.6,1,1,1,15,81-2,20,198.1166667,1,7
53,1,1,1,15,81-2,20,245.9666667,1,1
54,1,1,1,15,81-2,20,Inf,0,1
55,1,1,1,16,149-1,20,150.3333333,1,2
55.1,1,1,1,16,149-1,20,150.3333333,1,2
56,1,1,1,16,149-1,20,198.1166667,1,4
56.1,1,1,1,16,149-1,20,198.1166667,1,4
56.2,1,1,1,16,149-1,20,198.1166667,1,4
56.3,1,1,1,16,149-1,20,198.1166667,1,4
57,1,1,1,16,149-1,20,245.9666667,1,2
57.1,1,1,1,16,149-1,20,245.9666667,1,2
58,1,1,1,16,149-1,20,Inf,0,2
58.1,1,1,1,16,149-1,20,Inf,0,2
59,1,1,1,17,125-2,0,198.1166667,1,1
60,1,1,1,17,125-2,0,245.9666667,1,1
61,1,1,1,17,125-2,0,294.9166667,1,2
61.1,1,1,1,17,125-2,0,294.9166667,1,2
62,1,1,1,17,125-2,0,342.0333333,1,1
63,1,1,1,17,125-2,0,Inf,0,5
63.1,1,1,1,17,125-2,0,Inf,0,5
63.2,1,1,1,17,125-2,0,Inf,0,5
63.3,1,1,1,17,125-2,0,Inf,0,5
63.4,1,1,1,17,125-2,0,Inf,0,5
64,1,1,1,18,164-2,10,198.1166667,1,2
64.1,1,1,1,18,164-2,10,198.1166667,1,2
65,1,1,1,18,164-2,10,342.0333333,1,1
66,1,1,1,18,164-2,10,389.8833333,1,1
67,1,1,1,18,164-2,10,Inf,0,4
67.1,1,1,1,18,164-2,10,Inf,0,4
67.2,1,1,1,18,164-2,10,Inf,0,4
67.3,1,1,1,18,164-2,10,Inf,0,4
68,1,1,1,20,170-1,20,198.1166667,1,3
68.1,1,1,1,20,170-1,20,198.1166667,1,3
68.2,1,1,1,20,170-1,20,198.1166667,1,3
69,1,1,1,20,170-1,20,245.9666667,1,4
69.1,1,1,1,20,170-1,20,245.9666667,1,4
69.2,1,1,1,20,170-1,20,245.9666667,1,4
69.3,1,1,1,20,170-1,20,245.9666667,1,4
70,1,1,1,20,170-1,20,294.9166667,1,1
71,1,1,1,20,170-1,20,Inf,0,2
71.1,1,1,1,20,170-1,20,Inf,0,2
72,1,1,1,21,151-2,10,101.9,1,3
72.1,1,1,1,21,151-2,10,101.9,1,3
72.2,1,1,1,21,151-2,10,101.9,1,3
73,1,1,1,21,151-2,10,150.3333333,1,1
74,1,1,1,21,151-2,10,294.9166667,1,1
75,1,1,1,21,151-2,10,Inf,0,5
75.1,1,1,1,21,151-2,10,Inf,0,5
75.2,1,1,1,21,151-2,10,Inf,0,5
75.3,1,1,1,21,151-2,10,Inf,0,5
75.4,1,1,1,21,151-2,10,Inf,0,5
76,1,1,1,22,75-1,0,150.3333333,1,1
77,1,1,1,22,75-1,0,198.1166667,1,4
77.1,1,1,1,22,75-1,0,198.1166667,1,4
77.2,1,1,1,22,75-1,0,198.1166667,1,4
77.3,1,1,1,22,75-1,0,198.1166667,1,4
78,1,1,1,22,75-1,0,245.9666667,1,3
78.1,1,1,1,22,75-1,0,245.9666667,1,3
78.2,1,1,1,22,75-1,0,245.9666667,1,3
79,1,1,1,22,75-1,0,389.8833333,1,1
80,1,1,1,22,75-1,0,Inf,0,1
81,1,1,1,23,137-2,0,101.9,1,5
81.1,1,1,1,23,137-2,0,101.9,1,5
81.2,1,1,1,23,137-2,0,101.9,1,5
81.3,1,1,1,23,137-2,0,101.9,1,5
81.4,1,1,1,23,137-2,0,101.9,1,5
82,1,1,1,23,137-2,0,150.3333333,1,2
82.1,1,1,1,23,137-2,0,150.3333333,1,2
83,1,1,1,23,137-2,0,198.1166667,1,3
83.1,1,1,1,23,137-2,0,198.1166667,1,3
83.2,1,1,1,23,137-2,0,198.1166667,1,3
84,1,1,1,24,77-1,15,101.9,1,3
84.1,1,1,1,24,77-1,15,101.9,1,3
84.2,1,1,1,24,77-1,15,101.9,1,3
85,1,1,1,24,77-1,15,150.3333333,1,5
85.1,1,1,1,24,77-1,15,150.3333333,1,5
85.2,1,1,1,24,77-1,15,150.3333333,1,5
85.3,1,1,1,24,77-1,15,150.3333333,1,5
85.4,1,1,1,24,77-1,15,150.3333333,1,5
86,1,1,1,24,77-1,15,198.1166667,1,2
86.1,1,1,1,24,77-1,15,198.1166667,1,2
87,1,1,1,25,100-2,10,245.9666667,1,2
87.1,1,1,1,25,100-2,10,245.9666667,1,2
88,1,1,1,25,100-2,10,342.0333333,1,1
89,1,1,1,25,100-2,10,389.8833333,1,3
89.1,1,1,1,25,100-2,10,389.8833333,1,3
89.2,1,1,1,25,100-2,10,389.8833333,1,3
90,1,1,1,25,100-2,10,437.6333333,1,3
90.1,1,1,1,25,100-2,10,437.6333333,1,3
90.2,1,1,1,25,100-2,10,437.6333333,1,3
91,1,1,1,25,100-2,10,Inf,0,1
92,1,1,1,26,165-1,15,101.9,1,1
93,1,1,1,26,165-1,15,150.3333333,1,2
93.1,1,1,1,26,165-1,15,150.3333333,1,2
94,1,1,1,26,165-1,15,198.1166667,1,1
95,1,1,1,26,165-1,15,342.0333333,1,2
95.1,1,1,1,26,165-1,15,342.0333333,1,2
96,1,1,1,26,165-1,15,Inf,0,4
96.1,1,1,1,26,165-1,15,Inf,0,4
96.2,1,1,1,26,165-1,15,Inf,0,4
96.3,1,1,1,26,165-1,15,Inf,0,4
97,1,1,1,27,92-1,10,101.9,1,2
97.1,1,1,1,27,92-1,10,101.9,1,2
98,1,1,1,27,92-1,10,294.9166667,1,5
98.1,1,1,1,27,92-1,10,294.9166667,1,5
98.2,1,1,1,27,92-1,10,294.9166667,1,5
98.3,1,1,1,27,92-1,10,294.9166667,1,5
98.4,1,1,1,27,92-1,10,294.9166667,1,5
99,1,1,1,27,92-1,10,389.8833333,1,2
99.1,1,1,1,27,92-1,10,389.8833333,1,2
100,1,1,1,27,92-1,10,437.6333333,1,1
101,1,1,1,28,129-1,0,150.3333333,1,2
101.1,1,1,1,28,129-1,0,150.3333333,1,2
102,1,1,1,28,129-1,0,Inf,0,8
102.1,1,1,1,28,129-1,0,Inf,0,8
102.2,1,1,1,28,129-1,0,Inf,0,8
102.3,1,1,1,28,129-1,0,Inf,0,8
102.4,1,1,1,28,129-1,0,Inf,0,8
102.5,1,1,1,28,129-1,0,Inf,0,8
102.6,1,1,1,28,129-1,0,Inf,0,8
102.7,1,1,1,28,129-1,0,Inf,0,8
103,1,1,1,29,77-1,0,150.3333333,1,10
103.1,1,1,1,29,77-1,0,150.3333333,1,10
103.2,1,1,1,29,77-1,0,150.3333333,1,10
103.3,1,1,1,29,77-1,0,150.3333333,1,10
103.4,1,1,1,29,77-1,0,150.3333333,1,10
103.5,1,1,1,29,77-1,0,150.3333333,1,10
103.6,1,1,1,29,77-1,0,150.3333333,1,10
103.7,1,1,1,29,77-1,0,150.3333333,1,10
103.8,1,1,1,29,77-1,0,150.3333333,1,10
103.9,1,1,1,29,77-1,0,150.3333333,1,10
104,1,1,1,30,Johnny's,10,245.9666667,1,4
104.1,1,1,1,30,Johnny's,10,245.9666667,1,4
104.2,1,1,1,30,Johnny's,10,245.9666667,1,4
104.3,1,1,1,30,Johnny's,10,245.9666667,1,4
105,1,1,1,30,Johnny's,10,294.9166667,1,4
105.1,1,1,1,30,Johnny's,10,294.9166667,1,4
105.2,1,1,1,30,Johnny's,10,294.9166667,1,4
105.3,1,1,1,30,Johnny's,10,294.9166667,1,4
106,1,1,1,30,Johnny's,10,342.0333333,1,1
107,1,1,1,30,Johnny's,10,389.8833333,1,1
108,1,1,1,31,118-2,15,245.9666667,1,1
109,1,1,1,31,118-2,15,294.9166667,1,3
109.1,1,1,1,31,118-2,15,294.9166667,1,3
109.2,1,1,1,31,118-2,15,294.9166667,1,3
110,1,1,1,31,118-2,15,342.0333333,1,3
110.1,1,1,1,31,118-2,15,342.0333333,1,3
110.2,1,1,1,31,118-2,15,342.0333333,1,3
111,1,1,1,31,118-2,15,389.8833333,1,1
112,1,1,1,31,118-2,15,437.6333333,1,1
113,1,1,1,31,118-2,15,Inf,0,1
114,1,1,1,32,186-1,20,150.3333333,1,1
115,1,1,1,32,186-1,20,198.1166667,1,1
116,1,1,1,32,186-1,20,437.6333333,1,1
117,1,1,1,32,186-1,20,Inf,0,7
117.1,1,1,1,32,186-1,20,Inf,0,7
117.2,1,1,1,32,186-1,20,Inf,0,7
117.3,1,1,1,32,186-1,20,Inf,0,7
117.4,1,1,1,32,186-1,20,Inf,0,7
117.5,1,1,1,32,186-1,20,Inf,0,7
117.6,1,1,1,32,186-1,20,Inf,0,7
118,1,1,1,33,142-2,0,101.9,1,1
119,1,1,1,33,142-2,0,150.3333333,1,2
119.1,1,1,1,33,142-2,0,150.3333333,1,2
120,1,1,1,33,142-2,0,198.1166667,1,3
120.1,1,1,1,33,142-2,0,198.1166667,1,3
120.2,1,1,1,33,142-2,0,198.1166667,1,3
121,1,1,1,33,142-2,0,Inf,0,4
121.1,1,1,1,33,142-2,0,Inf,0,4
121.2,1,1,1,33,142-2,0,Inf,0,4
121.3,1,1,1,33,142-2,0,Inf,0,4
122,1,1,1,34,218-2,10,101.9,1,2
122.1,1,1,1,34,218-2,10,101.9,1,2
123,1,1,1,34,218-2,10,150.3333333,1,7
123.1,1,1,1,34,218-2,10,150.3333333,1,7
123.2,1,1,1,34,218-2,10,150.3333333,1,7
123.3,1,1,1,34,218-2,10,150.3333333,1,7
123.4,1,1,1,34,218-2,10,150.3333333,1,7
123.5,1,1,1,34,218-2,10,150.3333333,1,7
123.6,1,1,1,34,218-2,10,150.3333333,1,7
124,1,1,1,34,218-2,10,198.1166667,1,1
125,1,1,1,35,100-1,15,198.1166667,1,2
125.1,1,1,1,35,100-1,15,198.1166667,1,2
126,1,1,1,35,100-1,15,389.8833333,1,1
127,1,1,1,35,100-1,15,437.6333333,1,2
127.1,1,1,1,35,100-1,15,437.6333333,1,2
128,1,1,1,35,100-1,15,Inf,0,4
128.1,1,1,1,35,100-1,15,Inf,0,4
128.2,1,1,1,35,100-1,15,Inf,0,4
128.3,1,1,1,35,100-1,15,Inf,0,4
129,1,1,1,36,138-1,15,150.3333333,1,4
129.1,1,1,1,36,138-1,15,150.3333333,1,4
129.2,1,1,1,36,138-1,15,150.3333333,1,4
129.3,1,1,1,36,138-1,15,150.3333333,1,4
130,1,1,1,36,138-1,15,198.1166667,1,1
131,1,1,1,36,138-1,15,342.0333333,1,2
131.1,1,1,1,36,138-1,15,342.0333333,1,2
132,1,1,1,36,138-1,15,Inf,0,3
132.1,1,1,1,36,138-1,15,Inf,0,3
132.2,1,1,1,36,138-1,15,Inf,0,3
133,1,1,2,37,165-1,10,101.95,1,2
133.1,1,1,2,37,165-1,10,101.95,1,2
134,1,1,2,37,165-1,10,150.4,1,2
134.1,1,1,2,37,165-1,10,150.4,1,2
135,1,1,2,37,165-1,10,245.9666667,1,1
136,1,1,2,37,165-1,10,Inf,0,5
136.1,1,1,2,37,165-1,10,Inf,0,5
136.2,1,1,2,37,165-1,10,Inf,0,5
136.3,1,1,2,37,165-1,10,Inf,0,5
136.4,1,1,2,37,165-1,10,Inf,0,5
137,1,1,2,38,100-1,15,294.9833333,1,1
138,1,1,2,38,100-1,15,389.8833333,1,1
139,1,1,2,38,100-1,15,Inf,0,8
139.1,1,1,2,38,100-1,15,Inf,0,8
139.2,1,1,2,38,100-1,15,Inf,0,8
139.3,1,1,2,38,100-1,15,Inf,0,8
139.4,1,1,2,38,100-1,15,Inf,0,8
139.5,1,1,2,38,100-1,15,Inf,0,8
139.6,1,1,2,38,100-1,15,Inf,0,8
139.7,1,1,2,38,100-1,15,Inf,0,8
140,1,1,2,39,93-1,20,198.1666667,1,1
141,1,1,2,39,93-1,20,245.9666667,1,2
141.1,1,1,2,39,93-1,20,245.9666667,1,2
142,1,1,2,39,93-1,20,294.9833333,1,4
142.1,1,1,2,39,93-1,20,294.9833333,1,4
142.2,1,1,2,39,93-1,20,294.9833333,1,4
142.3,1,1,2,39,93-1,20,294.9833333,1,4
143,1,1,2,39,93-1,20,Inf,0,3
143.1,1,1,2,39,93-1,20,Inf,0,3
143.2,1,1,2,39,93-1,20,Inf,0,3
144,1,1,2,40,219-1,15,Inf,0,10
144.1,1,1,2,40,219-1,15,Inf,0,10
144.2,1,1,2,40,219-1,15,Inf,0,10
144.3,1,1,2,40,219-1,15,Inf,0,10
144.4,1,1,2,40,219-1,15,Inf,0,10
144.5,1,1,2,40,219-1,15,Inf,0,10
144.6,1,1,2,40,219-1,15,Inf,0,10
144.7,1,1,2,40,219-1,15,Inf,0,10
144.8,1,1,2,40,219-1,15,Inf,0,10
144.9,1,1,2,40,219-1,15,Inf,0,10
145,1,1,2,41,81-2,10,101.95,1,8
145.1,1,1,2,41,81-2,10,101.95,1,8
145.2,1,1,2,41,81-2,10,101.95,1,8
145.3,1,1,2,41,81-2,10,101.95,1,8
145.4,1,1,2,41,81-2,10,101.95,1,8
145.5,1,1,2,41,81-2,10,101.95,1,8
145.6,1,1,2,41,81-2,10,101.95,1,8
145.7,1,1,2,41,81-2,10,101.95,1,8
146,1,1,2,41,81-2,10,294.9833333,1,1
147,1,1,2,41,81-2,10,Inf,0,1
148,1,1,2,42,Johnny's,15,245.9666667,1,2
148.1,1,1,2,42,Johnny's,15,245.9666667,1,2
149,1,1,2,42,Johnny's,15,294.9833333,1,2
149.1,1,1,2,42,Johnny's,15,294.9833333,1,2
150,1,1,2,42,Johnny's,15,437.6333333,1,2
150.1,1,1,2,42,Johnny's,15,437.6333333,1,2
151,1,1,2,42,Johnny's,15,Inf,0,4
151.1,1,1,2,42,Johnny's,15,Inf,0,4
151.2,1,1,2,42,Johnny's,15,Inf,0,4
151.3,1,1,2,42,Johnny's,15,Inf,0,4
152,1,1,2,43,100-1,20,Inf,0,10
152.1,1,1,2,43,100-1,20,Inf,0,10
152.2,1,1,2,43,100-1,20,Inf,0,10
152.3,1,1,2,43,100-1,20,Inf,0,10
152.4,1,1,2,43,100-1,20,Inf,0,10
152.5,1,1,2,43,100-1,20,Inf,0,10
152.6,1,1,2,43,100-1,20,Inf,0,10
152.7,1,1,2,43,100-1,20,Inf,0,10
152.8,1,1,2,43,100-1,20,Inf,0,10
152.9,1,1,2,43,100-1,20,Inf,0,10
153,1,1,2,44,186-1,10,54,1,1
154,1,1,2,44,186-1,10,150.4,1,3
154.1,1,1,2,44,186-1,10,150.4,1,3
154.2,1,1,2,44,186-1,10,150.4,1,3
155,1,1,2,44,186-1,10,198.1666667,1,1
156,1,1,2,44,186-1,10,Inf,0,5
156.1,1,1,2,44,186-1,10,Inf,0,5
156.2,1,1,2,44,186-1,10,Inf,0,5
156.3,1,1,2,44,186-1,10,Inf,0,5
156.4,1,1,2,44,186-1,10,Inf,0,5
157,1,1,2,45,98-1,10,101.95,1,7
157.1,1,1,2,45,98-1,10,101.95,1,7
157.2,1,1,2,45,98-1,10,101.95,1,7
157.3,1,1,2,45,98-1,10,101.95,1,7
157.4,1,1,2,45,98-1,10,101.95,1,7
157.5,1,1,2,45,98-1,10,101.95,1,7
157.6,1,1,2,45,98-1,10,101.95,1,7
158,1,1,2,45,98-1,10,Inf,0,3
158.1,1,1,2,45,98-1,10,Inf,0,3
158.2,1,1,2,45,98-1,10,Inf,0,3
159,1,1,2,46,122-2,10,294.9833333,1,1
160,1,1,2,46,122-2,10,437.6333333,1,1
161,1,1,2,46,122-2,10,Inf,0,8
161.1,1,1,2,46,122-2,10,Inf,0,8
161.2,1,1,2,46,122-2,10,Inf,0,8
161.3,1,1,2,46,122-2,10,Inf,0,8
161.4,1,1,2,46,122-2,10,Inf,0,8
161.5,1,1,2,46,122-2,10,Inf,0,8
161.6,1,1,2,46,122-2,10,Inf,0,8
161.7,1,1,2,46,122-2,10,Inf,0,8
162,1,1,2,47,146-1,10,198.1666667,1,2
162.1,1,1,2,47,146-1,10,198.1666667,1,2
163,1,1,2,47,146-1,10,294.9833333,1,1
164,1,1,2,47,146-1,10,342.1333333,1,1
165,1,1,2,47,146-1,10,389.8833333,1,1
166,1,1,2,47,146-1,10,437.6333333,1,1
167,1,1,2,47,146-1,10,Inf,0,4
167.1,1,1,2,47,146-1,10,Inf,0,4
167.2,1,1,2,47,146-1,10,Inf,0,4
167.3,1,1,2,47,146-1,10,Inf,0,4
168,1,1,2,48,122-2,0,150.4,1,1
169,1,1,2,48,122-2,0,245.9666667,1,5
169.1,1,1,2,48,122-2,0,245.9666667,1,5
169.2,1,1,2,48,122-2,0,245.9666667,1,5
169.3,1,1,2,48,122-2,0,245.9666667,1,5
169.4,1,1,2,48,122-2,0,245.9666667,1,5
170,1,1,2,48,122-2,0,294.9833333,1,2
170.1,1,1,2,48,122-2,0,294.9833333,1,2
171,1,1,2,48,122-2,0,Inf,0,2
171.1,1,1,2,48,122-2,0,Inf,0,2
172,1,1,2,49,204-2,20,Inf,0,10
172.1,1,1,2,49,204-2,20,Inf,0,10
172.2,1,1,2,49,204-2,20,Inf,0,10
172.3,1,1,2,49,204-2,20,Inf,0,10
172.4,1,1,2,49,204-2,20,Inf,0,10
172.5,1,1,2,49,204-2,20,Inf,0,10
172.6,1,1,2,49,204-2,20,Inf,0,10
172.7,1,1,2,49,204-2,20,Inf,0,10
172.8,1,1,2,49,204-2,20,Inf,0,10
172.9,1,1,2,49,204-2,20,Inf,0,10
173,1,1,2,50,173-2,0,150.4,1,2
173.1,1,1,2,50,173-2,0,150.4,1,2
174,1,1,2,50,173-2,0,198.1666667,1,2
174.1,1,1,2,50,173-2,0,198.1666667,1,2
175,1,1,2,50,173-2,0,245.9666667,1,1
176,1,1,2,50,173-2,0,294.9833333,1,1
177,1,1,2,50,173-2,0,389.8833333,1,1
178,1,1,2,50,173-2,0,Inf,0,3
178.1,1,1,2,50,173-2,0,Inf,0,3
178.2,1,1,2,50,173-2,0,Inf,0,3
179,1,1,2,51,135-2,10,150.4,1,1
180,1,1,2,51,135-2,10,Inf,0,9
180.1,1,1,2,51,135-2,10,Inf,0,9
180.2,1,1,2,51,135-2,10,Inf,0,9
180.3,1,1,2,51,135-2,10,Inf,0,9
180.4,1,1,2,51,135-2,10,Inf,0,9
180.5,1,1,2,51,135-2,10,Inf,0,9
180.6,1,1,2,51,135-2,10,Inf,0,9
180.7,1,1,2,51,135-2,10,Inf,0,9
180.8,1,1,2,51,135-2,10,Inf,0,9
181,1,1,2,52,190-2,20,198.1666667,1,2
181.1,1,1,2,52,190-2,20,198.1666667,1,2
182,1,1,2,52,190-2,20,294.9833333,1,4
182.1,1,1,2,52,190-2,20,294.9833333,1,4
182.2,1,1,2,52,190-2,20,294.9833333,1,4
182.3,1,1,2,52,190-2,20,294.9833333,1,4
183,1,1,2,52,190-2,20,437.6333333,1,1
184,1,1,2,52,190-2,20,Inf,0,3
184.1,1,1,2,52,190-2,20,Inf,0,3
184.2,1,1,2,52,190-2,20,Inf,0,3
185,1,1,2,53,128-2,0,150.4,1,1
186,1,1,2,53,128-2,0,Inf,0,9
186.1,1,1,2,53,128-2,0,Inf,0,9
186.2,1,1,2,53,128-2,0,Inf,0,9
186.3,1,1,2,53,128-2,0,Inf,0,9
186.4,1,1,2,53,128-2,0,Inf,0,9
186.5,1,1,2,53,128-2,0,Inf,0,9
186.6,1,1,2,53,128-2,0,Inf,0,9
186.7,1,1,2,53,128-2,0,Inf,0,9
186.8,1,1,2,53,128-2,0,Inf,0,9
187,1,1,2,54,75-1,15,150.4,1,2
187.1,1,1,2,54,75-1,15,150.4,1,2
188,1,1,2,54,75-1,15,198.1666667,1,3
188.1,1,1,2,54,75-1,15,198.1666667,1,3
188.2,1,1,2,54,75-1,15,198.1666667,1,3
189,1,1,2,54,75-1,15,245.9666667,1,1
190,1,1,2,54,75-1,15,342.1333333,1,2
190.1,1,1,2,54,75-1,15,342.1333333,1,2
191,1,1,2,54,75-1,15,Inf,0,2
191.1,1,1,2,54,75-1,15,Inf,0,2
192,1,1,2,55,129-1,15,150.4,1,2
192.1,1,1,2,55,129-1,15,150.4,1,2
193,1,1,2,55,129-1,15,Inf,0,8
193.1,1,1,2,55,129-1,15,Inf,0,8
193.2,1,1,2,55,129-1,15,Inf,0,8
193.3,1,1,2,55,129-1,15,Inf,0,8
193.4,1,1,2,55,129-1,15,Inf,0,8
193.5,1,1,2,55,129-1,15,Inf,0,8
193.6,1,1,2,55,129-1,15,Inf,0,8
193.7,1,1,2,55,129-1,15,Inf,0,8
194,1,1,2,56,146-1,0,101.95,1,1
195,1,1,2,56,146-1,0,150.4,1,1
196,1,1,2,56,146-1,0,245.9666667,1,1
