,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
815,CanAnil7,81-2,2952.3,2,3,7,217,10,60.8,1,7,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,3_217
820,CanAnil7,81-2,2771,2,3,5,153,15,157.5,1,10,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,3_153
823,CanAnil7,81-2,2952,2,3,7,217,10,60.8,1,7,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,3_217
824,CanAnil7,81-2,2771.2,2,3,5,153,15,157.5,1,10,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,3_153
825,CanAnil7,81-2,2771.5,2,3,5,153,15,157.5,1,10,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,3_153
828,CanAnil7,81-2,2771.6,2,3,5,153,15,157.5,1,10,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,3_153
830,CanAnil7,81-2,504.3,1,1,5,145,0,102.1,1,4,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,1_145
831,CanAnil7,81-2,2771.9,2,3,5,153,15,157.5,1,10,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,3_153
832,CanAnil7,81-2,7775,4,7,6,209,15,153.8,1,4,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,7_209
834,CanAnil7,81-2,2951.1,2,3,7,217,10,157.6,1,3,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,3_217
837,CanAnil7,81-2,2771.4,2,3,5,153,15,157.5,1,10,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,3_153
839,CanAnil7,81-2,7774,4,7,6,209,15,107.3,1,6,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,7_209
845,CanAnil7,81-2,2771.8,2,3,5,153,15,157.5,1,10,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,3_153
847,CanAnil7,81-2,504,1,1,5,145,0,102.1,1,4,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,1_145
850,CanAnil7,81-2,7774.3,4,7,6,209,15,107.3,1,6,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,7_209
853,CanAnil7,81-2,2771.3,2,3,5,153,15,157.5,1,10,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,3_153
855,CanAnil7,81-2,505,1,1,5,145,0,150.5,1,3,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,1_145
858,CanAnil7,81-2,7775.2,4,7,6,209,15,153.8,1,4,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,7_209
860,CanAnil7,81-2,7775.3,4,7,6,209,15,153.8,1,4,14CAm81-2,11/10/14,Cam,wcoast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry,7_209
861,CanCoat2,128-1,7975.3,4,8,1,26,20,211,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
862,CanCoat2,128-1,7977,4,8,1,26,20,308.2,1,1,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
863,CanCoat2,128-1,7975.5,4,8,1,26,20,211,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
864,CanCoat2,128-1,7975.4,4,8,1,26,20,211,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
867,CanCoat2,128-1,7975.2,4,8,1,26,20,211,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
868,CanCoat2,128-1,7976.1,4,8,1,26,20,257,1,2,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
870,CanCoat2,128-1,7976,4,8,1,26,20,257,1,2,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
871,CanCoat2,128-1,7975,4,8,1,26,20,211,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
873,CanCoat2,128-2,6952.1,3,6,9,311,15,527.8,1,7,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
874,CanCoat2,128-2,6953.2,3,6,9,311,15,550,1,3,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
875,CanCoat2,128-2,6953.1,3,6,9,311,15,550,1,3,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
876,CanCoat2,128-2,6952.4,3,6,9,311,15,527.8,1,7,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
877,CanCoat2,128-2,6952.6,3,6,9,311,15,527.8,1,7,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
878,CanCoat2,128-2,6953,3,6,9,311,15,550,1,3,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
879,CanCoat2,128-2,6952.5,3,6,9,311,15,527.8,1,7,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
880,CanCoat2,128-2,6952.2,3,6,9,311,15,527.8,1,7,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
881,CanCoat2,128-2,6952.3,3,6,9,311,15,527.8,1,7,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
885,CanCoat2,128-2,6952,3,6,9,311,15,527.8,1,7,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
886,CanCoat2,128-1,7975.1,4,8,1,26,20,211,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
889,CanCoat2,128-1,7978,4,8,1,26,20,550,1,1,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
943,CanDzib14,213-2,8331.5,4,8,4,120,15,114.2,1,7,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_120
944,CanDzib14,213-2,8331.2,4,8,4,120,15,114.2,1,7,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_120
945,CanDzib14,213-2,1111,1,2,1,10,0,156.3,1,1,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,2_10
947,CanDzib14,213-2,8225.1,4,8,3,93,10,65.8,1,6,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_93
950,CanDzib14,213-2,8260,4,8,3,102,0,114.2,1,3,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_102
951,CanDzib14,213-2,8331.3,4,8,4,120,15,114.2,1,7,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_120
952,CanDzib14,213-2,8261,4,8,3,102,0,211,1,2,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_102
956,CanDzib14,213-2,1110.3,1,2,1,10,0,108.4,1,8,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,2_10
957,CanDzib14,213-2,8332.2,4,8,4,120,15,163.7,1,3,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_120
960,CanDzib14,213-2,1110.6,1,2,1,10,0,108.4,1,8,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,2_10
969,CanDzib14,213-2,8259.3,4,8,3,102,0,65.8,1,5,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_102
970,CanDzib14,213-2,8259.4,4,8,3,102,0,65.8,1,5,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_102
971,CanDzib14,213-2,8259.1,4,8,3,102,0,65.8,1,5,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_102
973,CanDzib14,213-2,1110.5,1,2,1,10,0,108.4,1,8,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,2_10
975,CanDzib14,213-2,8332.1,4,8,4,120,15,163.7,1,3,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_120
978,CanDzib14,213-2,1110.2,1,2,1,10,0,108.4,1,8,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,2_10
979,CanDzib14,213-2,8260.2,4,8,3,102,0,114.2,1,3,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_102
980,CanDzib14,213-2,5060.3,3,5,6,215,10,109.5,1,9,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,5_215
984,CanDzib14,213-2,5060.2,3,5,6,215,10,109.5,1,9,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,5_215
985,CanDzib14,213-2,8261.1,4,8,3,102,0,211,1,2,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_102
989,CanDzib14,213-2,8226.1,4,8,3,93,10,114.2,1,4,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_93
991,CanDzib14,213-2,5061,3,5,6,215,10,207,1,1,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,5_215
994,CanDzib14,213-2,5060.8,3,5,6,215,10,109.5,1,9,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,5_215
995,CanDzib14,213-2,5060.5,3,5,6,215,10,109.5,1,9,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,5_215
1001,CanDzib14,213-2,5060.4,3,5,6,215,10,109.5,1,9,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,5_215
1011,CanDzib14,213-2,5060.7,3,5,6,215,10,109.5,1,9,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,5_215
1013,CanDzib14,213-2,1110,1,2,1,10,0,108.4,1,8,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,2_10
1014,CanDzib14,213-2,1110.4,1,2,1,10,0,108.4,1,8,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,2_10
1015,CanDzib14,213-2,1110.1,1,2,1,10,0,108.4,1,8,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,2_10
1019,CanDzib14,213-2,8332,4,8,4,120,15,163.7,1,3,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_120
1020,CanDzib14,213-2,8331.6,4,8,4,120,15,114.2,1,7,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_120
1024,CanDzib14,213-2,1112,1,2,1,10,0,206.3,1,1,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,2_10
1025,CanDzib14,213-2,8260.1,4,8,3,102,0,114.2,1,3,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_102
1026,CanDzib14,213-2,8259.2,4,8,3,102,0,65.8,1,5,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_102
1038,CanDzib14,213-2,5060.6,3,5,6,215,10,109.5,1,9,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,5_215
1039,CanDzib14,213-2,8331.4,4,8,4,120,15,114.2,1,7,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_120
1040,CanDzib14,213-2,8226.3,4,8,3,93,10,114.2,1,4,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_93
1042,CanDzib14,213-2,8226.2,4,8,3,93,10,114.2,1,4,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_93
1043,CanDzib14,213-2,8225.3,4,8,3,93,10,65.8,1,6,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_93
1044,CanDzib14,213-2,8331,4,8,4,120,15,114.2,1,7,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_120
1045,CanDzib14,213-2,8225.5,4,8,3,93,10,65.8,1,6,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_93
1046,CanDzib14,213-2,8225,4,8,3,93,10,65.8,1,6,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_93
1047,CanDzib14,213-2,1110.7,1,2,1,10,0,108.4,1,8,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,2_10
1048,CanDzib14,213-2,8225.2,4,8,3,93,10,65.8,1,6,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_93
1049,CanDzib14,213-2,8226,4,8,3,93,10,114.2,1,4,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_93
1050,CanDzib14,213-2,8225.4,4,8,3,93,10,65.8,1,6,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_93
1053,CanDzib14,213-2,8331.1,4,8,4,120,15,114.2,1,7,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_120
1054,CanDzib14,213-2,8259,4,8,3,102,0,65.8,1,5,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,8_102
1058,CanDzib14,213-2,5060,3,5,6,215,10,109.5,1,9,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,5_215
1059,CanDzib14,213-2,5060.1,3,5,6,215,10,109.5,1,9,14Dul213-2,11/10/14,Dul,yucatan,Dul_51,landrace,Dulce,Milpa,,5_215
1075,CanEjutla1,190-2,7957.1,4,8,1,18,15,550,1,2,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
1076,CanEjutla1,190-2,7956.4,4,8,1,18,15,163.2,1,6,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
1083,CanEjutla1,190-2,7957,4,8,1,18,15,550,1,2,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
1084,CanEjutla1,190-2,7956.3,4,8,1,18,15,163.2,1,6,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
1088,CanEjutla1,190-2,7955,4,8,1,18,15,114.2,1,2,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
1090,CanEjutla1,190-2,7956.5,4,8,1,18,15,163.2,1,6,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
1091,CanEjutla1,190-2,7956.1,4,8,1,18,15,163.2,1,6,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
1092,CanEjutla1,190-2,7956.2,4,8,1,18,15,163.2,1,6,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
1093,CanEjutla1,190-2,7956,4,8,1,18,15,163.2,1,6,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
1094,CanEjutla1,190-2,7955.1,4,8,1,18,15,114.2,1,2,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
1101,CanEjutla3,191-2,2764.5,2,3,5,150,20,206.3,1,6,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_150
1102,CanEjutla3,191-2,7366.2,4,7,3,102,0,344.8,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,7_102
1103,CanEjutla3,191-2,4310.2,3,5,1,34,20,303.8,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_34
1104,CanEjutla3,191-2,7364.1,4,7,3,102,0,203.7,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,7_102
1107,CanEjutla3,191-2,2763.2,2,3,5,150,20,254.4,1,4,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_150
1108,CanEjutla3,191-2,2802.7,2,3,5,163,15,157.5,1,10,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_163
1109,CanEjutla3,191-2,4312.2,3,5,1,34,20,550,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_34
1110,CanEjutla3,191-2,381.4,1,1,4,112,10,150.5,1,8,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_112
1111,CanEjutla3,191-2,381.6,1,1,4,112,10,150.5,1,8,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_112
1112,CanEjutla3,191-2,4310.1,3,5,1,34,20,303.8,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_34
1113,CanEjutla3,191-2,7365,4,7,3,102,0,253,1,4,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,7_102
1114,CanEjutla3,191-2,2802.5,2,3,5,163,15,157.5,1,10,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_163
1115,CanEjutla3,191-2,2802.3,2,3,5,163,15,157.5,1,10,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_163
1119,CanEjutla3,191-2,2764.3,2,3,5,150,20,206.3,1,6,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_150
1120,CanEjutla3,191-2,381.3,1,1,4,112,10,150.5,1,8,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_112
1122,CanEjutla3,191-2,4312.1,3,5,1,34,20,550,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_34
1123,CanEjutla3,191-2,4312,3,5,1,34,20,550,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_34
1124,CanEjutla3,191-2,4311,3,5,1,34,20,397.5,1,1,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_34
1127,CanEjutla3,191-2,2764,2,3,5,150,20,206.3,1,6,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_150
1128,CanEjutla3,191-2,2763.3,2,3,5,150,20,254.4,1,4,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_150
1130,CanEjutla3,191-2,4308,3,5,1,34,20,156.8,1,1,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_34
1132,CanEjutla3,191-2,7365.1,4,7,3,102,0,253,1,4,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,7_102
1134,CanEjutla3,191-2,4309,3,5,1,34,20,254,1,2,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_34
1135,CanEjutla3,191-2,4310,3,5,1,34,20,303.8,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_34
1136,CanEjutla3,191-2,7365.3,4,7,3,102,0,253,1,4,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,7_102
1138,CanEjutla3,191-2,381.7,1,1,4,112,10,150.5,1,8,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_112
1139,CanEjutla3,191-2,4309.1,3,5,1,34,20,254,1,2,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_34
1140,CanEjutla3,191-2,2763.1,2,3,5,150,20,254.4,1,4,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_150
1141,CanEjutla3,191-2,7366,4,7,3,102,0,344.8,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,7_102
1142,CanEjutla3,191-2,7364,4,7,3,102,0,203.7,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,7_102
1143,CanEjutla3,191-2,2802.1,2,3,5,163,15,157.5,1,10,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_163
1144,CanEjutla3,191-2,2802.4,2,3,5,163,15,157.5,1,10,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_163
1145,CanEjutla3,191-2,381.1,1,1,4,112,10,150.5,1,8,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_112
1148,CanEjutla3,191-2,2764.1,2,3,5,150,20,206.3,1,6,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_150
1149,CanEjutla3,191-2,2763,2,3,5,150,20,254.4,1,4,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_150
1151,CanEjutla3,191-2,382,1,1,4,112,10,198.3,1,1,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_112
1152,CanEjutla3,191-2,7365.2,4,7,3,102,0,253,1,4,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,7_102
1153,CanEjutla3,191-2,2802,2,3,5,163,15,157.5,1,10,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_163
1155,CanEjutla3,191-2,2764.2,2,3,5,150,20,206.3,1,6,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_150
1156,CanEjutla3,191-2,383,1,1,4,112,10,295.1,1,1,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_112
1157,CanEjutla3,191-2,2764.4,2,3,5,150,20,206.3,1,6,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_150
1158,CanEjutla3,191-2,7364.2,4,7,3,102,0,203.7,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,7_102
1159,CanEjutla3,191-2,2802.8,2,3,5,163,15,157.5,1,10,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_163
1160,CanEjutla3,191-2,2802.6,2,3,5,163,15,157.5,1,10,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_163
1161,CanEjutla3,191-2,2802.2,2,3,5,163,15,157.5,1,10,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_163
1162,CanEjutla3,191-2,7366.1,4,7,3,102,0,344.8,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,7_102
1165,CanEjutla3,191-2,2802.9,2,3,5,163,15,157.5,1,10,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_163
1166,CanEjutla3,191-2,381,1,1,4,112,10,150.5,1,8,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_112
1167,CanEjutla3,191-2,381.2,1,1,4,112,10,150.5,1,8,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_112
1170,CanEjutla3,191-2,381.5,1,1,4,112,10,150.5,1,8,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_112
1173,CanGpe1,84-1,8714.5,4,8,7,234,0,114.2,1,6,14CRo84-1,11/10/14,CRo,wcoast,CRo_2,landrace,Costeno Rojo,Plantation,Dry,8_234
1176,CanGpe1,84-1,5005.2,3,5,6,199,10,156.8,1,8,14CRo84-1,11/10/14,CRo,wcoast,CRo_2,landrace,Costeno Rojo,Plantation,Dry,5_199
1177,CanGpe1,84-1,5005.3,3,5,6,199,10,156.8,1,8,14CRo84-1,11/10/14,CRo,wcoast,CRo_2,landrace,Costeno Rojo,Plantation,Dry,5_199
1183,CanGpe1,84-1,8715,4,8,7,234,0,164,1,3,14CRo84-1,11/10/14,CRo,wcoast,CRo_2,landrace,Costeno Rojo,Plantation,Dry,8_234
1185,CanGpe1,84-1,5005.5,3,5,6,199,10,156.8,1,8,14CRo84-1,11/10/14,CRo,wcoast,CRo_2,landrace,Costeno Rojo,Plantation,Dry,5_199
1187,CanGpe1,84-1,5005.1,3,5,6,199,10,156.8,1,8,14CRo84-1,11/10/14,CRo,wcoast,CRo_2,landrace,Costeno Rojo,Plantation,Dry,5_199
1188,CanGpe1,84-1,5005,3,5,6,199,10,156.8,1,8,14CRo84-1,11/10/14,CRo,wcoast,CRo_2,landrace,Costeno Rojo,Plantation,Dry,5_199
1189,CanGpe1,84-1,5004.1,3,5,6,199,10,61.8,1,2,14CRo84-1,11/10/14,CRo,wcoast,CRo_2,landrace,Costeno Rojo,Plantation,Dry,5_199
1193,CanGpe1,84-1,2554.9,2,3,3,77,0,157.9,1,10,14CRo84-1,11/10/14,CRo,wcoast,CRo_2,landrace,Costeno Rojo,Plantation,Dry,3_77
1196,CanGpe1,84-1,5005.6,3,5,6,199,10,156.8,1,8,14CRo84-1,11/10/14,CRo,wcoast,CRo_2,landrace,Costeno Rojo,Plantation,Dry,5_199
