,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
211,CanAnil3,77-1,2647.7,2,3,3,108,20,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_108
215,CanAnil3,77-1,85.2,1,1,1,24,15,150.3,1,5,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_24
222,CanAnil3,77-1,7103,4,7,1,25,10,153.8,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_25
223,CanAnil3,77-1,2549.5,2,3,3,75,10,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_75
224,CanAnil3,77-1,3173.6,2,3,9,295,15,156.7,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_295
225,CanAnil3,77-1,3173.8,2,3,9,295,15,156.7,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_295
226,CanAnil3,77-1,84,1,1,1,24,15,101.9,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_24
229,CanAnil3,77-1,103.4,1,1,1,29,0,150.3,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_29
230,CanAnil3,77-1,103,1,1,1,29,0,150.3,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_29
232,CanAnil3,77-1,85.3,1,1,1,24,15,150.3,1,5,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_24
