"","sampleid","line","rep","run","shelf","plate","trt","type","end","status","germinated","notes","pedigree","planting.date","landrace.abb","loc_id","region","pop","population.type","landrace.name","cultivation","main.use"
"34","CanAbasolo1","215-1",2,3,8,269,0,"E3",157.05,1,4,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"35","CanAbasolo1","215-1",2,3,5,170,10,"E3",60.45,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"36","CanAbasolo1","215-1",1,1,3,78,15,"E3",542.5,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"37","CanAbasolo1","215-1",2,3,9,322,15,"E3",156.7,1,6,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"38","CanAbasolo1","215-1",1,1,7,237,10,"E3",102.1833333,1,4,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"39","CanAbasolo1","215-1",2,3,3,78,20,"E3",157.8666667,1,3,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"40","CanAbasolo1","215-1",1,1,7,237,10,"E3",102.1833333,1,4,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"41","CanAbasolo1","215-1",1,1,7,245,20,"E3",542.5,0,1,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"42","CanAbasolo1","215-2",2,3,4,132,0,"E3",158.2,1,5,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"43","CanAbasolo1","215-1",2,3,3,78,20,"E3",206.75,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"44","CanAbasolo1","215-1",1,1,3,96,0,"E3",542.5,0,1,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"45","CanAbasolo1","215-1",2,3,9,322,15,"E3",156.7,1,6,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"46","CanAbasolo1","215-1",2,3,8,269,0,"E3",157.05,1,4,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"47","CanAbasolo1","215-2",1,1,9,307,15,"E3",198.6166667,1,1,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"48","CanAbasolo1","215-2",2,3,4,111,20,"E3",207.1666667,1,2,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"49","CanAbasolo1","215-2",2,3,4,137,10,"E3",158.2,1,4,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"50","CanAbasolo1","215-2",2,3,4,111,20,"E3",207.1666667,1,2,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"51","CanAbasolo1","215-2",1,1,7,228,0,"E3",542.5,0,1,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"52","CanAbasolo1","215-2",2,3,4,121,15,"E3",255.2333333,1,1,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"53","CanAbasolo1","215-1",1,1,3,96,0,"E3",101.9833333,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"54","CanAbasolo1","215-1",1,1,3,78,15,"E3",150.4333333,1,1,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"55","CanAbasolo1","215-1",1,1,7,237,10,"E3",102.1833333,1,4,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"56","CanAbasolo1","215-1",2,3,9,322,15,"E3",156.7,1,6,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"57","CanAbasolo1","215-1",1,1,3,96,0,"E3",150.4333333,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"58","CanAbasolo1","215-1",1,1,7,237,10,"E3",246.2833333,1,1,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"59","CanAbasolo1","215-1",2,3,3,78,20,"E3",350.3833333,1,1,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"60","CanAbasolo1","215-1",1,1,3,78,15,"E3",198.2166667,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"61","CanAbasolo1","215-1",1,1,7,237,10,"E3",102.1833333,1,4,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"62","CanAbasolo1","215-2",2,3,4,121,15,"E3",158.2,1,3,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"63","CanAbasolo1","215-2",2,3,4,121,15,"E3",158.2,1,3,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"64","CanAbasolo1","215-2",2,3,4,137,10,"E3",158.2,1,4,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"65","CanAbasolo1","215-2",1,1,7,228,0,"E3",102.1833333,1,3,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
