,sampleid,line,rep,run,shelf,plate,trt,end,status,germinated,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
39,CanAbasolo1,215-1,2,3,3,78,20,254.85,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
40,CanAbasolo1,215-1,4,8,6,207,0,356.75,0,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
41,CanAbasolo1,215-1,2,3,5,170,10,497.5,0,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
42,CanAbasolo1,215-1,1,1,3,78,15,542.5,0,7,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
43,CanAbasolo1,215-1,3,6,1,17,0,215.66,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
44,CanAbasolo1,215-1,3,6,2,37,15,167.99,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
45,CanAbasolo1,215-1,1,1,3,96,0,542.5,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
46,CanAbasolo1,215-1,1,1,7,245,20,542.5,0,5,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
47,CanAbasolo1,215-1,4,8,8,276,10,500,0,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
48,CanAbasolo1,215-1,3,6,7,248,10,527.81,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
49,CanAbasolo1,215-1,4,8,8,276,10,356.75,0,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
50,CanAbasolo1,215-1,3,6,1,17,0,167.99,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
51,CanAbasolo1,215-1,1,1,3,96,0,150.4333333,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
52,CanAbasolo1,215-1,4,8,8,276,10,211,0,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
53,CanAbasolo1,215-1,3,6,3,94,20,215.66,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
54,CanAbasolo1,215-1,4,8,8,276,10,114.25,1,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
55,CanAbasolo1,215-1,3,6,7,248,10,408.1,0,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
56,CanAbasolo1,215-1,3,6,2,37,15,167.99,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
