"","rep","run","shelf","plate","line","trt","type","end","status","germinated"
"1",1,1,5,167,"001-1",20,"E3",198.3833333,1,3
"1.1",1,1,5,167,"001-1",20,"E3",198.3833333,1,3
"1.2",1,1,5,167,"001-1",20,"E3",198.3833333,1,3
"2",1,1,5,167,"001-1",20,"E3",246.1833333,1,1
"3",1,1,5,167,"001-1",20,"E3",542.5,0,6
"3.1",1,1,5,167,"001-1",20,"E3",542.5,0,6
"3.2",1,1,5,167,"001-1",20,"E3",542.5,0,6
"3.3",1,1,5,167,"001-1",20,"E3",542.5,0,6
"3.4",1,1,5,167,"001-1",20,"E3",542.5,0,6
"3.5",1,1,5,167,"001-1",20,"E3",542.5,0,6
"4",1,1,6,209,"001-1",15,"E3",150.5666667,1,1
"5",1,1,6,209,"001-1",15,"E3",198.4333333,1,2
"5.1",1,1,6,209,"001-1",15,"E3",198.4333333,1,2
"6",1,1,6,209,"001-1",15,"E3",295.3,1,1
"7",1,1,6,209,"001-1",15,"E3",542.5,0,6
"7.1",1,1,6,209,"001-1",15,"E3",542.5,0,6
"7.2",1,1,6,209,"001-1",15,"E3",542.5,0,6
"7.3",1,1,6,209,"001-1",15,"E3",542.5,0,6
"7.4",1,1,6,209,"001-1",15,"E3",542.5,0,6
"7.5",1,1,6,209,"001-1",15,"E3",542.5,0,6
"8",1,1,7,227,"001-1",10,"E3",102.1833333,1,2
"8.1",1,1,7,227,"001-1",10,"E3",102.1833333,1,2
"9",1,1,7,227,"001-1",10,"E3",150.6166667,1,1
"10",1,1,7,227,"001-1",10,"E3",542.5,0,7
"10.1",1,1,7,227,"001-1",10,"E3",542.5,0,7
"10.2",1,1,7,227,"001-1",10,"E3",542.5,0,7
"10.3",1,1,7,227,"001-1",10,"E3",542.5,0,7
"10.4",1,1,7,227,"001-1",10,"E3",542.5,0,7
"10.5",1,1,7,227,"001-1",10,"E3",542.5,0,7
"10.6",1,1,7,227,"001-1",10,"E3",542.5,0,7
"11",1,1,8,266,"001-1",0,"E3",102.2833333,1,1
"12",1,1,8,266,"001-1",0,"E3",150.6666667,1,1
"13",1,1,8,266,"001-1",0,"E3",542.5,0,8
"13.1",1,1,8,266,"001-1",0,"E3",542.5,0,8
"13.2",1,1,8,266,"001-1",0,"E3",542.5,0,8
"13.3",1,1,8,266,"001-1",0,"E3",542.5,0,8
"13.4",1,1,8,266,"001-1",0,"E3",542.5,0,8
"13.5",1,1,8,266,"001-1",0,"E3",542.5,0,8
"13.6",1,1,8,266,"001-1",0,"E3",542.5,0,8
"13.7",1,1,8,266,"001-1",0,"E3",542.5,0,8
"14",1,1,1,2,"100-1",10,"C2",245.9666667,1,2
"14.1",1,1,1,2,"100-1",10,"C2",245.9666667,1,2
"15",1,1,1,2,"100-1",10,"C2",294.9166667,1,2
"15.1",1,1,1,2,"100-1",10,"C2",294.9166667,1,2
"16",1,1,1,2,"100-1",10,"C2",342.0333333,1,2
"16.1",1,1,1,2,"100-1",10,"C2",342.0333333,1,2
"17",1,1,1,2,"100-1",10,"C2",389.8833333,1,1
"18",1,1,1,2,"100-1",10,"C2",437.6333333,1,3
"18.1",1,1,1,2,"100-1",10,"C2",437.6333333,1,3
"18.2",1,1,1,2,"100-1",10,"C2",437.6333333,1,3
"19",1,1,1,11,"100-1",10,"C2",150.3333333,1,1
"20",1,1,1,11,"100-1",10,"C2",245.9666667,1,5
"20.1",1,1,1,11,"100-1",10,"C2",245.9666667,1,5
"20.2",1,1,1,11,"100-1",10,"C2",245.9666667,1,5
"20.3",1,1,1,11,"100-1",10,"C2",245.9666667,1,5
"20.4",1,1,1,11,"100-1",10,"C2",245.9666667,1,5
"21",1,1,1,11,"100-1",10,"C2",342.0333333,1,3
"21.1",1,1,1,11,"100-1",10,"C2",342.0333333,1,3
"21.2",1,1,1,11,"100-1",10,"C2",342.0333333,1,3
"22",1,1,1,11,"100-1",10,"C2",542.5,0,1
"23",1,1,1,35,"100-1",15,"E3",198.1166667,1,2
"23.1",1,1,1,35,"100-1",15,"E3",198.1166667,1,2
"24",1,1,1,35,"100-1",15,"E3",389.8833333,1,1
"25",1,1,1,35,"100-1",15,"E3",437.6333333,1,2
"25.1",1,1,1,35,"100-1",15,"E3",437.6333333,1,2
"26",1,1,1,35,"100-1",15,"E3",542.5,0,4
"26.1",1,1,1,35,"100-1",15,"E3",542.5,0,4
"26.2",1,1,1,35,"100-1",15,"E3",542.5,0,4
"26.3",1,1,1,35,"100-1",15,"E3",542.5,0,4
"27",1,1,2,38,"100-1",15,"C2",294.9833333,1,1
"28",1,1,2,38,"100-1",15,"C2",389.8833333,1,1
"29",1,1,2,38,"100-1",15,"C2",542.5,0,8
"29.1",1,1,2,38,"100-1",15,"C2",542.5,0,8
"29.2",1,1,2,38,"100-1",15,"C2",542.5,0,8
"29.3",1,1,2,38,"100-1",15,"C2",542.5,0,8
"29.4",1,1,2,38,"100-1",15,"C2",542.5,0,8
"29.5",1,1,2,38,"100-1",15,"C2",542.5,0,8
"29.6",1,1,2,38,"100-1",15,"C2",542.5,0,8
"29.7",1,1,2,38,"100-1",15,"C2",542.5,0,8
"30",1,1,2,43,"100-1",20,"C2",542.5,0,10
"30.1",1,1,2,43,"100-1",20,"C2",542.5,0,10
"30.2",1,1,2,43,"100-1",20,"C2",542.5,0,10
"30.3",1,1,2,43,"100-1",20,"C2",542.5,0,10
"30.4",1,1,2,43,"100-1",20,"C2",542.5,0,10
"30.5",1,1,2,43,"100-1",20,"C2",542.5,0,10
"30.6",1,1,2,43,"100-1",20,"C2",542.5,0,10
"30.7",1,1,2,43,"100-1",20,"C2",542.5,0,10
"30.8",1,1,2,43,"100-1",20,"C2",542.5,0,10
"30.9",1,1,2,43,"100-1",20,"C2",542.5,0,10
"31",1,2,2,44,"100-1",0,"C2",108.2333333,1,1
"32",1,2,2,44,"100-1",0,"C2",206.1833333,1,5
"32.1",1,2,2,44,"100-1",0,"C2",206.1833333,1,5
"32.2",1,2,2,44,"100-1",0,"C2",206.1833333,1,5
"32.3",1,2,2,44,"100-1",0,"C2",206.1833333,1,5
"32.4",1,2,2,44,"100-1",0,"C2",206.1833333,1,5
"33",1,2,2,44,"100-1",0,"C2",253.9833333,1,3
"33.1",1,2,2,44,"100-1",0,"C2",253.9833333,1,3
"33.2",1,2,2,44,"100-1",0,"C2",253.9833333,1,3
"34",1,2,2,44,"100-1",0,"C2",349.8,1,1
"35",1,2,2,57,"100-1",15,"C2",156.1666667,1,1
"36",1,2,2,57,"100-1",15,"C2",253.9833333,1,1
"37",1,2,2,57,"100-1",15,"C2",303.15,1,3
"37.1",1,2,2,57,"100-1",15,"C2",303.15,1,3
"37.2",1,2,2,57,"100-1",15,"C2",303.15,1,3
"38",1,2,2,57,"100-1",15,"C2",349.8,1,3
"38.1",1,2,2,57,"100-1",15,"C2",349.8,1,3
"38.2",1,2,2,57,"100-1",15,"C2",349.8,1,3
"39",1,2,2,57,"100-1",15,"C2",494.9166667,1,1
"40",1,2,2,57,"100-1",15,"C2",542.4833333,1,1
"41",1,1,2,67,"100-1",15,"C2",198.1666667,1,1
"42",1,1,2,67,"100-1",15,"C2",294.9833333,1,2
"42.1",1,1,2,67,"100-1",15,"C2",294.9833333,1,2
"43",1,1,2,67,"100-1",15,"C2",437.6333333,1,1
"44",1,1,2,67,"100-1",15,"C2",542.5,0,6
"44.1",1,1,2,67,"100-1",15,"C2",542.5,0,6
"44.2",1,1,2,67,"100-1",15,"C2",542.5,0,6
"44.3",1,1,2,67,"100-1",15,"C2",542.5,0,6
"44.4",1,1,2,67,"100-1",15,"C2",542.5,0,6
"44.5",1,1,2,67,"100-1",15,"C2",542.5,0,6
"45",1,1,3,90,"100-1",15,"C2",246.05,1,2
"45.1",1,1,3,90,"100-1",15,"C2",246.05,1,2
"46",1,1,3,90,"100-1",15,"C2",295.05,1,1
"47",1,1,3,90,"100-1",15,"C2",342.1833333,1,1
"48",1,1,3,90,"100-1",15,"C2",390.0333333,1,2
"48.1",1,1,3,90,"100-1",15,"C2",390.0333333,1,2
"49",1,1,3,90,"100-1",15,"C2",437.9,1,1
"50",1,1,3,90,"100-1",15,"C2",542.5,0,3
"50.1",1,1,3,90,"100-1",15,"C2",542.5,0,3
"50.2",1,1,3,90,"100-1",15,"C2",542.5,0,3
"51",1,1,3,91,"100-1",0,"C2",246.05,1,5
"51.1",1,1,3,91,"100-1",0,"C2",246.05,1,5
"51.2",1,1,3,91,"100-1",0,"C2",246.05,1,5
"51.3",1,1,3,91,"100-1",0,"C2",246.05,1,5
"51.4",1,1,3,91,"100-1",0,"C2",246.05,1,5
"52",1,1,3,91,"100-1",0,"C2",295.05,1,1
"53",1,1,3,91,"100-1",0,"C2",342.1833333,1,3
"53.1",1,1,3,91,"100-1",0,"C2",342.1833333,1,3
"53.2",1,1,3,91,"100-1",0,"C2",342.1833333,1,3
"54",1,1,3,91,"100-1",0,"C2",390.0333333,1,1
"55",1,2,3,99,"100-1",0,"C2",206.1,1,6
"55.1",1,2,3,99,"100-1",0,"C2",206.1,1,6
"55.2",1,2,3,99,"100-1",0,"C2",206.1,1,6
"55.3",1,2,3,99,"100-1",0,"C2",206.1,1,6
"55.4",1,2,3,99,"100-1",0,"C2",206.1,1,6
"55.5",1,2,3,99,"100-1",0,"C2",206.1,1,6
"56",1,2,3,99,"100-1",0,"C2",253.8333333,1,1
"57",1,2,3,99,"100-1",0,"C2",302.9,1,3
"57.1",1,2,3,99,"100-1",0,"C2",302.9,1,3
"57.2",1,2,3,99,"100-1",0,"C2",302.9,1,3
"58",1,1,4,114,"100-1",0,"E3",150.4833333,1,1
"59",1,1,4,114,"100-1",0,"E3",198.3166667,1,1
"60",1,1,4,114,"100-1",0,"E3",246.1,1,4
"60.1",1,1,4,114,"100-1",0,"E3",246.1,1,4
"60.2",1,1,4,114,"100-1",0,"E3",246.1,1,4
"60.3",1,1,4,114,"100-1",0,"E3",246.1,1,4
"61",1,1,4,114,"100-1",0,"E3",295.15,1,2
"61.1",1,1,4,114,"100-1",0,"E3",295.15,1,2
"62",1,1,4,114,"100-1",0,"E3",342.2666667,1,1
"63",1,1,4,114,"100-1",0,"E3",437.9,1,1
"64",1,2,4,122,"100-1",10,"C2",205.85,1,3
"64.1",1,2,4,122,"100-1",10,"C2",205.85,1,3
"64.2",1,2,4,122,"100-1",10,"C2",205.85,1,3
"65",1,2,4,122,"100-1",10,"C2",253.9666667,1,4
"65.1",1,2,4,122,"100-1",10,"C2",253.9666667,1,4
"65.2",1,2,4,122,"100-1",10,"C2",253.9666667,1,4
"65.3",1,2,4,122,"100-1",10,"C2",253.9666667,1,4
"66",1,2,4,122,"100-1",10,"C2",302.8333333,1,2
"66.1",1,2,4,122,"100-1",10,"C2",302.8333333,1,2
"67",1,2,4,122,"100-1",10,"C2",445.4333333,1,1
"68",1,2,4,125,"100-1",15,"C2",107.8,1,1
"69",1,2,4,125,"100-1",15,"C2",253.9666667,1,7
"69.1",1,2,4,125,"100-1",15,"C2",253.9666667,1,7
"69.2",1,2,4,125,"100-1",15,"C2",253.9666667,1,7
"69.3",1,2,4,125,"100-1",15,"C2",253.9666667,1,7
"69.4",1,2,4,125,"100-1",15,"C2",253.9666667,1,7
"69.5",1,2,4,125,"100-1",15,"C2",253.9666667,1,7
"69.6",1,2,4,125,"100-1",15,"C2",253.9666667,1,7
"70",1,2,4,125,"100-1",15,"C2",349.45,1,1
"71",1,2,4,125,"100-1",15,"C2",494.5166667,1,1
"72",1,2,4,132,"100-1",0,"E3",155.7833333,1,5
"72.1",1,2,4,132,"100-1",0,"E3",155.7833333,1,5
"72.2",1,2,4,132,"100-1",0,"E3",155.7833333,1,5
"72.3",1,2,4,132,"100-1",0,"E3",155.7833333,1,5
"72.4",1,2,4,132,"100-1",0,"E3",155.7833333,1,5
"73",1,2,4,132,"100-1",0,"E3",205.85,1,2
"73.1",1,2,4,132,"100-1",0,"E3",205.85,1,2
"74",1,2,4,132,"100-1",0,"E3",253.9666667,1,2
"74.1",1,2,4,132,"100-1",0,"E3",253.9666667,1,2
"75",1,2,4,132,"100-1",0,"E3",302.8333333,1,1
"76",1,1,6,187,"100-1",20,"E3",542.5,0,10
"76.1",1,1,6,187,"100-1",20,"E3",542.5,0,10
"76.2",1,1,6,187,"100-1",20,"E3",542.5,0,10
"76.3",1,1,6,187,"100-1",20,"E3",542.5,0,10
"76.4",1,1,6,187,"100-1",20,"E3",542.5,0,10
"76.5",1,1,6,187,"100-1",20,"E3",542.5,0,10
"76.6",1,1,6,187,"100-1",20,"E3",542.5,0,10
"76.7",1,1,6,187,"100-1",20,"E3",542.5,0,10
"76.8",1,1,6,187,"100-1",20,"E3",542.5,0,10
"76.9",1,1,6,187,"100-1",20,"E3",542.5,0,10
"77",1,2,6,215,"100-1",20,"E3",205.7,1,2
"77.1",1,2,6,215,"100-1",20,"E3",205.7,1,2
"78",1,2,6,215,"100-1",20,"E3",253.8166667,1,2
"78.1",1,2,6,215,"100-1",20,"E3",253.8166667,1,2
"79",1,2,6,215,"100-1",20,"E3",302.5833333,1,1
"80",1,2,6,215,"100-1",20,"E3",349.1666667,1,1
"81",1,2,6,215,"100-1",20,"E3",494.2166667,1,1
"82",1,1,7,223,"100-1",10,"E3",150.6166667,1,1
"83",1,1,7,223,"100-1",10,"E3",198.4833333,1,2
"83.1",1,1,7,223,"100-1",10,"E3",198.4833333,1,2
"84",1,1,7,223,"100-1",10,"E3",246.2833333,1,2
"84.1",1,1,7,223,"100-1",10,"E3",246.2833333,1,2
"85",1,1,7,223,"100-1",10,"E3",295.3833333,1,2
"85.1",1,1,7,223,"100-1",10,"E3",295.3833333,1,2
"86",1,1,7,223,"100-1",10,"E3",342.4833333,1,1
"87",1,1,7,223,"100-1",10,"E3",390.2,1,1
"88",1,1,7,223,"100-1",10,"E3",542.5,0,1
"89",1,1,7,225,"100-1",0,"C2",198.4833333,1,1
"90",1,1,7,225,"100-1",0,"C2",246.2833333,1,4
"90.1",1,1,7,225,"100-1",0,"C2",246.2833333,1,4
"90.2",1,1,7,225,"100-1",0,"C2",246.2833333,1,4
"90.3",1,1,7,225,"100-1",0,"C2",246.2833333,1,4
"91",1,1,7,225,"100-1",0,"C2",295.3833333,1,2
"91.1",1,1,7,225,"100-1",0,"C2",295.3833333,1,2
"92",1,1,7,225,"100-1",0,"C2",342.4833333,1,3
"92.1",1,1,7,225,"100-1",0,"C2",342.4833333,1,3
"92.2",1,1,7,225,"100-1",0,"C2",342.4833333,1,3
"93",1,2,7,228,"100-1",10,"C2",205.6166667,1,2
"93.1",1,2,7,228,"100-1",10,"C2",205.6166667,1,2
"94",1,2,7,228,"100-1",10,"C2",253.7666667,1,4
"94.1",1,2,7,228,"100-1",10,"C2",253.7666667,1,4
"94.2",1,2,7,228,"100-1",10,"C2",253.7666667,1,4
"94.3",1,2,7,228,"100-1",10,"C2",253.7666667,1,4
"95",1,2,7,228,"100-1",10,"C2",302.4166667,1,3
"95.1",1,2,7,228,"100-1",10,"C2",302.4166667,1,3
"95.2",1,2,7,228,"100-1",10,"C2",302.4166667,1,3
"96",1,2,7,228,"100-1",10,"C2",542.35,1,1
"97",1,2,7,229,"100-1",20,"C2",349,1,2
"97.1",1,2,7,229,"100-1",20,"C2",349,1,2
"98",1,2,7,229,"100-1",20,"C2",395.35,1,2
"98.1",1,2,7,229,"100-1",20,"C2",395.35,1,2
"99",1,2,7,229,"100-1",20,"C2",445.1333333,1,1
"100",1,2,7,229,"100-1",20,"C2",494.1,1,1
"101",1,2,7,229,"100-1",20,"C2",542.35,1,1
"102",1,2,7,239,"100-1",10,"C2",155.4,1,1
"103",1,2,7,239,"100-1",10,"C2",205.6166667,1,1
"104",1,2,7,239,"100-1",10,"C2",253.7666667,1,5
"104.1",1,2,7,239,"100-1",10,"C2",253.7666667,1,5
"104.2",1,2,7,239,"100-1",10,"C2",253.7666667,1,5
"104.3",1,2,7,239,"100-1",10,"C2",253.7666667,1,5
"104.4",1,2,7,239,"100-1",10,"C2",253.7666667,1,5
"105",1,2,7,239,"100-1",10,"C2",302.4166667,1,3
"105.1",1,2,7,239,"100-1",10,"C2",302.4166667,1,3
"105.2",1,2,7,239,"100-1",10,"C2",302.4166667,1,3
"106",1,2,7,243,"100-1",20,"C2",494.1,1,1
"107",1,2,7,243,"100-1",20,"C2",542.35,1,1
"108",1,1,7,244,"100-1",20,"E3",342.4833333,1,1
"109",1,1,7,244,"100-1",20,"E3",542.5,0,9
"109.1",1,1,7,244,"100-1",20,"E3",542.5,0,9
"109.2",1,1,7,244,"100-1",20,"E3",542.5,0,9
"109.3",1,1,7,244,"100-1",20,"E3",542.5,0,9
"109.4",1,1,7,244,"100-1",20,"E3",542.5,0,9
"109.5",1,1,7,244,"100-1",20,"E3",542.5,0,9
"109.6",1,1,7,244,"100-1",20,"E3",542.5,0,9
"109.7",1,1,7,244,"100-1",20,"E3",542.5,0,9
"109.8",1,1,7,244,"100-1",20,"E3",542.5,0,9
"110",1,2,7,251,"100-1",0,"C2",205.6166667,1,6
"110.1",1,2,7,251,"100-1",0,"C2",205.6166667,1,6
"110.2",1,2,7,251,"100-1",0,"C2",205.6166667,1,6
"110.3",1,2,7,251,"100-1",0,"C2",205.6166667,1,6
"110.4",1,2,7,251,"100-1",0,"C2",205.6166667,1,6
"110.5",1,2,7,251,"100-1",0,"C2",205.6166667,1,6
"111",1,2,7,251,"100-1",0,"C2",253.7666667,1,3
"111.1",1,2,7,251,"100-1",0,"C2",253.7666667,1,3
"111.2",1,2,7,251,"100-1",0,"C2",253.7666667,1,3
"112",1,2,7,251,"100-1",0,"C2",302.4166667,1,1
"113",1,2,8,254,"100-1",10,"E3",107.2333333,1,1
"114",1,2,8,254,"100-1",10,"E3",155.2833333,1,2
"114.1",1,2,8,254,"100-1",10,"E3",155.2833333,1,2
"115",1,2,8,254,"100-1",10,"E3",205.5166667,1,1
"116",1,2,8,254,"100-1",10,"E3",253.7166667,1,6
"116.1",1,2,8,254,"100-1",10,"E3",253.7166667,1,6
"116.2",1,2,8,254,"100-1",10,"E3",253.7166667,1,6
"116.3",1,2,8,254,"100-1",10,"E3",253.7166667,1,6
"116.4",1,2,8,254,"100-1",10,"E3",253.7166667,1,6
"116.5",1,2,8,254,"100-1",10,"E3",253.7166667,1,6
"117",1,1,8,255,"100-1",0,"C2",150.6666667,1,1
"118",1,1,8,255,"100-1",0,"C2",246.3333333,1,2
"118.1",1,1,8,255,"100-1",0,"C2",246.3333333,1,2
"119",1,1,8,255,"100-1",0,"C2",295.4333333,1,3
"119.1",1,1,8,255,"100-1",0,"C2",295.4333333,1,3
"119.2",1,1,8,255,"100-1",0,"C2",295.4333333,1,3
"120",1,1,8,255,"100-1",0,"C2",390.3833333,1,1
"121",1,1,8,255,"100-1",0,"C2",440.4,1,2
"121.1",1,1,8,255,"100-1",0,"C2",440.4,1,2
"122",1,1,8,255,"100-1",0,"C2",542.5,0,1
"123",1,1,8,259,"100-1",10,"C2",198.55,1,2
"123.1",1,1,8,259,"100-1",10,"C2",198.55,1,2
"124",1,1,8,259,"100-1",10,"C2",295.4333333,1,3
"124.1",1,1,8,259,"100-1",10,"C2",295.4333333,1,3
"124.2",1,1,8,259,"100-1",10,"C2",295.4333333,1,3
"125",1,1,8,259,"100-1",10,"C2",342.4833333,1,3
"125.1",1,1,8,259,"100-1",10,"C2",342.4833333,1,3
"125.2",1,1,8,259,"100-1",10,"C2",342.4833333,1,3
"126",1,1,8,259,"100-1",10,"C2",440.4,1,1
"127",1,1,8,259,"100-1",10,"C2",542.5,0,1
"128",1,1,8,271,"100-1",20,"C2",542.5,0,10
"128.1",1,1,8,271,"100-1",20,"C2",542.5,0,10
"128.2",1,1,8,271,"100-1",20,"C2",542.5,0,10
"128.3",1,1,8,271,"100-1",20,"C2",542.5,0,10
"128.4",1,1,8,271,"100-1",20,"C2",542.5,0,10
"128.5",1,1,8,271,"100-1",20,"C2",542.5,0,10
"128.6",1,1,8,271,"100-1",20,"C2",542.5,0,10
"128.7",1,1,8,271,"100-1",20,"C2",542.5,0,10
"128.8",1,1,8,271,"100-1",20,"C2",542.5,0,10
"128.9",1,1,8,271,"100-1",20,"C2",542.5,0,10
"129",1,2,9,312,"100-1",15,"E3",205.3333333,1,2
"129.1",1,2,9,312,"100-1",15,"E3",205.3333333,1,2
"130",1,2,9,312,"100-1",15,"E3",253.5833333,1,1
"131",1,2,9,312,"100-1",15,"E3",302.2333333,1,3
"131.1",1,2,9,312,"100-1",15,"E3",302.2333333,1,3
"131.2",1,2,9,312,"100-1",15,"E3",302.2333333,1,3
"132",1,2,9,312,"100-1",15,"E3",493.7833333,1,2
"132.1",1,2,9,312,"100-1",15,"E3",493.7833333,1,2
"133",1,2,9,322,"100-1",15,"C2",205.3333333,1,2
"133.1",1,2,9,322,"100-1",15,"C2",205.3333333,1,2
"134",1,2,9,322,"100-1",15,"C2",253.5833333,1,3
"134.1",1,2,9,322,"100-1",15,"C2",253.5833333,1,3
"134.2",1,2,9,322,"100-1",15,"C2",253.5833333,1,3
"135",1,2,9,322,"100-1",15,"C2",302.2333333,1,4
"135.1",1,2,9,322,"100-1",15,"C2",302.2333333,1,4
"135.2",1,2,9,322,"100-1",15,"C2",302.2333333,1,4
"135.3",1,2,9,322,"100-1",15,"C2",302.2333333,1,4
"136",1,2,9,322,"100-1",15,"C2",348.7666667,1,1
"137",1,2,9,324,"100-1",20,"C2",253.5833333,1,1
"138",1,2,9,324,"100-1",20,"C2",348.7666667,1,1
"139",1,2,9,324,"100-1",20,"C2",493.7833333,1,3
"139.1",1,2,9,324,"100-1",20,"C2",493.7833333,1,3
"139.2",1,2,9,324,"100-1",20,"C2",493.7833333,1,3
"140",1,2,6,215,"100-1",20,"C2",542.5,0,3
"140.1",1,2,6,215,"100-1",20,"C2",542.5,0,3
"140.2",1,2,6,215,"100-1",20,"C2",542.5,0,3
"141",1,2,7,229,"100-1",20,"C2",542.5,0,3
"141.1",1,2,7,229,"100-1",20,"C2",542.5,0,3
"141.2",1,2,7,229,"100-1",20,"C2",542.5,0,3
"142",1,2,7,243,"100-1",20,"C2",542.5,0,8
"142.1",1,2,7,243,"100-1",20,"C2",542.5,0,8
"142.2",1,2,7,243,"100-1",20,"C2",542.5,0,8
"142.3",1,2,7,243,"100-1",20,"C2",542.5,0,8
"142.4",1,2,7,243,"100-1",20,"C2",542.5,0,8
"142.5",1,2,7,243,"100-1",20,"C2",542.5,0,8
"142.6",1,2,7,243,"100-1",20,"C2",542.5,0,8
"142.7",1,2,7,243,"100-1",20,"C2",542.5,0,8
"143",1,2,9,312,"100-1",15,"C2",542.5,0,2
"143.1",1,2,9,312,"100-1",15,"C2",542.5,0,2
"144",1,2,9,324,"100-1",20,"C2",542.5,0,5
"144.1",1,2,9,324,"100-1",20,"C2",542.5,0,5
"144.2",1,2,9,324,"100-1",20,"C2",542.5,0,5
"144.3",1,2,9,324,"100-1",20,"C2",542.5,0,5
"144.4",1,2,9,324,"100-1",20,"C2",542.5,0,5
"145",1,1,1,25,"100-2",10,"E3",245.9666667,1,2
"145.1",1,1,1,25,"100-2",10,"E3",245.9666667,1,2
"146",1,1,1,25,"100-2",10,"E3",342.0333333,1,1
"147",1,1,1,25,"100-2",10,"E3",389.8833333,1,3
"147.1",1,1,1,25,"100-2",10,"E3",389.8833333,1,3
"147.2",1,1,1,25,"100-2",10,"E3",389.8833333,1,3
"148",1,1,1,25,"100-2",10,"E3",437.6333333,1,3
"148.1",1,1,1,25,"100-2",10,"E3",437.6333333,1,3
"148.2",1,1,1,25,"100-2",10,"E3",437.6333333,1,3
"149",1,1,4,131,"100-2",20,"E3",437.9,1,2
"149.1",1,1,4,131,"100-2",20,"E3",437.9,1,2
"150",1,1,4,131,"100-2",20,"E3",542.5,0,8
"150.1",1,1,4,131,"100-2",20,"E3",542.5,0,8
"150.2",1,1,4,131,"100-2",20,"E3",542.5,0,8
"150.3",1,1,4,131,"100-2",20,"E3",542.5,0,8
"150.4",1,1,4,131,"100-2",20,"E3",542.5,0,8
"150.5",1,1,4,131,"100-2",20,"E3",542.5,0,8
"150.6",1,1,4,131,"100-2",20,"E3",542.5,0,8
"150.7",1,1,4,131,"100-2",20,"E3",542.5,0,8
"151",1,1,5,160,"100-2",15,"E3",342.35,1,1
"152",1,1,5,160,"100-2",15,"E3",390.2,1,1
"153",1,1,5,160,"100-2",15,"E3",438.45,1,3
"153.1",1,1,5,160,"100-2",15,"E3",438.45,1,3
"153.2",1,1,5,160,"100-2",15,"E3",438.45,1,3
"154",1,1,5,160,"100-2",15,"E3",542.5,0,5
"154.1",1,1,5,160,"100-2",15,"E3",542.5,0,5
"154.2",1,1,5,160,"100-2",15,"E3",542.5,0,5
"154.3",1,1,5,160,"100-2",15,"E3",542.5,0,5
"154.4",1,1,5,160,"100-2",15,"E3",542.5,0,5
"155",1,1,5,174,"100-2",0,"E3",246.1833333,1,1
"156",1,1,5,174,"100-2",0,"E3",295.15,1,3
"156.1",1,1,5,174,"100-2",0,"E3",295.15,1,3
"156.2",1,1,5,174,"100-2",0,"E3",295.15,1,3
"157",1,1,5,174,"100-2",0,"E3",342.35,1,2
"157.1",1,1,5,174,"100-2",0,"E3",342.35,1,2
"158",1,1,5,174,"100-2",0,"E3",438.45,1,1
"159",1,1,5,174,"100-2",0,"E3",542.5,0,3
"159.1",1,1,5,174,"100-2",0,"E3",542.5,0,3
"159.2",1,1,5,174,"100-2",0,"E3",542.5,0,3
"160",1,2,6,183,"102-1",10,"E3",205.7,1,4
"160.1",1,2,6,183,"102-1",10,"E3",205.7,1,4
"160.2",1,2,6,183,"102-1",10,"E3",205.7,1,4
"160.3",1,2,6,183,"102-1",10,"E3",205.7,1,4
"161",1,2,6,183,"102-1",10,"E3",253.8166667,1,3
"161.1",1,2,6,183,"102-1",10,"E3",253.8166667,1,3
"161.2",1,2,6,183,"102-1",10,"E3",253.8166667,1,3
"162",1,2,6,183,"102-1",10,"E3",302.5833333,1,2
"162.1",1,2,6,183,"102-1",10,"E3",302.5833333,1,2
"163",1,2,6,188,"102-1",20,"E3",205.7,1,2
"163.1",1,2,6,188,"102-1",20,"E3",205.7,1,2
"164",1,2,6,188,"102-1",20,"E3",349.1666667,1,2
"164.1",1,2,6,188,"102-1",20,"E3",349.1666667,1,2
"165",1,2,6,188,"102-1",20,"E3",395.45,1,1
"166",1,2,6,188,"102-1",20,"E3",445.25,1,1
"167",1,2,6,188,"102-1",20,"E3",542.3333333,1,1
"168",1,2,9,297,"102-1",0,"E3",205.3333333,1,8
"168.1",1,2,9,297,"102-1",0,"E3",205.3333333,1,8
"168.2",1,2,9,297,"102-1",0,"E3",205.3333333,1,8
"168.3",1,2,9,297,"102-1",0,"E3",205.3333333,1,8
"168.4",1,2,9,297,"102-1",0,"E3",205.3333333,1,8
"168.5",1,2,9,297,"102-1",0,"E3",205.3333333,1,8
"168.6",1,2,9,297,"102-1",0,"E3",205.3333333,1,8
"168.7",1,2,9,297,"102-1",0,"E3",205.3333333,1,8
"169",1,2,9,297,"102-1",0,"E3",253.5833333,1,1
"170",1,2,9,297,"102-1",0,"E3",348.7666667,1,1
"171",1,2,9,306,"102-1",15,"E3",107.0166667,1,1
"172",1,2,9,306,"102-1",15,"E3",253.5833333,1,3
"172.1",1,2,9,306,"102-1",15,"E3",253.5833333,1,3
"172.2",1,2,9,306,"102-1",15,"E3",253.5833333,1,3
"173",1,2,9,306,"102-1",15,"E3",302.2333333,1,2
"173.1",1,2,9,306,"102-1",15,"E3",302.2333333,1,2
"174",1,2,9,306,"102-1",15,"E3",348.7666667,1,2
"174.1",1,2,9,306,"102-1",15,"E3",348.7666667,1,2
"175",1,2,9,306,"102-1",15,"E3",395.05,1,2
