"","rep","run","shelf","plate","line","trt","end","status","viable","number"
"1095.2",1,1,8,284,"165-1",0,102.2833333,1,1,3
"1096",1,1,8,284,"165-1",0,150.6666667,1,1,4
"1096.1",1,1,8,284,"165-1",0,150.6666667,1,1,4
"1096.2",1,1,8,284,"165-1",0,150.6666667,1,1,4
"1096.3",1,1,8,284,"165-1",0,150.6666667,1,1,4
"1097",1,1,8,284,"165-1",0,198.55,1,1,1
"1098",1,1,8,284,"165-1",0,390.3833333,1,1,1
"1099",1,1,8,284,"165-1",0,542.5,0,0,1
"1100",1,1,8,285,"174-1",10,102.2833333,1,1,1
"1101",1,1,8,285,"174-1",10,150.6666667,1,1,5
"1101.1",1,1,8,285,"174-1",10,150.6666667,1,1,5
"1101.2",1,1,8,285,"174-1",10,150.6666667,1,1,5
"1101.3",1,1,8,285,"174-1",10,150.6666667,1,1,5
"1101.4",1,1,8,285,"174-1",10,150.6666667,1,1,5
"1102",1,1,8,285,"174-1",10,198.55,1,1,1
"1103",1,1,8,285,"174-1",10,246.3333333,1,1,1
"1104",1,1,8,285,"174-1",10,542.5,0,0,2
"1104.1",1,1,8,285,"174-1",10,542.5,0,0,2
"1105",1,1,8,286,"177-2",15,150.6666667,1,1,3
"1105.1",1,1,8,286,"177-2",15,150.6666667,1,1,3
"1105.2",1,1,8,286,"177-2",15,150.6666667,1,1,3
"1106",1,1,8,286,"177-2",15,198.55,1,1,1
"1107",1,1,8,286,"177-2",15,542.5,0,0,6
"1107.1",1,1,8,286,"177-2",15,542.5,0,0,6
"1107.2",1,1,8,286,"177-2",15,542.5,0,0,6
"1107.3",1,1,8,286,"177-2",15,542.5,0,0,6
"1107.4",1,1,8,286,"177-2",15,542.5,0,0,6
"1107.5",1,1,8,286,"177-2",15,542.5,0,0,6
"1108",1,1,8,287,"135-2",20,198.55,1,1,1
"1109",1,1,8,287,"135-2",20,246.3333333,1,1,3
"1109.1",1,1,8,287,"135-2",20,246.3333333,1,1,3
"1109.2",1,1,8,287,"135-2",20,246.3333333,1,1,3
"1110",1,1,8,287,"135-2",20,295.4333333,1,1,1
"1111",1,1,8,287,"135-2",20,440.4,1,1,1
"1112",1,1,8,287,"135-2",20,542.5,0,0,4
"1112.1",1,1,8,287,"135-2",20,542.5,0,0,4
"1112.2",1,1,8,287,"135-2",20,542.5,0,0,4
"1112.3",1,1,8,287,"135-2",20,542.5,0,0,4
"1113",1,1,8,288,"173-1",15,150.6666667,1,1,8
"1113.1",1,1,8,288,"173-1",15,150.6666667,1,1,8
"1113.2",1,1,8,288,"173-1",15,150.6666667,1,1,8
"1113.3",1,1,8,288,"173-1",15,150.6666667,1,1,8
"1113.4",1,1,8,288,"173-1",15,150.6666667,1,1,8
"1113.5",1,1,8,288,"173-1",15,150.6666667,1,1,8
"1113.6",1,1,8,288,"173-1",15,150.6666667,1,1,8
"1113.7",1,1,8,288,"173-1",15,150.6666667,1,1,8
"1114",1,1,8,288,"173-1",15,542.5,0,0,2
"1114.1",1,1,8,288,"173-1",15,542.5,0,0,2
"1115",1,1,9,289,"93-1",10,102.3166667,1,1,3
"1115.1",1,1,9,289,"93-1",10,102.3166667,1,1,3
"1115.2",1,1,9,289,"93-1",10,102.3166667,1,1,3
"1116",1,1,9,289,"93-1",10,150.7333333,1,1,4
"1116.1",1,1,9,289,"93-1",10,150.7333333,1,1,4
"1116.2",1,1,9,289,"93-1",10,150.7333333,1,1,4
"1116.3",1,1,9,289,"93-1",10,150.7333333,1,1,4
"1117",1,1,9,289,"93-1",10,198.6166667,1,1,1
"1118",1,1,9,289,"93-1",10,295.4333333,1,1,1
"1119",1,1,9,289,"93-1",10,542.5,0,0,1
"1120",1,1,9,290,"125-2",10,295.4333333,1,1,1
"1121",1,1,9,290,"125-2",10,542.5,0,1,8
"1121.1",1,1,9,290,"125-2",10,542.5,0,1,8
"1121.2",1,1,9,290,"125-2",10,542.5,0,1,8
"1121.3",1,1,9,290,"125-2",10,542.5,0,1,8
"1121.4",1,1,9,290,"125-2",10,542.5,0,1,8
"1121.5",1,1,9,290,"125-2",10,542.5,0,1,8
"1121.6",1,1,9,290,"125-2",10,542.5,0,1,8
"1121.7",1,1,9,290,"125-2",10,542.5,0,1,8
"1122",1,1,9,290,"125-2",10,542.5,0,0,1
"1123",1,1,9,291,"216-1",15,102.3166667,1,1,1
"1124",1,1,9,291,"216-1",15,150.7333333,1,1,3
"1124.1",1,1,9,291,"216-1",15,150.7333333,1,1,3
"1124.2",1,1,9,291,"216-1",15,150.7333333,1,1,3
"1125",1,1,9,291,"216-1",15,198.6166667,1,1,1
"1126",1,1,9,291,"216-1",15,342.4833333,1,1,1
"1127",1,1,9,291,"216-1",15,542.5,0,1,1
"1128",1,1,9,291,"216-1",15,542.5,0,0,3
"1128.1",1,1,9,291,"216-1",15,542.5,0,0,3
"1128.2",1,1,9,291,"216-1",15,542.5,0,0,3
"1129",1,1,9,292,"218-1",15,150.7333333,1,1,3
"1129.1",1,1,9,292,"218-1",15,150.7333333,1,1,3
"1129.2",1,1,9,292,"218-1",15,150.7333333,1,1,3
"1130",1,1,9,292,"218-1",15,198.6166667,1,1,7
"1130.1",1,1,9,292,"218-1",15,198.6166667,1,1,7
"1130.2",1,1,9,292,"218-1",15,198.6166667,1,1,7
"1130.3",1,1,9,292,"218-1",15,198.6166667,1,1,7
"1130.4",1,1,9,292,"218-1",15,198.6166667,1,1,7
"1130.5",1,1,9,292,"218-1",15,198.6166667,1,1,7
"1130.6",1,1,9,292,"218-1",15,198.6166667,1,1,7
"1131",1,1,9,293,"174-1",15,150.7333333,1,1,8
"1131.1",1,1,9,293,"174-1",15,150.7333333,1,1,8
"1131.2",1,1,9,293,"174-1",15,150.7333333,1,1,8
"1131.3",1,1,9,293,"174-1",15,150.7333333,1,1,8
"1131.4",1,1,9,293,"174-1",15,150.7333333,1,1,8
"1131.5",1,1,9,293,"174-1",15,150.7333333,1,1,8
"1131.6",1,1,9,293,"174-1",15,150.7333333,1,1,8
"1131.7",1,1,9,293,"174-1",15,150.7333333,1,1,8
"1132",1,1,9,293,"174-1",15,390.4666667,1,1,1
"1133",1,1,9,293,"174-1",15,542.5,0,0,1
"1134",1,1,9,294,"149-1",0,102.3166667,1,1,2
"1134.1",1,1,9,294,"149-1",0,102.3166667,1,1,2
"1135",1,1,9,294,"149-1",0,150.7333333,1,1,6
"1135.1",1,1,9,294,"149-1",0,150.7333333,1,1,6
"1135.2",1,1,9,294,"149-1",0,150.7333333,1,1,6
"1135.3",1,1,9,294,"149-1",0,150.7333333,1,1,6
"1135.4",1,1,9,294,"149-1",0,150.7333333,1,1,6
"1135.5",1,1,9,294,"149-1",0,150.7333333,1,1,6
"1136",1,1,9,294,"149-1",0,246.3333333,1,1,1
"1137",1,1,9,294,"149-1",0,542.5,0,0,1
"1138",1,1,9,295,"129-1",10,102.3166667,1,1,1
"1139",1,1,9,295,"129-1",10,150.7333333,1,1,1
"1140",1,1,9,295,"129-1",10,542.5,0,1,1
"1141",1,1,9,295,"129-1",10,542.5,0,0,7
"1141.1",1,1,9,295,"129-1",10,542.5,0,0,7
"1141.2",1,1,9,295,"129-1",10,542.5,0,0,7
"1141.3",1,1,9,295,"129-1",10,542.5,0,0,7
"1141.4",1,1,9,295,"129-1",10,542.5,0,0,7
"1141.5",1,1,9,295,"129-1",10,542.5,0,0,7
"1141.6",1,1,9,295,"129-1",10,542.5,0,0,7
"1142",1,1,9,296,"153-2",15,150.7333333,1,1,3
"1142.1",1,1,9,296,"153-2",15,150.7333333,1,1,3
"1142.2",1,1,9,296,"153-2",15,150.7333333,1,1,3
"1143",1,1,9,296,"153-2",15,246.3333333,1,1,3
"1143.1",1,1,9,296,"153-2",15,246.3333333,1,1,3
"1143.2",1,1,9,296,"153-2",15,246.3333333,1,1,3
"1144",1,1,9,296,"153-2",15,542.5,0,1,2
"1144.1",1,1,9,296,"153-2",15,542.5,0,1,2
"1145",1,1,9,296,"153-2",15,542.5,0,0,2
"1145.1",1,1,9,296,"153-2",15,542.5,0,0,2
"1146",1,1,9,298,"144-1",10,102.3166667,1,1,4
"1146.1",1,1,9,298,"144-1",10,102.3166667,1,1,4
"1146.2",1,1,9,298,"144-1",10,102.3166667,1,1,4
"1146.3",1,1,9,298,"144-1",10,102.3166667,1,1,4
"1147",1,1,9,298,"144-1",10,150.7333333,1,1,1
"1148",1,1,9,298,"144-1",10,198.6166667,1,1,1
"1149",1,1,9,298,"144-1",10,542.5,0,1,2
"1149.1",1,1,9,298,"144-1",10,542.5,0,1,2
"1150",1,1,9,298,"144-1",10,542.5,0,0,2
"1150.1",1,1,9,298,"144-1",10,542.5,0,0,2
"1151",1,1,9,300,"186-1",15,54.18333333,1,1,1
"1152",1,1,9,300,"186-1",15,102.3166667,1,1,1
"1153",1,1,9,300,"186-1",15,198.6166667,1,1,2
"1153.1",1,1,9,300,"186-1",15,198.6166667,1,1,2
"1154",1,1,9,300,"186-1",15,542.5,0,1,1
"1155",1,1,9,300,"186-1",15,542.5,0,0,5
"1155.1",1,1,9,300,"186-1",15,542.5,0,0,5
"1155.2",1,1,9,300,"186-1",15,542.5,0,0,5
"1155.3",1,1,9,300,"186-1",15,542.5,0,0,5
"1155.4",1,1,9,300,"186-1",15,542.5,0,0,5
"1156",1,1,9,301,"184-1",0,150.7333333,1,1,3
"1156.1",1,1,9,301,"184-1",0,150.7333333,1,1,3
"1156.2",1,1,9,301,"184-1",0,150.7333333,1,1,3
"1157",1,1,9,301,"184-1",0,198.6166667,1,1,3
"1157.1",1,1,9,301,"184-1",0,198.6166667,1,1,3
"1157.2",1,1,9,301,"184-1",0,198.6166667,1,1,3
"1158",1,1,9,301,"184-1",0,246.3333333,1,1,2
"1158.1",1,1,9,301,"184-1",0,246.3333333,1,1,2
"1159",1,1,9,301,"184-1",0,542.5,0,1,1
"1160",1,1,9,301,"184-1",0,542.5,0,0,1
"1161",1,1,9,302,"149-1",15,198.6166667,1,1,7
"1161.1",1,1,9,302,"149-1",15,198.6166667,1,1,7
"1161.2",1,1,9,302,"149-1",15,198.6166667,1,1,7
"1161.3",1,1,9,302,"149-1",15,198.6166667,1,1,7
"1161.4",1,1,9,302,"149-1",15,198.6166667,1,1,7
"1161.5",1,1,9,302,"149-1",15,198.6166667,1,1,7
"1161.6",1,1,9,302,"149-1",15,198.6166667,1,1,7
"1162",1,1,9,302,"149-1",15,542.5,0,1,1
"1163",1,1,9,302,"149-1",15,542.5,0,0,2
"1163.1",1,1,9,302,"149-1",15,542.5,0,0,2
"1164",1,1,9,304,"218-2",20,390.4666667,1,1,1
"1165",1,1,9,304,"218-2",20,542.5,0,1,7
"1165.1",1,1,9,304,"218-2",20,542.5,0,1,7
"1165.2",1,1,9,304,"218-2",20,542.5,0,1,7
"1165.3",1,1,9,304,"218-2",20,542.5,0,1,7
"1165.4",1,1,9,304,"218-2",20,542.5,0,1,7
"1165.5",1,1,9,304,"218-2",20,542.5,0,1,7
"1165.6",1,1,9,304,"218-2",20,542.5,0,1,7
"1166",1,1,9,304,"218-2",20,542.5,0,0,2
"1166.1",1,1,9,304,"218-2",20,542.5,0,0,2
"1167",1,1,9,305,"170-1",15,102.3166667,1,1,2
"1167.1",1,1,9,305,"170-1",15,102.3166667,1,1,2
"1168",1,1,9,305,"170-1",15,150.7333333,1,1,5
"1168.1",1,1,9,305,"170-1",15,150.7333333,1,1,5
"1168.2",1,1,9,305,"170-1",15,150.7333333,1,1,5
"1168.3",1,1,9,305,"170-1",15,150.7333333,1,1,5
"1168.4",1,1,9,305,"170-1",15,150.7333333,1,1,5
"1169",1,1,9,305,"170-1",15,198.6166667,1,1,2
"1169.1",1,1,9,305,"170-1",15,198.6166667,1,1,2
"1170",1,1,9,305,"170-1",15,542.5,0,0,1
"1171",1,1,9,306,"170-1",0,102.3166667,1,1,4
"1171.1",1,1,9,306,"170-1",0,102.3166667,1,1,4
"1171.2",1,1,9,306,"170-1",0,102.3166667,1,1,4
"1171.3",1,1,9,306,"170-1",0,102.3166667,1,1,4
"1172",1,1,9,306,"170-1",0,150.7333333,1,1,4
"1172.1",1,1,9,306,"170-1",0,150.7333333,1,1,4
"1172.2",1,1,9,306,"170-1",0,150.7333333,1,1,4
"1172.3",1,1,9,306,"170-1",0,150.7333333,1,1,4
"1173",1,1,9,306,"170-1",0,342.4833333,1,1,1
"1174",1,1,9,306,"170-1",0,542.5,0,0,1
"1175",1,1,9,307,"215-2",15,150.7333333,1,1,6
"1175.1",1,1,9,307,"215-2",15,150.7333333,1,1,6
"1175.2",1,1,9,307,"215-2",15,150.7333333,1,1,6
"1175.3",1,1,9,307,"215-2",15,150.7333333,1,1,6
"1175.4",1,1,9,307,"215-2",15,150.7333333,1,1,6
"1175.5",1,1,9,307,"215-2",15,150.7333333,1,1,6
"1176",1,1,9,307,"215-2",15,198.6166667,1,1,1
"1177",1,1,9,307,"215-2",15,542.5,0,0,3
"1177.1",1,1,9,307,"215-2",15,542.5,0,0,3
"1177.2",1,1,9,307,"215-2",15,542.5,0,0,3
"1178",1,1,9,308,"177-2",10,102.3166667,1,1,3
"1178.1",1,1,9,308,"177-2",10,102.3166667,1,1,3
"1178.2",1,1,9,308,"177-2",10,102.3166667,1,1,3
"1179",1,1,9,308,"177-2",10,150.7333333,1,1,2
"1179.1",1,1,9,308,"177-2",10,150.7333333,1,1,2
"1180",1,1,9,308,"177-2",10,246.3333333,1,1,1
"1181",1,1,9,308,"177-2",10,542.5,0,1,1
"1182",1,1,9,308,"177-2",10,542.5,0,0,3
"1182.1",1,1,9,308,"177-2",10,542.5,0,0,3
"1182.2",1,1,9,308,"177-2",10,542.5,0,0,3
"1183",1,1,9,309,"142-2",10,150.7333333,1,1,3
"1183.1",1,1,9,309,"142-2",10,150.7333333,1,1,3
"1183.2",1,1,9,309,"142-2",10,150.7333333,1,1,3
"1184",1,1,9,309,"142-2",10,198.6166667,1,1,4
"1184.1",1,1,9,309,"142-2",10,198.6166667,1,1,4
"1184.2",1,1,9,309,"142-2",10,198.6166667,1,1,4
"1184.3",1,1,9,309,"142-2",10,198.6166667,1,1,4
"1185",1,1,9,309,"142-2",10,542.5,0,1,2
"1185.1",1,1,9,309,"142-2",10,542.5,0,1,2
"1186",1,1,9,309,"142-2",10,542.5,0,0,1
"1187",1,1,9,310,"84-1",20,150.7333333,1,1,1
"1188",1,1,9,310,"84-1",20,198.6166667,1,1,1
"1189",1,1,9,310,"84-1",20,246.3333333,1,1,4
"1189.1",1,1,9,310,"84-1",20,246.3333333,1,1,4
"1189.2",1,1,9,310,"84-1",20,246.3333333,1,1,4
"1189.3",1,1,9,310,"84-1",20,246.3333333,1,1,4
"1190",1,1,9,310,"84-1",20,295.4333333,1,1,3
"1190.1",1,1,9,310,"84-1",20,295.4333333,1,1,3
"1190.2",1,1,9,310,"84-1",20,295.4333333,1,1,3
"1191",1,1,9,310,"84-1",20,542.5,0,1,1
"1192",1,1,9,312,"125-2",15,150.7333333,1,1,1
"1193",1,1,9,312,"125-2",15,440.6166667,1,1,1
"1194",1,1,9,312,"125-2",15,542.5,0,1,8
"1194.1",1,1,9,312,"125-2",15,542.5,0,1,8
"1194.2",1,1,9,312,"125-2",15,542.5,0,1,8
"1194.3",1,1,9,312,"125-2",15,542.5,0,1,8
"1194.4",1,1,9,312,"125-2",15,542.5,0,1,8
"1194.5",1,1,9,312,"125-2",15,542.5,0,1,8
"1194.6",1,1,9,312,"125-2",15,542.5,0,1,8
"1194.7",1,1,9,312,"125-2",15,542.5,0,1,8
"1195",1,1,9,313,"156-1",15,542.5,0,1,10
"1195.1",1,1,9,313,"156-1",15,542.5,0,1,10
"1195.2",1,1,9,313,"156-1",15,542.5,0,1,10
"1195.3",1,1,9,313,"156-1",15,542.5,0,1,10
"1195.4",1,1,9,313,"156-1",15,542.5,0,1,10
"1195.5",1,1,9,313,"156-1",15,542.5,0,1,10
"1195.6",1,1,9,313,"156-1",15,542.5,0,1,10
"1195.7",1,1,9,313,"156-1",15,542.5,0,1,10
"1195.8",1,1,9,313,"156-1",15,542.5,0,1,10
"1195.9",1,1,9,313,"156-1",15,542.5,0,1,10
"1196",1,1,9,315,"179-1",0,102.3166667,1,1,1
"1197",1,1,9,315,"179-1",0,150.7333333,1,1,4
"1197.1",1,1,9,315,"179-1",0,150.7333333,1,1,4
"1197.2",1,1,9,315,"179-1",0,150.7333333,1,1,4
"1197.3",1,1,9,315,"179-1",0,150.7333333,1,1,4
"1198",1,1,9,315,"179-1",0,198.6166667,1,1,3
"1198.1",1,1,9,315,"179-1",0,198.6166667,1,1,3
"1198.2",1,1,9,315,"179-1",0,198.6166667,1,1,3
"1199",1,1,9,315,"179-1",0,246.3333333,1,1,2
"1199.1",1,1,9,315,"179-1",0,246.3333333,1,1,2
"1200",1,1,9,316,"216-1",10,150.7333333,1,1,2
"1200.1",1,1,9,316,"216-1",10,150.7333333,1,1,2
"1201",1,1,9,316,"216-1",10,542.5,0,1,3
"1201.1",1,1,9,316,"216-1",10,542.5,0,1,3
"1201.2",1,1,9,316,"216-1",10,542.5,0,1,3
"1202",1,1,9,316,"216-1",10,542.5,0,0,5
"1202.1",1,1,9,316,"216-1",10,542.5,0,0,5
"1202.2",1,1,9,316,"216-1",10,542.5,0,0,5
"1202.3",1,1,9,316,"216-1",10,542.5,0,0,5
"1202.4",1,1,9,316,"216-1",10,542.5,0,0,5
"1203",1,1,9,317,"139-1",15,102.3166667,1,1,1
"1204",1,1,9,317,"139-1",15,198.6166667,1,1,1
"1205",1,1,9,317,"139-1",15,246.3333333,1,1,3
"1205.1",1,1,9,317,"139-1",15,246.3333333,1,1,3
"1205.2",1,1,9,317,"139-1",15,246.3333333,1,1,3
"1206",1,1,9,317,"139-1",15,440.6166667,1,1,1
"1207",1,1,9,317,"139-1",15,542.5,0,1,2
"1207.1",1,1,9,317,"139-1",15,542.5,0,1,2
"1208",1,1,9,317,"139-1",15,542.5,0,0,2
"1208.1",1,1,9,317,"139-1",15,542.5,0,0,2
"1209",1,1,9,319,"191-2",20,246.3333333,1,1,2
"1209.1",1,1,9,319,"191-2",20,246.3333333,1,1,2
"1210",1,1,9,319,"191-2",20,342.4833333,1,1,2
"1210.1",1,1,9,319,"191-2",20,342.4833333,1,1,2
"1211",1,1,9,319,"191-2",20,440.6166667,1,1,1
"1212",1,1,9,319,"191-2",20,542.5,0,1,5
"1212.1",1,1,9,319,"191-2",20,542.5,0,1,5
"1212.2",1,1,9,319,"191-2",20,542.5,0,1,5
"1212.3",1,1,9,319,"191-2",20,542.5,0,1,5
"1212.4",1,1,9,319,"191-2",20,542.5,0,1,5
"1213",1,1,9,320,"138-1",10,150.7333333,1,1,2
"1213.1",1,1,9,320,"138-1",10,150.7333333,1,1,2
"1214",1,1,9,320,"138-1",10,198.6166667,1,1,1
"1215",1,1,9,320,"138-1",10,542.5,0,1,1
"1216",1,1,9,320,"138-1",10,542.5,0,0,6
"1216.1",1,1,9,320,"138-1",10,542.5,0,0,6
"1216.2",1,1,9,320,"138-1",10,542.5,0,0,6
"1216.3",1,1,9,320,"138-1",10,542.5,0,0,6
"1216.4",1,1,9,320,"138-1",10,542.5,0,0,6
"1216.5",1,1,9,320,"138-1",10,542.5,0,0,6
"1217",1,1,9,321,"139-1",20,342.4833333,1,1,1
"1218",1,1,9,321,"139-1",20,542.5,0,1,4
"1218.1",1,1,9,321,"139-1",20,542.5,0,1,4
"1218.2",1,1,9,321,"139-1",20,542.5,0,1,4
"1218.3",1,1,9,321,"139-1",20,542.5,0,1,4
"1219",1,1,9,321,"139-1",20,542.5,0,0,5
"1219.1",1,1,9,321,"139-1",20,542.5,0,0,5
"1219.2",1,1,9,321,"139-1",20,542.5,0,0,5
"1219.3",1,1,9,321,"139-1",20,542.5,0,0,5
"1219.4",1,1,9,321,"139-1",20,542.5,0,0,5
"1220",1,1,9,322,"156-2",0,102.3166667,1,1,1
"1221",1,1,9,322,"156-2",0,246.3333333,1,1,1
"1222",1,1,9,322,"156-2",0,295.4333333,1,1,1
"1223",1,1,9,322,"156-2",0,342.4833333,1,1,6
"1223.1",1,1,9,322,"156-2",0,342.4833333,1,1,6
"1223.2",1,1,9,322,"156-2",0,342.4833333,1,1,6
"1223.3",1,1,9,322,"156-2",0,342.4833333,1,1,6
"1223.4",1,1,9,322,"156-2",0,342.4833333,1,1,6
"1223.5",1,1,9,322,"156-2",0,342.4833333,1,1,6
"1224",1,1,9,322,"156-2",0,390.4666667,1,1,1
"1225",1,1,9,323,"174-1",20,198.6166667,1,1,5
"1225.1",1,1,9,323,"174-1",20,198.6166667,1,1,5
"1225.2",1,1,9,323,"174-1",20,198.6166667,1,1,5
"1225.3",1,1,9,323,"174-1",20,198.6166667,1,1,5
"1225.4",1,1,9,323,"174-1",20,198.6166667,1,1,5
"1226",1,1,9,323,"174-1",20,246.3333333,1,1,1
"1227",1,1,9,323,"174-1",20,295.4333333,1,1,1
"1228",1,1,9,323,"174-1",20,342.4833333,1,1,2
"1228.1",1,1,9,323,"174-1",20,342.4833333,1,1,2
"1229",1,1,9,323,"174-1",20,542.5,0,0,1
"1230",1,1,9,324,"Johnny's",10,198.6166667,1,1,1
"1231",1,1,9,324,"Johnny's",10,246.3333333,1,1,3
"1231.1",1,1,9,324,"Johnny's",10,246.3333333,1,1,3
"1231.2",1,1,9,324,"Johnny's",10,246.3333333,1,1,3
"1232",1,1,9,324,"Johnny's",10,295.4333333,1,1,1
"1233",1,1,9,324,"Johnny's",10,542.5,0,0,5
"1233.1",1,1,9,324,"Johnny's",10,542.5,0,0,5
"1233.2",1,1,9,324,"Johnny's",10,542.5,0,0,5
"1233.3",1,1,9,324,"Johnny's",10,542.5,0,0,5
"1233.4",1,1,9,324,"Johnny's",10,542.5,0,0,5
"1234",1,2,1,1,"185-1",20,303.3333333,1,1,6
"1234.1",1,2,1,1,"185-1",20,303.3333333,1,1,6
"1234.2",1,2,1,1,"185-1",20,303.3333333,1,1,6
"1234.3",1,2,1,1,"185-1",20,303.3333333,1,1,6
"1234.4",1,2,1,1,"185-1",20,303.3333333,1,1,6
"1234.5",1,2,1,1,"185-1",20,303.3333333,1,1,6
"1235",1,2,1,1,"185-1",20,349.95,1,1,2
"1235.1",1,2,1,1,"185-1",20,349.95,1,1,2
"1236",1,2,1,1,"185-1",20,446,1,1,1
"1237",1,2,1,1,"185-1",20,542.5,0,1,1
"1238",1,2,1,3,"177-1",10,108.4333333,1,1,2
"1238.1",1,2,1,3,"177-1",10,108.4333333,1,1,2
"1239",1,2,1,3,"177-1",10,396.2833333,1,1,1
"1240",1,2,1,3,"177-1",10,542.5,0,0,7
"1240.1",1,2,1,3,"177-1",10,542.5,0,0,7
"1240.2",1,2,1,3,"177-1",10,542.5,0,0,7
"1240.3",1,2,1,3,"177-1",10,542.5,0,0,7
"1240.4",1,2,1,3,"177-1",10,542.5,0,0,7
"1240.5",1,2,1,3,"177-1",10,542.5,0,0,7
"1240.6",1,2,1,3,"177-1",10,542.5,0,0,7
"1241",1,2,1,4,"145-2",15,108.4333333,1,1,1
"1242",1,2,1,4,"145-2",15,156.35,1,1,4
"1242.1",1,2,1,4,"145-2",15,156.35,1,1,4
"1242.2",1,2,1,4,"145-2",15,156.35,1,1,4
"1242.3",1,2,1,4,"145-2",15,156.35,1,1,4
"1243",1,2,1,4,"145-2",15,303.3333333,1,1,1
"1244",1,2,1,4,"145-2",15,542.5,0,0,4
"1244.1",1,2,1,4,"145-2",15,542.5,0,0,4
"1244.2",1,2,1,4,"145-2",15,542.5,0,0,4
"1244.3",1,2,1,4,"145-2",15,542.5,0,0,4
"1245",1,2,1,5,"120-1",20,108.4333333,1,1,1
"1246",1,2,1,5,"120-1",20,156.35,1,1,2
"1246.1",1,2,1,5,"120-1",20,156.35,1,1,2
"1247",1,2,1,5,"120-1",20,254.0666667,1,1,1
"1248",1,2,1,5,"120-1",20,542.5,0,0,6
"1248.1",1,2,1,5,"120-1",20,542.5,0,0,6
"1248.2",1,2,1,5,"120-1",20,542.5,0,0,6
"1248.3",1,2,1,5,"120-1",20,542.5,0,0,6
"1248.4",1,2,1,5,"120-1",20,542.5,0,0,6
"1248.5",1,2,1,5,"120-1",20,542.5,0,0,6
"1249",1,2,1,6,"139-2",20,254.0666667,1,1,5
"1249.1",1,2,1,6,"139-2",20,254.0666667,1,1,5
"1249.2",1,2,1,6,"139-2",20,254.0666667,1,1,5
"1249.3",1,2,1,6,"139-2",20,254.0666667,1,1,5
"1249.4",1,2,1,6,"139-2",20,254.0666667,1,1,5
"1250",1,2,1,6,"139-2",20,303.3333333,1,1,1
"1251",1,2,1,6,"139-2",20,349.95,1,1,1
"1252",1,2,1,6,"139-2",20,542.5,0,1,1
"1253",1,2,1,6,"139-2",20,542.5,0,0,2
"1253.1",1,2,1,6,"139-2",20,542.5,0,0,2
"1254",1,2,1,7,"217-1",10,108.4333333,1,1,2
"1254.1",1,2,1,7,"217-1",10,108.4333333,1,1,2
"1255",1,2,1,7,"217-1",10,156.35,1,1,2
"1255.1",1,2,1,7,"217-1",10,156.35,1,1,2
"1256",1,2,1,7,"217-1",10,206.3333333,1,1,4
"1256.1",1,2,1,7,"217-1",10,206.3333333,1,1,4
"1256.2",1,2,1,7,"217-1",10,206.3333333,1,1,4
"1256.3",1,2,1,7,"217-1",10,206.3333333,1,1,4
"1257",1,2,1,7,"217-1",10,254.0666667,1,1,1
"1258",1,2,1,7,"217-1",10,349.95,1,1,1
"1259",1,2,1,8,"134-2",15,156.35,1,1,1
"1260",1,2,1,8,"134-2",15,206.3333333,1,1,5
"1260.1",1,2,1,8,"134-2",15,206.3333333,1,1,5
"1260.2",1,2,1,8,"134-2",15,206.3333333,1,1,5
"1260.3",1,2,1,8,"134-2",15,206.3333333,1,1,5
"1260.4",1,2,1,8,"134-2",15,206.3333333,1,1,5
"1261",1,2,1,8,"134-2",15,349.95,1,1,1
"1262",1,2,1,8,"134-2",15,542.5,0,1,1
"1263",1,2,1,8,"134-2",15,542.5,0,0,2
"1263.1",1,2,1,8,"134-2",15,542.5,0,0,2
"1264",1,2,1,10,"213-2",0,108.4333333,1,1,8
"1264.1",1,2,1,10,"213-2",0,108.4333333,1,1,8
"1264.2",1,2,1,10,"213-2",0,108.4333333,1,1,8
"1264.3",1,2,1,10,"213-2",0,108.4333333,1,1,8
"1264.4",1,2,1,10,"213-2",0,108.4333333,1,1,8
"1264.5",1,2,1,10,"213-2",0,108.4333333,1,1,8
"1264.6",1,2,1,10,"213-2",0,108.4333333,1,1,8
"1264.7",1,2,1,10,"213-2",0,108.4333333,1,1,8
"1265",1,2,1,10,"213-2",0,156.35,1,1,1
"1266",1,2,1,10,"213-2",0,206.3333333,1,1,1
"1267",1,2,1,11,"139-2",10,108.4333333,1,1,5
"1267.1",1,2,1,11,"139-2",10,108.4333333,1,1,5
"1267.2",1,2,1,11,"139-2",10,108.4333333,1,1,5
"1267.3",1,2,1,11,"139-2",10,108.4333333,1,1,5
"1267.4",1,2,1,11,"139-2",10,108.4333333,1,1,5
"1268",1,2,1,11,"139-2",10,156.35,1,1,3
"1268.1",1,2,1,11,"139-2",10,156.35,1,1,3
"1268.2",1,2,1,11,"139-2",10,156.35,1,1,3
"1269",1,2,1,11,"139-2",10,396.2833333,1,1,1
"1270",1,2,1,11,"139-2",10,542.5,0,0,1
"1271",1,2,1,12,"144-2",20,108.4333333,1,1,1
"1272",1,2,1,12,"144-2",20,156.35,1,1,5
"1272.1",1,2,1,12,"144-2",20,156.35,1,1,5
"1272.2",1,2,1,12,"144-2",20,156.35,1,1,5
"1272.3",1,2,1,12,"144-2",20,156.35,1,1,5
"1272.4",1,2,1,12,"144-2",20,156.35,1,1,5
"1273",1,2,1,12,"144-2",20,206.3333333,1,1,3
