"","sampleid","line","X","rep","run","shelf","plate","trt","end","status","viable","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use"
"36","CanAbasolo1","215-1",3082,2,3,5,170,10,60.45,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"37","CanAbasolo1","215-1",5172.1,3,6,7,248,10,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"38","CanAbasolo1","215-1",947.1,1,1,7,245,20,542.5,0,0,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"39","CanAbasolo1","215-1",298,1,1,3,78,15,198.2166667,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"40","CanAbasolo1","215-1",8306,4,8,5,176,15,114.25,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"41","CanAbasolo1","215-1",299.1,1,1,3,78,15,542.5,0,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"42","CanAbasolo1","215-1",3082.1,2,3,5,170,10,60.45,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"43","CanAbasolo1","215-1",4306.1,2,3,8,269,0,157.05,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"44","CanAbasolo1","215-1",4916.2,3,6,1,17,0,528,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"45","CanAbasolo1","215-1",8637.4,4,8,8,276,10,500,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"46","CanAbasolo1","215-1",947.2,1,1,7,245,20,542.5,0,0,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"47","CanAbasolo1","215-1",381,1,1,3,96,0,542.5,0,0,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"48","CanAbasolo1","215-1",298.1,1,1,3,78,15,198.2166667,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"49","CanAbasolo1","215-1",4916.1,3,6,1,17,0,528,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"50","CanAbasolo1","215-1",4916,3,6,1,17,0,528,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"51","CanAbasolo1","215-1",6186,3,6,2,37,15,167.99,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"52","CanAbasolo1","215-1",4306.2,2,3,8,269,0,157.05,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"53","CanAbasolo1","215-1",378,1,1,3,96,0,150.4333333,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"54","CanAbasolo1","215-1",7930,4,8,2,56,20,404,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"55","CanAbasolo1","215-1",8306.1,4,8,5,176,15,114.25,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"56","CanAbasolo1","215-1",2798.1,2,3,3,78,20,496,0,0,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"57","CanAbasolo1","215-1",7931,4,8,2,56,20,500,0,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"58","CanAbasolo1","215-1",918,1,1,7,237,10,542.5,0,0,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"59","CanAbasolo1","215-1",3083,2,3,5,170,10,496,0,0,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"60","CanAbasolo1","215-1",8637,4,8,8,276,10,500,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"61","CanAbasolo1","215-1",4306,2,3,8,269,0,157.05,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"62","CanAbasolo1","215-1",6136.1,3,6,1,17,0,120.03,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"63","CanAbasolo1","215-1",4466,2,3,9,322,15,496,0,0,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"64","CanAbasolo1","215-1",2796,2,3,3,78,20,157.8666667,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"65","CanAbasolo1","215-1",3081.5,2,3,5,170,10,157.5,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"66","CanAbasolo1","215-1",2794,2,3,3,78,20,254.85,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"67","CanAbasolo1","215-1",917.1,1,1,7,237,10,542.5,0,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"68","CanAbasolo1","215-1",3081.2,2,3,5,170,10,157.5,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"69","CanAbasolo1","215-1",4939.4,3,6,2,37,15,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"70","CanAbasolo1","215-1",913.3,1,1,7,237,10,102.1833333,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"71","CanAbasolo1","215-1",8404,4,8,6,207,0,308.5,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"72","CanAbasolo1","215-1",4465,2,3,9,322,15,156.7,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"73","CanAbasolo1","215-1",8405.4,4,8,6,207,0,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"74","CanAbasolo1","215-1",4939.1,3,6,2,37,15,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"75","CanAbasolo1","215-1",2796.1,2,3,3,78,20,157.8666667,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"76","CanAbasolo1","215-1",3081.1,2,3,5,170,10,157.5,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"77","CanAbasolo1","215-1",4466.1,2,3,9,322,15,496,0,0,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"78","CanAbasolo1","215-1",4465.4,2,3,9,322,15,156.7,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"79","CanAbasolo1","215-1",8405.6,4,8,6,207,0,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"80","CanAbasolo1","215-1",4465.3,2,3,9,322,15,156.7,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"81","CanAbasolo1","215-1",5002.1,3,6,3,94,20,528,0,0,8,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"82","CanAbasolo1","215-1",377.1,1,1,3,96,0,101.9833333,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"83","CanAbasolo1","215-1",944.3,1,1,7,245,20,198.4833333,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"84","CanAbasolo1","215-1",2798,2,3,3,78,20,496,0,0,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"85","CanAbasolo1","215-1",4939.5,3,6,2,37,15,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"86","CanAbasolo1","215-1",6136.2,3,6,1,17,0,120.03,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"87","CanAbasolo1","215-1",5172.2,3,6,7,248,10,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"88","CanAbasolo1","215-1",8405.5,4,8,6,207,0,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"89","CanAbasolo1","215-1",4466.3,2,3,9,322,15,496,0,0,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"90","CanAbasolo1","215-1",6657,3,6,7,248,10,120.03,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"91","CanAbasolo1","215-1",381.1,1,1,3,96,0,542.5,0,0,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
