,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use
38,CanAbasolo1,215-1,801,1,1,7,237,10,246.2833333,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
39,CanAbasolo1,215-1,5590.1,3,6,1,17,0,528,0,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
40,CanAbasolo1,215-1,803,1,1,7,237,10,542.5,0,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
41,CanAbasolo1,215-1,5686.2,3,6,2,37,15,528,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
42,CanAbasolo1,215-1,6666,3,6,7,248,10,528,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
43,CanAbasolo1,215-1,5952.2,3,6,3,94,20,528,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
44,CanAbasolo1,215-1,5952.1,3,6,3,94,20,528,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
45,CanAbasolo1,215-1,3252.1,2,3,9,322,15,156.7,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
46,CanAbasolo1,215-1,2557.1,2,3,3,78,20,206.75,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
47,CanAbasolo1,215-1,2818.5,2,3,5,170,10,157.5,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
48,CanAbasolo1,215-1,8502.1,4,8,5,176,15,114.25,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
49,CanAbasolo1,215-1,8504.4,4,8,5,176,15,114.25,0,5,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
50,CanAbasolo1,215-1,8103.3,4,8,2,56,20,500,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
51,CanAbasolo1,215-1,8506,4,8,5,176,15,404,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
52,CanAbasolo1,215-1,3253.3,2,3,9,322,15,496,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
53,CanAbasolo1,215-1,803.1,1,1,7,237,10,542.5,0,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
54,CanAbasolo1,215-1,5951,3,6,3,94,20,528,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
55,CanAbasolo1,215-1,799.2,1,1,7,237,10,102.1833333,1,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
