,X.1,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
15901,15901,CanSPablo10,185-2,2707.8,2,3,4,130,0,158.2,1,9,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,3_130
15902,15902,CanSPablo10,185-2,1868.2,1,2,6,213,10,155.5,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_213
15903,15903,CanSPablo10,185-2,1469.1,1,2,3,106,20,494.7,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_106
15904,15904,CanSPablo10,185-2,1705,1,2,5,169,0,205.8,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_169
15906,15906,CanSPablo10,185-2,4191.1,3,5,1,6,15,Inf,1,8,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_6
15907,15907,CanSPablo10,185-2,1869.3,1,2,6,213,10,205.7,1,4,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_213
15908,15908,CanSPablo10,185-2,1470.1,1,2,3,106,20,542.4,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_106
15909,15909,CanSPablo10,185-2,1868.1,1,2,6,213,10,155.5,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_213
15910,15910,CanSPablo10,185-2,1868,1,2,6,213,10,155.5,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_213
15911,15911,CanSPablo10,185-2,4378.3,3,5,2,51,10,207,1,4,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_51
15912,15912,CanSPablo10,185-2,1708,1,2,5,169,0,Inf,0,1,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_169
15913,15913,CanSPablo10,185-2,2706,2,3,4,130,0,207.2,1,1,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,3_130
15914,15914,CanSPablo10,185-2,8657.1,4,8,6,215,0,163.7,1,6,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_215
15915,15915,CanSPablo10,185-2,1391,1,2,3,86,15,206.1,1,1,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_86
15916,15916,CanSPablo10,185-2,8656.1,4,8,6,215,0,114.2,1,2,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_215
15918,15918,CanSPablo10,185-2,8878.2,4,8,8,278,15,258,1,4,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_278
15919,15919,CanSPablo10,185-2,1393,1,2,3,86,15,302.9,1,2,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_86
15920,15920,CanSPablo10,185-2,1470.2,1,2,3,106,20,542.4,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_106
15921,15921,CanSPablo10,185-2,1470,1,2,3,106,20,542.4,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_106
15922,15922,CanSPablo10,185-2,1469,1,2,3,106,20,494.7,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_106
15923,15923,CanSPablo10,185-2,2707.3,2,3,4,130,0,158.2,1,9,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,3_130
15925,15925,CanSPablo10,185-2,1467,1,2,3,106,20,302.9,1,1,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_106
15926,15926,CanSPablo10,185-2,1707.1,1,2,5,169,0,302.7,1,2,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_169
15927,15927,CanSPablo10,185-2,2707.2,2,3,4,130,0,158.2,1,9,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,3_130
15928,15928,CanSPablo10,185-2,1468,1,2,3,106,20,395.9,1,1,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_106
15929,15929,CanSPablo10,185-2,8878.1,4,8,8,278,15,258,1,4,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_278
15930,15930,CanSPablo10,185-2,1704,1,2,5,169,0,155.6,1,1,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_169
15931,15931,CanSPablo10,185-2,1466,1,2,3,106,20,253.8,1,1,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_106
15933,15933,CanSPablo10,185-2,2613.3,2,3,3,96,10,157.9,1,8,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,3_96
15935,15935,CanSPablo10,185-2,2613,2,3,3,96,10,157.9,1,8,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,3_96
15936,15936,CanSPablo10,185-2,8656,4,8,6,215,0,114.2,1,2,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_215
15937,15937,CanSPablo10,185-2,8880,4,8,8,278,15,Inf,0,1,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_278
15938,15938,CanSPablo10,185-2,2613.6,2,3,3,96,10,157.9,1,8,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,3_96
15940,15940,CanSPablo10,185-2,4846.2,3,5,5,165,0,156.8,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_165
15941,15941,CanSPablo10,185-2,8128.2,4,8,2,63,10,114.2,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_63
15942,15942,CanSPablo10,185-2,2707.6,2,3,4,130,0,158.2,1,9,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,3_130
15943,15943,CanSPablo10,185-2,4191.6,3,5,1,6,15,Inf,1,8,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_6
15945,15945,CanSPablo10,185-2,2613.4,2,3,3,96,10,157.9,1,8,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,3_96
15946,15946,CanSPablo10,185-2,4847.4,3,5,5,165,0,207,1,7,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_165
15947,15947,CanSPablo10,185-2,4847.3,3,5,5,165,0,207,1,7,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_165
15948,15948,CanSPablo10,185-2,4847.1,3,5,5,165,0,207,1,7,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_165
15950,15950,CanSPablo10,185-2,4191.2,3,5,1,6,15,Inf,1,8,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_6
15952,15952,CanSPablo10,185-2,4378.1,3,5,2,51,10,207,1,4,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_51
15953,15953,CanSPablo10,185-2,2613.7,2,3,3,96,10,157.9,1,8,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,3_96
15954,15954,CanSPablo10,185-2,8876.1,4,8,8,278,15,164,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_278
15955,15955,CanSPablo10,185-2,4377,3,5,2,51,10,156.8,1,2,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_51
15957,15957,CanSPablo10,185-2,2612,2,3,3,96,10,206.8,1,2,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,3_96
15958,15958,CanSPablo10,185-2,4847,3,5,5,165,0,207,1,7,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_165
15959,15959,CanSPablo10,185-2,1869.2,1,2,6,213,10,205.7,1,4,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_213
15960,15960,CanSPablo10,185-2,8129,4,8,2,63,10,163.5,1,6,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_63
15961,15961,CanSPablo10,185-2,4847.2,3,5,5,165,0,207,1,7,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_165
15962,15962,CanSPablo10,185-2,4378,3,5,2,51,10,207,1,4,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_51
15963,15963,CanSPablo10,185-2,4847.5,3,5,5,165,0,207,1,7,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_165
15964,15964,CanSPablo10,185-2,8129.2,4,8,2,63,10,163.5,1,6,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_63
15967,15967,CanSPablo10,185-2,8128.1,4,8,2,63,10,114.2,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_63
15969,15969,CanSPablo10,185-2,1394,1,2,3,86,15,349.6,1,1,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_86
15971,15971,CanSPablo10,185-1,1134.3,1,2,1,16,10,206.3,1,7,14Tus185-1,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_16
15972,15972,CanSPablo10,185-1,6955.1,3,6,9,312,10,168,1,4,14Tus185-1,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,6_312
15975,15975,CanSPablo10,185-2,7967.1,4,8,1,22,20,211,1,4,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_22
15977,15977,CanSPablo10,185-2,4191.5,3,5,1,6,15,Inf,1,8,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_6
15978,15978,CanSPablo10,185-2,8129.3,4,8,2,63,10,163.5,1,6,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_63
15979,15979,CanSPablo10,185-2,1870.1,1,2,6,213,10,253.8,1,2,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_213
15980,15980,CanSPablo10,185-2,8877,4,8,8,278,15,211,1,1,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_278
15981,15981,CanSPablo10,185-2,2613.5,2,3,3,96,10,157.9,1,8,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,3_96
15982,15982,CanSPablo10,185-2,2707.7,2,3,4,130,0,158.2,1,9,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,3_130
15983,15983,CanSPablo10,185-2,8876.2,4,8,8,278,15,164,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_278
15984,15984,CanSPablo10,185-2,8129.4,4,8,2,63,10,163.5,1,6,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_63
15985,15985,CanSPablo10,185-2,1396,1,2,3,86,15,Inf,0,1,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_86
15988,15988,CanSPablo10,185-2,4191.4,3,5,1,6,15,Inf,1,8,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,5_6
15989,15989,CanSPablo10,185-2,7967,4,8,1,22,20,211,1,4,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_22
15991,15991,CanSPablo10,185-2,8876,4,8,8,278,15,164,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_278
15992,15992,CanSPablo10,185-2,8657.3,4,8,6,215,0,163.7,1,6,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_215
15993,15993,CanSPablo10,185-2,8129.1,4,8,2,63,10,163.5,1,6,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_63
15994,15994,CanSPablo10,185-2,1393.1,1,2,3,86,15,302.9,1,2,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,2_86
15996,15996,CanSPablo10,185-2,8128,4,8,2,63,10,114.2,1,3,14Tus185-2,11/10/14,Tus,central valleys,Tus_38,landrace,Tusta,Milpa,Dry,8_63
16160,16160,CanSPablo4,181-1,4,1,1,1,1,0,Inf,0,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_1
16161,16161,CanSPablo4,181-1,8055.2,4,8,2,44,15,163.5,1,8,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_44
16164,16164,CanSPablo4,181-1,4601.3,3,5,3,105,10,156.8,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_105
16166,16166,CanSPablo4,181-1,3,1,1,1,1,0,342,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_1
16167,16167,CanSPablo4,181-1,4602,3,5,3,105,10,207,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_105
16170,16170,CanSPablo4,181-1,4941,3,5,6,186,0,109.5,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_186
16173,16173,CanSPablo4,181-1,3387.1,2,4,2,46,10,114.5,1,6,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,4_46
16174,16174,CanSPablo4,181-1,4599,3,5,3,105,10,61.8,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_105
16175,16175,CanSPablo4,181-1,8613.2,4,8,6,206,10,114.2,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_206
16176,16176,CanSPablo4,181-1,1.1,1,1,1,1,0,101.9,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_1
16177,16177,CanSPablo4,181-1,2,1,1,1,1,0,150.3,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_1
16178,16178,CanSPablo4,181-1,8054,4,8,2,44,15,114.2,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_44
16179,16179,CanSPablo4,181-1,613.2,1,1,5,175,15,150.5,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_175
16180,16180,CanSPablo4,181-1,4944.1,3,5,6,186,0,254,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_186
16182,16182,CanSPablo4,181-1,1,1,1,1,1,0,101.9,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_1
16183,16183,CanSPablo4,181-1,4601,3,5,3,105,10,156.8,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_105
16186,16186,CanSPablo4,181-1,8965.1,4,8,9,296,0,164,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_296
16187,16187,CanSPablo4,181-1,8966.1,4,8,9,296,0,211,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_296
16188,16188,CanSPablo4,181-1,4785.1,3,5,5,150,15,397.5,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_150
16189,16189,CanSPablo4,181-1,325.4,1,1,3,95,20,295.1,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_95
16190,16190,CanSPablo4,181-1,3387.4,2,4,2,46,10,114.5,1,6,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,4_46
16191,16191,CanSPablo4,181-1,8612.4,4,8,6,206,10,65.8,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_206
16194,16194,CanSPablo4,181-1,8964.1,4,8,9,296,0,114.2,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_296
16195,16195,CanSPablo4,181-1,326.1,1,1,3,95,20,342.2,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_95
16196,16196,CanSPablo4,181-1,8964,4,8,9,296,0,114.2,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_296
16197,16197,CanSPablo4,181-1,8614,4,8,6,206,10,163.7,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_206
16200,16200,CanSPablo4,181-1,3387.2,2,4,2,46,10,114.5,1,6,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,4_46
16201,16201,CanSPablo4,181-1,4945.1,3,5,6,186,0,352,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_186
16202,16202,CanSPablo4,181-1,1.2,1,1,1,1,0,101.9,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_1
16205,16205,CanSPablo4,181-1,614.2,1,1,5,175,15,198.4,1,4,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_175
16206,16206,CanSPablo4,181-1,3387.5,2,4,2,46,10,114.5,1,6,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,4_46
16209,16209,CanSPablo4,181-1,8210.2,4,8,3,88,20,211,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_88
16211,16211,CanSPablo4,181-1,8613,4,8,6,206,10,114.2,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_206
16212,16212,CanSPablo4,181-1,8055.6,4,8,2,44,15,163.5,1,8,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_44
16213,16213,CanSPablo4,181-1,325.3,1,1,3,95,20,295.1,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_95
16214,16214,CanSPablo4,181-1,3387,2,4,2,46,10,114.5,1,6,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,4_46
16216,16216,CanSPablo4,181-1,615,1,1,5,175,15,295.1,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_175
16218,16218,CanSPablo4,181-1,8613.1,4,8,6,206,10,114.2,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_206
16219,16219,CanSPablo4,181-1,4944,3,5,6,186,0,254,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_186
16220,16220,CanSPablo4,181-1,3387.3,2,4,2,46,10,114.5,1,6,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,4_46
16222,16222,CanSPablo4,181-1,3386.2,2,4,2,46,10,160.3,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,4_46
16224,16224,CanSPablo4,181-1,4942.1,3,5,6,186,0,156.8,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_186
16225,16225,CanSPablo4,181-1,8209,4,8,3,88,20,163.7,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_88
16227,16227,CanSPablo4,181-1,8612,4,8,6,206,10,65.8,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_206
16228,16228,CanSPablo4,181-1,326,1,1,3,95,20,342.2,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_95
16229,16229,CanSPablo4,181-1,8210.1,4,8,3,88,20,211,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_88
16230,16230,CanSPablo4,181-1,8055.5,4,8,2,44,15,163.5,1,8,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_44
16231,16231,CanSPablo4,181-1,8210,4,8,3,88,20,211,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_88
16232,16232,CanSPablo4,181-1,325,1,1,3,95,20,295.1,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_95
16233,16233,CanSPablo4,181-1,4943,3,5,6,186,0,207,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_186
16234,16234,CanSPablo4,181-1,325.1,1,1,3,95,20,295.1,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_95
16239,16239,CanSPablo4,181-1,614.3,1,1,5,175,15,198.4,1,4,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_175
16240,16240,CanSPablo4,181-1,3386,2,4,2,46,10,160.3,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,4_46
16244,16244,CanSPablo4,181-1,616,1,1,5,175,15,Inf,0,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_175
16246,16246,CanSPablo4,181-1,4942.2,3,5,6,186,0,156.8,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_186
16248,16248,CanSPablo4,181-1,614.1,1,1,5,175,15,198.4,1,4,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_175
16249,16249,CanSPablo4,181-1,8612.1,4,8,6,206,10,65.8,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_206
16250,16250,CanSPablo4,181-1,614,1,1,5,175,15,198.4,1,4,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_175
16251,16251,CanSPablo4,181-1,4782,3,5,5,150,15,109.5,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_150
16254,16254,CanSPablo4,181-1,8968,4,8,9,296,0,Inf,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_296
16255,16255,CanSPablo4,181-1,4784.1,3,5,5,150,15,254,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_150
16257,16257,CanSPablo4,181-1,4942,3,5,6,186,0,156.8,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_186
16258,16258,CanSPablo4,181-1,4600.1,3,5,3,105,10,109.5,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_105
16259,16259,CanSPablo4,181-1,4601.1,3,5,3,105,10,156.8,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_105
16260,16260,CanSPablo4,181-1,4788,3,5,5,150,15,Inf,0,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_150
16261,16261,CanSPablo4,181-1,4945,3,5,6,186,0,352,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_186
16262,16262,CanSPablo4,181-1,8053,4,8,2,44,15,65.8,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_44
16263,16263,CanSPablo4,181-1,4782.1,3,5,5,150,15,109.5,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_150
16266,16266,CanSPablo4,181-1,613.1,1,1,5,175,15,150.5,1,3,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_175
16267,16267,CanSPablo4,181-1,612,1,1,5,175,15,54.1,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_175
16268,16268,CanSPablo4,181-1,4785,3,5,5,150,15,397.5,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_150
16270,16270,CanSPablo4,181-1,3388,2,4,2,46,10,Inf,0,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,4_46
16271,16271,CanSPablo4,181-1,8213,4,8,3,88,20,356.6,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_88
16272,16272,CanSPablo4,181-1,4786,3,5,5,150,15,446,1,1,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,5_150
16273,16273,CanSPablo4,181-1,1.3,1,1,1,1,0,101.9,1,5,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,1_1
16275,16275,CanSPablo4,181-1,8965,4,8,9,296,0,164,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_296
16276,16276,CanSPablo4,181-1,8211,4,8,3,88,20,258,1,2,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_88
16277,16277,CanSPablo4,181-1,8055,4,8,2,44,15,163.5,1,8,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry,8_44
