,X.1,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
2008,2008,CanCoat2,128-1,3763,2,4,5,174,0,208.1,1,2,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,4_174
2018,2018,CanCoat2,128-2,6952,3,6,9,311,15,527.8,1,7,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
2025,2025,CanCoat2,128-1,7975.1,4,8,1,26,20,211,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
2029,2029,CanCoat2,128-1,3765,2,4,5,174,0,Inf,0,1,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,4_174
2032,2032,CanCoat2,128-1,3762,2,4,5,174,0,496.9,1,1,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,4_174
2049,2049,CanCoat2,128-1,7978,4,8,1,26,20,Inf,1,1,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
2073,2073,CanCoat2,128-1,3764.1,2,4,5,174,0,114.3,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,4_174
2550,2550,CanCoat6,131-1,6915,3,6,9,302,0,Inf,1,3,14CAg131-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_302
2571,2571,CanCoat6,131-1,6916,3,6,9,302,0,Inf,0,1,14CAg131-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_302
2572,2572,CanCoat6,131-1,6915.1,3,6,9,302,0,Inf,1,3,14CAg131-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_302
2577,2577,CanCoat6,131-1,6913,3,6,9,302,0,168,1,2,14CAg131-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_302
2583,2583,CanCoat6,131-1,6915.2,3,6,9,302,0,Inf,1,3,14CAg131-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_302
2584,2584,CanCoat6,131-1,6912.1,3,6,9,302,0,120,1,2,14CAg131-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_302
2597,2597,CanCoat6,131-1,6914,3,6,9,302,0,215.7,1,2,14CAg131-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_302
2611,2611,CanCoat6,131-1,6912,3,6,9,302,0,120,1,2,14CAg131-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_302
2624,2624,CanCoat6,131-1,6914.1,3,6,9,302,0,215.7,1,2,14CAg131-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_302
2631,2631,CanCoat6,131-1,6913.1,3,6,9,302,0,168,1,2,14CAg131-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_302
2633,2633,CanCoat6,131-2,6734.1,3,6,8,266,20,Inf,1,2,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_266
2637,2637,CanCoat6,131-2,3111.7,2,3,8,273,10,157.1,1,9,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,3_273
2643,2643,CanCoat6,131-2,6730,3,6,8,266,20,215.7,1,2,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_266
2648,2648,CanCoat6,131-2,8837,4,8,8,268,10,Inf,0,1,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_268
2649,2649,CanCoat6,131-2,8833.1,4,8,8,268,10,114.2,1,4,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_268
2661,2661,CanCoat6,131-2,3112,2,3,8,273,10,Inf,0,1,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,3_273
2664,2664,CanCoat6,131-2,8833.2,4,8,8,268,10,114.2,1,4,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_268
2671,2671,CanCoat6,131-2,8833.3,4,8,8,268,10,114.2,1,4,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_268
2674,2674,CanCoat6,131-2,3111.2,2,3,8,273,10,157.1,1,9,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,3_273
2685,2685,CanCoat6,131-2,8833,4,8,8,268,10,114.2,1,4,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_268
2687,2687,CanCoat6,131-2,6731,3,6,8,266,20,264.1,1,1,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_266
2688,2688,CanCoat6,131-2,3111.5,2,3,8,273,10,157.1,1,9,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,3_273
2689,2689,CanCoat6,131-2,3111.1,2,3,8,273,10,157.1,1,9,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,3_273
2694,2694,CanCoat6,131-2,6734,3,6,8,266,20,Inf,1,2,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_266
2698,2698,CanCoat6,131-2,3111.3,2,3,8,273,10,157.1,1,9,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,3_273
2700,2700,CanCoat6,131-2,3111.4,2,3,8,273,10,157.1,1,9,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,3_273
2701,2701,CanCoat6,131-2,6730.1,3,6,8,266,20,215.7,1,2,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_266
2702,2702,CanCoat6,131-2,6732,3,6,8,266,20,360.1,1,1,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_266
2703,2703,CanCoat6,131-2,6733,3,6,8,266,20,527.8,1,1,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_266
