"","X.1","sampleid","line","X","rep","run","shelf","plate","trt","end","status","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"926",926,"CanAnil3","77-1",103,1,"1",1,29,0,150.3,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_29"
"929",929,"CanAnil3","77-1",85.3,1,"1",1,24,15,150.3,1,5,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_24"
"931",931,"CanAnil3","77-1",103.2,1,"1",1,29,0,150.3,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_29"
"932",932,"CanAnil3","77-1",30.5,1,"1",1,9,10,101.9,1,7,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_9"
"934",934,"CanAnil3","77-1",85.4,1,"1",1,24,15,150.3,1,5,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_24"
"938",938,"CanAnil3","77-1",103.3,1,"1",1,29,0,150.3,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_29"
"940",940,"CanAnil3","77-1",86.1,1,"1",1,24,15,198.1,1,2,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_24"
"941",941,"CanAnil3","77-1",85,1,"1",1,24,15,150.3,1,5,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_24"
"942",942,"CanAnil3","77-1",86,1,"1",1,24,15,198.1,1,2,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_24"
"944",944,"CanAnil3","77-1",2549.1,2,"3",3,75,10,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_75"
