"","X.1","sampleid","line","X","rep","run","shelf","plate","trt","end","status","viable","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"8070",8070,"CanMani1","202-1",4570.2,2,"4",8,271,0,208.2,1,1,5,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_271"
"8071",8071,"CanMani1","202-1",1704,1,"2",4,121,10,205.8,1,1,5,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_121"
"8072",8072,"CanMani1","202-1",7988,4,"8",3,73,15,258,1,1,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_73"
"8073",8073,"CanMani1","202-1",7989,4,"8",3,73,15,500,1,1,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_73"
"8074",8074,"CanMani1","202-1",4599.1,2,"4",8,281,10,208.2,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_281"
"8075",8075,"CanMani1","202-1",8574.2,4,"8",8,258,0,211,1,1,4,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_258"
"8076",8076,"CanMani1","202-1",8573.3,4,"8",8,258,0,164,1,1,5,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_258"
"8077",8077,"CanMani1","202-1",2466.3,1,"2",9,311,0,205.3,1,1,5,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_311"
"8079",8079,"CanMani1","202-1",8574.1,4,"8",8,258,0,211,1,1,4,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_258"
"8080",8080,"CanMani1","202-1",6703,3,"6",8,271,20,456,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_271"
"8081",8081,"CanMani1","202-1",1704.2,1,"2",4,121,10,205.8,1,1,5,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_121"
"8082",8082,"CanMani1","202-1",4570.3,2,"4",8,271,0,208.2,1,1,5,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_271"
"8083",8083,"CanMani1","202-1",1704.1,1,"2",4,121,10,205.8,1,1,5,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_121"
"8084",8084,"CanMani1","202-1",1705,1,"2",4,121,10,254,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_121"
"8085",8085,"CanMani1","202-1",5193,3,"6",8,271,20,528,0,0,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_271"
"8086",8086,"CanMani1","202-1",1704.3,1,"2",4,121,10,205.8,1,1,5,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_121"
"8087",8087,"CanMani1","202-1",7987,4,"8",3,73,15,211,1,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_73"
"8088",8088,"CanMani1","202-1",7990,4,"8",3,73,15,500,0,1,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_73"
"8090",8090,"CanMani1","202-1",6703.1,3,"6",8,271,20,456,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_271"
"8091",8091,"CanMani1","202-1",6702,3,"6",8,271,20,312,1,1,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_271"
"8093",8093,"CanMani1","202-1",7986.2,4,"8",3,73,15,163.7,1,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_73"
"8094",8094,"CanMani1","202-1",1704.4,1,"2",4,121,10,205.8,1,1,5,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_121"
"8095",8095,"CanMani1","202-1",7987.1,4,"8",3,73,15,211,1,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_73"
"8096",8096,"CanMani1","202-1",7987.2,4,"8",3,73,15,211,1,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_73"
"8097",8097,"CanMani1","202-1",6701.1,3,"6",8,271,20,264.1,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_271"
"8099",8099,"CanMani1","202-1",6750.1,3,"6",9,291,0,527.8,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_291"
"8101",8101,"CanMani1","202-1",1573.6,1,"2",3,89,20,542.5,0,1,9,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_89"
"8102",8102,"CanMani1","202-1",8572,4,"8",8,258,0,114.2,1,1,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_258"
"8103",8103,"CanMani1","202-1",8573.2,4,"8",8,258,0,164,1,1,5,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_258"
"8104",8104,"CanMani1","202-1",7851,4,"8",1,35,10,163.2,1,1,4,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_35"
"8105",8105,"CanMani1","202-1",4098.2,2,"4",7,231,20,497.5,0,1,8,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_231"
"8107",8107,"CanMani1","202-1",2465,1,"2",9,311,0,155.1,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_311"
"8109",8109,"CanMani1","202-1",2466,1,"2",9,311,0,205.3,1,1,5,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_311"
"8112",8112,"CanMani1","202-1",8574.3,4,"8",8,258,0,211,1,1,4,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_258"
"8114",8114,"CanMani1","202-1",7965.1,4,"8",2,66,20,500,0,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_66"
"8115",8115,"CanMani1","202-1",4601.2,2,"4",8,281,10,303.7,1,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_281"
"8116",8116,"CanMani1","202-1",7853.1,4,"8",1,35,10,257,1,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_35"
"8118",8118,"CanMani1","202-1",6701,3,"6",8,271,20,264.1,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_271"
"8120",8120,"CanMani1","202-1",4571,2,"4",8,271,0,256.2,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_271"
"8121",8121,"CanMani1","202-1",1801,1,"2",4,143,15,302.8,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_143"
"8123",8123,"CanMani1","202-1",5194,3,"6",8,271,20,528,0,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_271"
"8124",8124,"CanMani1","202-1",5194.1,3,"6",8,271,20,528,0,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_271"
"8125",8125,"CanMani1","202-1",4098,2,"4",7,231,20,497.5,0,1,8,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_231"
"8127",8127,"CanMani1","202-1",8574,4,"8",8,258,0,211,1,1,4,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_258"
"8128",8128,"CanMani1","202-1",4601,2,"4",8,281,10,303.7,1,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_281"
"8129",8129,"CanMani1","202-1",7963,4,"8",2,66,20,404,1,1,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_66"
"8130",8130,"CanMani1","202-1",7853.2,4,"8",1,35,10,257,1,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_35"
"8131",8131,"CanMani1","202-1",7961,4,"8",2,66,20,257,1,1,4,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_66"
"8132",8132,"CanMani1","202-1",7853,4,"8",1,35,10,257,1,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_35"
"8135",8135,"CanMani1","202-1",6748.1,3,"6",9,291,0,215.7,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_291"
"8137",8137,"CanMani1","202-1",6750,3,"6",9,291,0,527.8,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_291"
"8139",8139,"CanMani1","202-1",1705.1,1,"2",4,121,10,254,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_121"
"8140",8140,"CanMani1","202-1",4097,2,"4",7,231,20,448.8,1,1,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_231"
"8141",8141,"CanMani1","202-1",5194.2,3,"6",8,271,20,528,0,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_271"
"8142",8142,"CanMani1","202-1",7961.3,4,"8",2,66,20,257,1,1,4,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_66"
"8143",8143,"CanMani1","202-1",1706,1,"2",4,121,10,302.8,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_121"
"8144",8144,"CanMani1","202-1",5219.1,3,"6",9,295,15,528,0,0,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_295"
"8145",8145,"CanMani1","202-1",6748,3,"6",9,291,0,215.7,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_291"
"8146",8146,"CanMani1","202-1",7851.1,4,"8",1,35,10,163.2,1,1,4,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_35"
"8147",8147,"CanMani1","202-1",5219,3,"6",9,295,15,528,0,0,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_295"
"8148",8148,"CanMani1","202-1",1799,1,"2",4,143,15,205.8,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_143"
"8149",8149,"CanMani1","202-1",2466.1,1,"2",9,311,0,205.3,1,1,5,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_311"
"8150",8150,"CanMani1","202-1",1802,1,"2",4,143,15,349.4,1,1,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_143"
"8151",8151,"CanMani1","202-1",4098.7,2,"4",7,231,20,497.5,0,1,8,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_231"
"8152",8152,"CanMani1","202-1",2467.1,1,"2",9,311,0,253.6,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_311"
"8153",8153,"CanMani1","202-1",6746,3,"6",9,291,0,120,1,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_291"
"8154",8154,"CanMani1","202-1",2466.2,1,"2",9,311,0,205.3,1,1,5,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_311"
"8155",8155,"CanMani1","202-1",2468,1,"2",9,311,0,302.2,1,1,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_311"
"8156",8156,"CanMani1","202-1",4098.4,2,"4",7,231,20,497.5,0,1,8,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_231"
"8157",8157,"CanMani1","202-1",7852,4,"8",1,35,10,211,1,1,3,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","8_35"
"8158",8158,"CanMani1","202-1",1573.2,1,"2",3,89,20,542.5,0,1,9,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_89"
"8159",8159,"CanMani1","202-1",4573,2,"4",8,271,0,497.5,0,0,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_271"
"8160",8160,"CanMani1","202-1",1801.1,1,"2",4,143,15,302.8,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_143"
"8161",8161,"CanMani1","202-1",4602,2,"4",8,281,10,353.7,1,1,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_281"
"8162",8162,"CanMani1","202-1",2465.1,1,"2",9,311,0,155.1,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_311"
"8163",8163,"CanMani1","202-1",4572,2,"4",8,271,0,497.5,0,1,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_271"
"8164",8164,"CanMani1","202-1",4098.5,2,"4",7,231,20,497.5,0,1,8,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_231"
"8165",8165,"CanMani1","202-1",1706.1,1,"2",4,121,10,302.8,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_121"
"8166",8166,"CanMani1","202-1",4098.6,2,"4",7,231,20,497.5,0,1,8,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_231"
"8167",8167,"CanMani1","202-1",4098.3,2,"4",7,231,20,497.5,0,1,8,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_231"
"8168",8168,"CanMani1","202-1",4099,2,"4",7,231,20,497.5,0,0,1,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_231"
"8169",8169,"CanMani1","202-1",4571.1,2,"4",8,271,0,256.2,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_271"
"8170",8170,"CanMani1","202-1",1573.4,1,"2",3,89,20,542.5,0,1,9,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_89"
"8171",8171,"CanMani1","202-1",6762,3,"6",9,295,15,264.1,1,1,2,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","6_295"
"8172",8172,"CanMani1","202-1",4098.1,2,"4",7,231,20,497.5,0,1,8,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","4_231"
"8173",8173,"CanMani1","202-1",1573.1,1,"2",3,89,20,542.5,0,1,9,"14Par202-1","11/10/14","Par","yucatan","Par_44","landrace","Paradito","Backyard","","2_89"
"8174",8174,"CanMani11","208-1",6528.1,3,"6",6,186,15,168,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_186"
"8175",8175,"CanMani11","208-1",4932.1,3,"6",1,32,10,528,0,0,2,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_32"
"8176",8176,"CanMani11","208-1",7071,4,"7",2,48,10,153.8,1,1,1,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_48"
"8179",8179,"CanMani11","208-1",4428.2,2,"3",9,308,20,496,0,1,7,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_308"
"8180",8180,"CanMani11","208-1",7195,4,"7",3,95,0,203.7,1,1,5,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_95"
"8181",8181,"CanMani11","208-1",6914.2,4,"7",1,2,15,503,0,1,4,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_2"
"8182",8182,"CanMani11","208-1",2892.2,2,"3",3,107,0,206.8,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_107"
"8183",8183,"CanMani11","208-1",2653.1,2,"3",1,36,15,206.8,1,1,2,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_36"
"8184",8184,"CanMani11","208-1",7195.1,4,"7",3,95,0,203.7,1,1,5,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_95"
"8185",8185,"CanMani11","208-1",853.3,1,"1",7,222,10,246.3,1,1,4,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_222"
"8186",8186,"CanMani11","208-1",852,1,"1",7,222,10,198.5,1,1,1,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_222"
"8187",8187,"CanMani11","208-1",4933.2,3,"6",1,32,10,528,0,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_32"
"8188",8188,"CanMani11","208-1",853.2,1,"1",7,222,10,246.3,1,1,4,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_222"
"8189",8189,"CanMani11","208-1",6258.4,3,"6",3,73,0,264.1,1,1,6,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_73"
"8191",8191,"CanMani11","208-1",4426.1,2,"3",9,308,20,493.7,1,1,2,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_308"
"8192",8192,"CanMani11","208-1",29.3,1,"1",1,7,15,542.5,0,1,5,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_7"
"8193",8193,"CanMani11","208-1",29,1,"1",1,7,15,542.5,0,1,5,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_7"
"8194",8194,"CanMani11","208-1",7196,4,"7",3,95,0,253,1,1,2,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_95"
"8195",8195,"CanMani11","208-1",6914,4,"7",1,2,15,503,0,1,4,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_2"
"8196",8196,"CanMani11","208-1",884.2,1,"1",7,229,0,246.3,1,1,4,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_229"
"8197",8197,"CanMani11","208-1",883.2,1,"1",7,229,0,198.5,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_229"
"8198",8198,"CanMani11","208-1",6912,4,"7",1,2,15,396,1,1,1,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_2"
"8200",8200,"CanMani11","208-1",856,1,"1",7,222,10,542.5,0,1,1,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_222"
"8201",8201,"CanMani11","208-1",7075,4,"7",2,48,10,396,1,1,1,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_48"
"8202",8202,"CanMani11","208-1",4428.6,2,"3",9,308,20,496,0,1,7,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_308"
"8203",8203,"CanMani11","208-1",6258.2,3,"6",3,73,0,264.1,1,1,6,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_73"
"8204",8204,"CanMani11","208-1",4428,2,"3",9,308,20,496,0,1,7,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_308"
"8205",8205,"CanMani11","208-1",4428.4,2,"3",9,308,20,496,0,1,7,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_308"
"8206",8206,"CanMani11","208-1",2654,2,"3",1,36,15,158,1,1,1,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_36"
"8208",8208,"CanMani11","208-1",6914.1,4,"7",1,2,15,503,0,1,4,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_2"
"8210",8210,"CanMani11","208-1",29.2,1,"1",1,7,15,542.5,0,1,5,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_7"
"8211",8211,"CanMani11","208-1",6528.2,3,"6",6,186,15,168,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_186"
"8213",8213,"CanMani11","208-1",6174,3,"6",1,32,10,264.1,1,1,1,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_32"
"8214",8214,"CanMani11","208-1",854,1,"1",7,222,10,295.4,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_222"
"8215",8215,"CanMani11","208-1",6911.1,4,"7",1,2,15,344.8,1,1,2,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_2"
"8216",8216,"CanMani11","208-1",7194.2,4,"7",3,95,0,153.8,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_95"
"8217",8217,"CanMani11","208-1",4428.5,2,"3",9,308,20,496,0,1,7,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_308"
"8219",8219,"CanMani11","208-1",6176,3,"6",1,32,10,527.8,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_32"
"8221",8221,"CanMani11","208-1",883.1,1,"1",7,229,0,198.5,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_229"
"8222",8222,"CanMani11","208-1",28.2,1,"1",1,7,15,389.9,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_7"
"8223",8223,"CanMani11","208-1",6256,3,"6",3,73,0,168,1,1,2,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_73"
"8224",8224,"CanMani11","208-1",884,1,"1",7,229,0,246.3,1,1,4,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_229"
"8225",8225,"CanMani11","208-1",29.4,1,"1",1,7,15,542.5,0,1,5,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_7"
"8226",8226,"CanMani11","208-1",4234.2,2,"3",7,245,10,206.4,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_245"
"8227",8227,"CanMani11","208-1",4234,2,"3",7,245,10,206.4,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_245"
"8228",8228,"CanMani11","208-1",6258.1,3,"6",3,73,0,264.1,1,1,6,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_73"
"8229",8229,"CanMani11","208-1",885,1,"1",7,229,0,295.4,1,1,1,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_229"
"8230",8230,"CanMani11","208-1",7195.3,4,"7",3,95,0,203.7,1,1,5,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_95"
"8232",8232,"CanMani11","208-1",4233.1,2,"3",7,245,10,254.5,1,1,2,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_245"
"8233",8233,"CanMani11","208-1",7194.1,4,"7",3,95,0,153.8,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_95"
"8234",8234,"CanMani11","208-1",7073,4,"7",2,48,10,298.8,1,1,1,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_48"
"8235",8235,"CanMani11","208-1",6176.2,3,"6",1,32,10,527.8,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_32"
"8236",8236,"CanMani11","208-1",884.1,1,"1",7,229,0,246.3,1,1,4,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_229"
"8237",8237,"CanMani11","208-1",6528,3,"6",6,186,15,168,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_186"
"8238",8238,"CanMani11","208-1",4232.1,2,"3",7,245,10,301.7,1,1,2,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_245"
"8239",8239,"CanMani11","208-1",2890.1,2,"3",3,107,0,302.2,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_107"
"8240",8240,"CanMani11","208-1",6257,3,"6",3,73,0,215.7,1,1,1,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_73"
"8241",8241,"CanMani11","208-1",6258.3,3,"6",3,73,0,264.1,1,1,6,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_73"
"8242",8242,"CanMani11","208-1",7077.1,4,"7",2,48,10,503,0,1,2,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","7_48"
"8243",8243,"CanMani11","208-1",6256.1,3,"6",3,73,0,168,1,1,2,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_73"
"8244",8244,"CanMani11","208-1",30,1,"1",1,7,15,542.5,0,0,1,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_7"
"8245",8245,"CanMani11","208-1",4933,3,"6",1,32,10,528,0,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_32"
"8246",8246,"CanMani11","208-1",29.1,1,"1",1,7,15,542.5,0,1,5,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_7"
"8247",8247,"CanMani11","208-1",6258,3,"6",3,73,0,264.1,1,1,6,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","6_73"
"8248",8248,"CanMani11","208-1",2892,2,"3",3,107,0,206.8,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_107"
"8249",8249,"CanMani11","208-1",2891,2,"3",3,107,0,254.8,1,1,2,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_107"
"8250",8250,"CanMani11","208-1",883,1,"1",7,229,0,198.5,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","1_229"
"8251",8251,"CanMani11","208-1",2890.2,2,"3",3,107,0,302.2,1,1,3,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_107"
"8252",8252,"CanMani11","208-1",2893.1,2,"3",3,107,0,157.9,1,1,2,"14Par208-1","11/10/14","Par","yucatan","Par_48","landrace","Paradito","Backyard","","3_107"
