"","X.1","sampleid","line","X","rep","run","shelf","plate","trt","end","status","viable","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"229",229,"CanAbasolo1","215-2",7761.1,4,"8",1,10,20,257,1,1,2,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","8_10"
"257",257,"CanAbasolo1","215-2",7763.1,4,"8",1,10,20,500,0,0,2,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","8_10"
"275",275,"CanAbasolo1","215-1",2795.1,2,"3",3,78,20,206.8,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_78"
"277",277,"CanAbasolo1","215-1",2793,2,"3",3,78,20,350.4,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_78"
"278",278,"CanAbasolo1","215-1",913,1,"1",7,237,10,102.2,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","1_237"
"279",279,"CanAbasolo1","215-1",2795,2,"3",3,78,20,206.8,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_78"
"283",283,"CanAbasolo1","215-2",7763,4,"8",1,10,20,500,0,0,2,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","8_10"
"297",297,"CanAbasolo1","215-2",7760.1,4,"8",1,10,20,211,1,1,2,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","8_10"
"440",440,"CanAnil1","75-1",82,1,"1",1,22,0,150.3,1,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_22"
"441",441,"CanAnil1","75-1",214,1,"1",2,54,15,542.5,0,0,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_54"
"442",442,"CanAnil1","75-1",2551.3,2,"3",1,11,0,206.8,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_11"
"443",443,"CanAnil1","75-1",13.1,1,"1",1,3,10,246,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_3"
"445",445,"CanAnil1","75-1",7081,4,"7",2,50,0,503,0,0,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_50"
"446",446,"CanAnil1","75-1",2540.1,2,"3",1,8,15,158,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_8"
"447",447,"CanAnil1","75-1",7079.1,4,"7",2,50,0,253,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_50"
"448",448,"CanAnil1","75-1",6930.7,4,"7",1,7,15,503,0,1,9,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_7"
"449",449,"CanAnil1","75-1",2551.4,2,"3",1,11,0,206.8,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_11"
"450",450,"CanAnil1","75-1",210.2,1,"1",2,54,15,198.2,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_54"
"451",451,"CanAnil1","75-1",623,1,"1",5,157,20,295.1,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_157"
"452",452,"CanAnil1","75-1",7079.2,4,"7",2,50,0,253,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_50"
"453",453,"CanAnil1","75-1",210.1,1,"1",2,54,15,198.2,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_54"
"454",454,"CanAnil1","75-1",7715,4,"7",9,305,20,503,0,0,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_305"
"455",455,"CanAnil1","75-1",3122.2,2,"3",6,184,10,205.6,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_184"
