,sampleid,line,rep,run,shelf,plate,trt,read.time,start,end,start.count,end.count,germinated,notes,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
2069,CanSPablo4,181-1,1,1,1,1,0,1/20/16 8:30,0,54,0,0,0,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
2061,CanSPablo4,181-1,1,1,1,1,0,1/22/16 8:24,54,101.9,0,5,5,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
2071,CanSPablo4,181-1,1,1,1,1,0,1/24/16 8:50,101.9,150.33,5,8,3,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
2054,CanSPablo4,181-1,1,1,1,1,0,1/26/16 8:37,150.33,198.12,8,8,0,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
2065,CanSPablo4,181-1,1,1,1,1,0,1/28/16 8:28,198.12,245.97,8,8,0,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
2073,CanSPablo4,181-1,1,1,1,1,0,1/30/16 9:25,245.97,294.92,8,8,0,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
2077,CanSPablo4,181-1,1,1,1,1,0,2/1/16 8:32,294.92,342.03,8,9,1,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
2052,CanSPablo4,181-1,1,1,1,1,0,2/3/16 8:23,342.03,389.88,9,9,0,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
2048,CanSPablo4,181-1,1,1,1,1,0,2/5/16 8:08,389.88,437.63,9,9,0,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
2060,CanSPablo4,181-1,1,1,1,1,0,,437.63,Inf,9,10,1,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
2750,CfrLaguna1,100-1,1,1,1,2,10,1/20/16 8:30,0,54,0,0,0,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2748,CfrLaguna1,100-1,1,1,1,2,10,1/22/16 8:24,54,101.9,0,0,0,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2698,CfrLaguna1,100-1,1,1,1,2,10,1/24/16 8:50,101.9,150.33,0,0,0,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2671,CfrLaguna1,100-1,1,1,1,2,10,1/26/16 8:37,150.33,198.12,0,0,0,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2593,CfrLaguna1,100-1,1,1,1,2,10,1/28/16 8:28,198.12,245.97,0,2,2,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2553,CfrLaguna1,100-1,1,1,1,2,10,1/30/16 9:25,245.97,294.92,2,4,2,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2603,CfrLaguna1,100-1,1,1,1,2,10,2/1/16 8:32,294.92,342.03,4,6,2,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2595,CfrLaguna1,100-1,1,1,1,2,10,2/3/16 8:23,342.03,389.88,6,7,1,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2682,CfrLaguna1,100-1,1,1,1,2,10,2/5/16 8:08,389.88,437.63,7,10,3,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2700,CfrLaguna1,100-1,1,1,1,2,10,,437.63,Inf,10,10,0,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
145,CanAnil1,75-1,1,1,1,3,10,1/20/16 8:30,0,54,0,0,0,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
130,CanAnil1,75-1,1,1,1,3,10,1/22/16 8:24,54,101.9,0,1,1,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
140,CanAnil1,75-1,1,1,1,3,10,1/24/16 8:50,101.9,150.33,1,4,3,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
141,CanAnil1,75-1,1,1,1,3,10,1/26/16 8:37,150.33,198.12,4,7,3,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
120,CanAnil1,75-1,1,1,1,3,10,1/28/16 8:28,198.12,245.97,7,9,2,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
146,CanAnil1,75-1,1,1,1,3,10,1/30/16 9:25,245.97,294.92,9,9,0,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
147,CanAnil1,75-1,1,1,1,3,10,2/1/16 8:32,294.92,342.03,9,9,0,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
148,CanAnil1,75-1,1,1,1,3,10,2/3/16 8:23,342.03,389.88,9,9,0,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
149,CanAnil1,75-1,1,1,1,3,10,2/5/16 8:08,389.88,437.63,9,9,0,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
131,CanAnil1,75-1,1,1,1,3,10,,437.63,Inf,9,10,1,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
483,CanCoat7,132-2,1,1,1,4,15,1/20/16 8:30,0,54,0,0,0,,14CAg132-2,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
487,CanCoat7,132-2,1,1,1,4,15,1/22/16 8:24,54,101.9,0,0,0,,14CAg132-2,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
491,CanCoat7,132-2,1,1,1,4,15,1/24/16 8:50,101.9,150.33,0,2,2,,14CAg132-2,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
476,CanCoat7,132-2,1,1,1,4,15,1/26/16 8:37,150.33,198.12,2,7,5,,14CAg132-2,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
433,CanCoat7,132-2,1,1,1,4,15,1/28/16 8:28,198.12,245.97,7,8,1,,14CAg132-2,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
440,CanCoat7,132-2,1,1,1,4,15,1/30/16 9:25,245.97,294.92,8,8,0,,14CAg132-2,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
468,CanCoat7,132-2,1,1,1,4,15,2/1/16 8:32,294.92,342.03,8,9,1,,14CAg132-2,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
485,CanCoat7,132-2,1,1,1,4,15,2/3/16 8:23,342.03,389.88,9,9,0,,14CAg132-2,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
472,CanCoat7,132-2,1,1,1,4,15,2/5/16 8:08,389.88,437.63,9,9,0,,14CAg132-2,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
497,CanCoat7,132-2,1,1,1,4,15,,437.63,Inf,9,10,1,,14CAg132-2,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
2193,CanStaCruz11,170-1,1,1,1,5,10,1/20/16 8:30,0,54,0,0,0,,14CAg170-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2199,CanStaCruz11,170-1,1,1,1,5,10,1/22/16 8:24,54,101.9,0,4,4,,14CAg170-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2185,CanStaCruz11,170-1,1,1,1,5,10,1/24/16 8:50,101.9,150.33,4,6,2,,14CAg170-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2161,CanStaCruz11,170-1,1,1,1,5,10,1/26/16 8:37,150.33,198.12,6,6,0,,14CAg170-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2197,CanStaCruz11,170-1,1,1,1,5,10,1/28/16 8:28,198.12,245.97,6,6,0,,14CAg170-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2189,CanStaCruz11,170-1,1,1,1,5,10,1/30/16 9:25,245.97,294.92,6,6,0,,14CAg170-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2198,CanStaCruz11,170-1,1,1,1,5,10,2/1/16 8:32,294.92,342.03,6,6,0,,14CAg170-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2183,CanStaCruz11,170-1,1,1,1,5,10,2/3/16 8:23,342.03,389.88,6,6,0,,14CAg170-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2182,CanStaCruz11,170-1,1,1,1,5,10,2/5/16 8:08,389.88,437.63,6,6,0,,14CAg170-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2163,CanStaCruz11,170-1,1,1,1,5,10,,437.63,Inf,6,10,4,,14CAg170-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2226,CanStaCruz14,173-1,1,1,1,6,10,1/20/16 8:30,0,54,0,0,0,,14CAg173-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2238,CanStaCruz14,173-1,1,1,1,6,10,1/22/16 8:24,54,101.9,0,1,1,,14CAg173-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2242,CanStaCruz14,173-1,1,1,1,6,10,1/24/16 8:50,101.9,150.33,1,5,4,,14CAg173-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2225,CanStaCruz14,173-1,1,1,1,6,10,1/26/16 8:37,150.33,198.12,5,6,1,,14CAg173-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2212,CanStaCruz14,173-1,1,1,1,6,10,1/28/16 8:28,198.12,245.97,6,6,0,,14CAg173-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2203,CanStaCruz14,173-1,1,1,1,6,10,1/30/16 9:25,245.97,294.92,6,6,0,,14CAg173-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2210,CanStaCruz14,173-1,1,1,1,6,10,2/1/16 8:32,294.92,342.03,6,6,0,,14CAg173-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2209,CanStaCruz14,173-1,1,1,1,6,10,2/3/16 8:23,342.03,389.88,6,6,0,,14CAg173-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2236,CanStaCruz14,173-1,1,1,1,6,10,2/5/16 8:08,389.88,437.63,6,6,0,,14CAg173-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2214,CanStaCruz14,173-1,1,1,1,6,10,,437.63,Inf,6,10,4,,14CAg173-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
1280,CanMani11,208-1,1,1,1,7,15,1/20/16 8:30,0,54,0,0,0,,14Par208-1,11/10/14,Par,21,Yucatan,Par_48,landrace,Paradito,Backyard,
1226,CanMani11,208-1,1,1,1,7,15,1/22/16 8:24,54,101.9,0,0,0,,14Par208-1,11/10/14,Par,21,Yucatan,Par_48,landrace,Paradito,Backyard,
1225,CanMani11,208-1,1,1,1,7,15,1/24/16 8:50,101.9,150.33,0,0,0,,14Par208-1,11/10/14,Par,21,Yucatan,Par_48,landrace,Paradito,Backyard,
1229,CanMani11,208-1,1,1,1,7,15,1/26/16 8:37,150.33,198.12,0,0,0,,14Par208-1,11/10/14,Par,21,Yucatan,Par_48,landrace,Paradito,Backyard,
1227,CanMani11,208-1,1,1,1,7,15,1/28/16 8:28,198.12,245.97,0,0,0,,14Par208-1,11/10/14,Par,21,Yucatan,Par_48,landrace,Paradito,Backyard,
1221,CanMani11,208-1,1,1,1,7,15,1/30/16 9:25,245.97,294.92,0,1,1,,14Par208-1,11/10/14,Par,21,Yucatan,Par_48,landrace,Paradito,Backyard,
1231,CanMani11,208-1,1,1,1,7,15,2/1/16 8:32,294.92,342.03,1,1,0,,14Par208-1,11/10/14,Par,21,Yucatan,Par_48,landrace,Paradito,Backyard,
1298,CanMani11,208-1,1,1,1,7,15,2/3/16 8:23,342.03,389.88,1,4,3,,14Par208-1,11/10/14,Par,21,Yucatan,Par_48,landrace,Paradito,Backyard,
1224,CanMani11,208-1,1,1,1,7,15,2/5/16 8:08,389.88,437.63,4,4,0,,14Par208-1,11/10/14,Par,21,Yucatan,Par_48,landrace,Paradito,Backyard,
1295,CanMani11,208-1,1,1,1,7,15,,437.63,Inf,4,10,6,,14Par208-1,11/10/14,Par,21,Yucatan,Par_48,landrace,Paradito,Backyard,
173,CanAnil3,77-1,1,1,1,9,10,1/20/16 8:30,0,54,0,0,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
158,CanAnil3,77-1,1,1,1,9,10,1/22/16 8:24,54,101.9,0,7,7,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
164,CanAnil3,77-1,1,1,1,9,10,1/24/16 8:50,101.9,150.33,7,10,3,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
156,CanAnil3,77-1,1,1,1,9,10,1/26/16 8:37,150.33,198.12,10,10,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
157,CanAnil3,77-1,1,1,1,9,10,1/28/16 8:28,198.12,245.97,10,10,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
168,CanAnil3,77-1,1,1,1,9,10,1/30/16 9:25,245.97,294.92,10,10,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
183,CanAnil3,77-1,1,1,1,9,10,2/1/16 8:32,294.92,342.03,10,10,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
160,CanAnil3,77-1,1,1,1,9,10,2/3/16 8:23,342.03,389.88,10,10,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
161,CanAnil3,77-1,1,1,1,9,10,2/5/16 8:08,389.88,437.63,10,10,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
153,CanAnil3,77-1,1,1,1,9,10,,437.63,Inf,10,10,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
2283,CanStaCruz15,174-1,1,1,1,10,0,1/20/16 8:30,0,54,0,0,0,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2303,CanStaCruz15,174-1,1,1,1,10,0,1/22/16 8:24,54,101.9,0,3,3,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2284,CanStaCruz15,174-1,1,1,1,10,0,1/24/16 8:50,101.9,150.33,3,6,3,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2285,CanStaCruz15,174-1,1,1,1,10,0,1/26/16 8:37,150.33,198.12,6,7,1,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2282,CanStaCruz15,174-1,1,1,1,10,0,1/28/16 8:28,198.12,245.97,7,7,0,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2294,CanStaCruz15,174-1,1,1,1,10,0,1/30/16 9:25,245.97,294.92,7,8,1,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2301,CanStaCruz15,174-1,1,1,1,10,0,2/1/16 8:32,294.92,342.03,8,8,0,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2314,CanStaCruz15,174-1,1,1,1,10,0,2/3/16 8:23,342.03,389.88,8,8,0,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2288,CanStaCruz15,174-1,1,1,1,10,0,2/5/16 8:08,389.88,437.63,8,8,0,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2302,CanStaCruz15,174-1,1,1,1,10,0,,437.63,Inf,8,10,2,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
2675,CfrLaguna1,100-1,1,1,1,11,10,1/20/16 8:30,0,54,0,0,0,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2554,CfrLaguna1,100-1,1,1,1,11,10,1/22/16 8:24,54,101.9,0,0,0,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2594,CfrLaguna1,100-1,1,1,1,11,10,1/24/16 8:50,101.9,150.33,0,1,1,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2669,CfrLaguna1,100-1,1,1,1,11,10,1/26/16 8:37,150.33,198.12,1,1,0,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2731,CfrLaguna1,100-1,1,1,1,11,10,1/28/16 8:28,198.12,245.97,1,8,7,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2717,CfrLaguna1,100-1,1,1,1,11,10,1/30/16 9:25,245.97,294.92,8,8,0,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2600,CfrLaguna1,100-1,1,1,1,11,10,2/1/16 8:32,294.92,342.03,8,9,1,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2719,CfrLaguna1,100-1,1,1,1,11,10,2/3/16 8:23,342.03,389.88,9,9,0,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2744,CfrLaguna1,100-1,1,1,1,11,10,2/5/16 8:08,389.88,437.63,9,9,0,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
2601,CfrLaguna1,100-1,1,1,1,11,10,,437.63,Inf,9,10,1,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
981,CanLobera1,140-2,1,1,1,12,15,1/20/16 8:30,0,54,0,0,0,,14CAg140-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1025,CanLobera1,140-2,1,1,1,12,15,1/22/16 8:24,54,101.9,0,0,0,,14CAg140-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1029,CanLobera1,140-2,1,1,1,12,15,1/24/16 8:50,101.9,150.33,0,1,1,,14CAg140-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1008,CanLobera1,140-2,1,1,1,12,15,1/26/16 8:37,150.33,198.12,1,1,0,,14CAg140-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1026,CanLobera1,140-2,1,1,1,12,15,1/28/16 8:28,198.12,245.97,1,2,1,,14CAg140-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
995,CanLobera1,140-2,1,1,1,12,15,1/30/16 9:25,245.97,294.92,2,2,0,,14CAg140-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1031,CanLobera1,140-2,1,1,1,12,15,2/1/16 8:32,294.92,342.03,2,2,0,,14CAg140-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1005,CanLobera1,140-2,1,1,1,12,15,2/3/16 8:23,342.03,389.88,2,2,0,,14CAg140-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
983,CanLobera1,140-2,1,1,1,12,15,2/5/16 8:08,389.88,437.63,2,2,0,,14CAg140-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
996,CanLobera1,140-2,1,1,1,12,15,,437.63,Inf,2,10,8,,14CAg140-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1921,CanSBalta1,187-2,1,1,1,13,10,1/20/16 8:30,0,54,0,0,0,,14Tus187-2,11/10/14,Tus,37,Sierra Madre de la Sur,Tus_39,landrace,Tusta,,Fresh-Dry
1928,CanSBalta1,187-2,1,1,1,13,10,1/22/16 8:24,54,101.9,0,0,0,,14Tus187-2,11/10/14,Tus,37,Sierra Madre de la Sur,Tus_39,landrace,Tusta,,Fresh-Dry
1898,CanSBalta1,187-2,1,1,1,13,10,1/24/16 8:50,101.9,150.33,0,1,1,,14Tus187-2,11/10/14,Tus,37,Sierra Madre de la Sur,Tus_39,landrace,Tusta,,Fresh-Dry
1916,CanSBalta1,187-2,1,1,1,13,10,1/26/16 8:37,150.33,198.12,1,3,2,,14Tus187-2,11/10/14,Tus,37,Sierra Madre de la Sur,Tus_39,landrace,Tusta,,Fresh-Dry
1893,CanSBalta1,187-2,1,1,1,13,10,1/28/16 8:28,198.12,245.97,3,9,6,,14Tus187-2,11/10/14,Tus,37,Sierra Madre de la Sur,Tus_39,landrace,Tusta,,Fresh-Dry
1903,CanSBalta1,187-2,1,1,1,13,10,1/30/16 9:25,245.97,294.92,9,9,0,,14Tus187-2,11/10/14,Tus,37,Sierra Madre de la Sur,Tus_39,landrace,Tusta,,Fresh-Dry
1920,CanSBalta1,187-2,1,1,1,13,10,2/1/16 8:32,294.92,342.03,9,10,1,,14Tus187-2,11/10/14,Tus,37,Sierra Madre de la Sur,Tus_39,landrace,Tusta,,Fresh-Dry
1909,CanSBalta1,187-2,1,1,1,13,10,2/3/16 8:23,342.03,389.88,10,10,0,,14Tus187-2,11/10/14,Tus,37,Sierra Madre de la Sur,Tus_39,landrace,Tusta,,Fresh-Dry
1894,CanSBalta1,187-2,1,1,1,13,10,2/5/16 8:08,389.88,437.63,10,10,0,,14Tus187-2,11/10/14,Tus,37,Sierra Madre de la Sur,Tus_39,landrace,Tusta,,Fresh-Dry
1918,CanSBalta1,187-2,1,1,1,13,10,,437.63,Inf,10,10,0,,14Tus187-2,11/10/14,Tus,37,Sierra Madre de la Sur,Tus_39,landrace,Tusta,,Fresh-Dry
1035,CanLobera1,140-1,1,1,1,14,0,1/20/16 8:30,0,54,0,0,0,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1054,CanLobera1,140-1,1,1,1,14,0,1/22/16 8:24,54,101.9,0,1,1,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1003,CanLobera1,140-1,1,1,1,14,0,1/24/16 8:50,101.9,150.33,1,2,1,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
984,CanLobera1,140-1,1,1,1,14,0,1/26/16 8:37,150.33,198.12,2,3,1,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1047,CanLobera1,140-1,1,1,1,14,0,1/28/16 8:28,198.12,245.97,3,3,0,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
990,CanLobera1,140-1,1,1,1,14,0,1/30/16 9:25,245.97,294.92,3,3,0,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1037,CanLobera1,140-1,1,1,1,14,0,2/1/16 8:32,294.92,342.03,3,3,0,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
