,sampleid,line,rep,run,shelf,plate,trt,read.time,start,end,start.count,end.count,germinated,notes,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
396,CanCoat8,133-1,1,2,1,30,0,2/8/16 20:00,0,60.58333333,0,0,0,,14CAg133-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
365,CanCoat8,133-1,1,2,1,30,0,2/8/16 20:00,60.58333333,108.4333333,0,1,1,,14CAg133-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
393,CanCoat8,133-1,1,2,1,30,0,2/8/16 20:00,108.4333333,156.35,1,2,1,,14CAg133-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
360,CanCoat8,133-1,1,2,1,30,0,2/8/16 20:00,156.35,206.3333333,2,4,2,,14CAg133-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
379,CanCoat8,133-1,1,2,1,30,0,2/8/16 20:00,206.3333333,254.0666667,4,4,0,,14CAg133-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
389,CanCoat8,133-1,1,2,1,30,0,2/8/16 20:00,254.0666667,303.3333333,4,5,1,,14CAg133-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
384,CanCoat8,133-1,1,2,1,30,0,2/8/16 20:00,303.3333333,349.95,5,6,1,,14CAg133-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
374,CanCoat8,133-1,1,2,1,30,0,2/8/16 20:00,349.95,396.2833333,6,6,0,,14CAg133-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
377,CanCoat8,133-1,1,2,1,30,0,2/8/16 20:00,396.2833333,446,6,6,0,,14CAg133-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
361,CanCoat8,133-1,1,2,1,30,0,2/8/16 20:00,446,495.1166667,6,6,0,,14CAg133-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
367,CanCoat8,133-1,1,2,1,30,0,,495.1166667,Inf,6,10,4,,14CAg133-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
1452,CanParaje9,152-1,1,2,1,34,0,2/8/16 20:00,0,60.58333333,0,0,0,,14CAg152-1,11/10/14,CAg,22,Central Valleys,CAg_28,landrace,Chile de Agua,Plantation,Fresh
1417,CanParaje9,152-1,1,2,1,34,0,2/8/16 20:00,60.58333333,108.4333333,0,3,3,,14CAg152-1,11/10/14,CAg,22,Central Valleys,CAg_28,landrace,Chile de Agua,Plantation,Fresh
1416,CanParaje9,152-1,1,2,1,34,0,2/8/16 20:00,108.4333333,156.35,3,9,6,,14CAg152-1,11/10/14,CAg,22,Central Valleys,CAg_28,landrace,Chile de Agua,Plantation,Fresh
1421,CanParaje9,152-1,1,2,1,34,0,2/8/16 20:00,156.35,206.3333333,9,9,0,,14CAg152-1,11/10/14,CAg,22,Central Valleys,CAg_28,landrace,Chile de Agua,Plantation,Fresh
