,X,sampleid,line,rep,run,shelf,plate,trt,type,concatenate,start.day,start.time,start.day.time,read.day.time,start,end,start.count,end.count,germinated,notes,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
5673,5831,CfrLaguna1,100-1,1,2,2,44,0,C2,0+C2+E Coast,2/23/16,10:03,2/8/16 20:15,2/25/16 8:21,349.8,396.1,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5681,5832,CfrLaguna1,100-1,1,2,2,44,0,C2,0+C2+E Coast,2/25/16,8:21,2/8/16 20:15,2/27/16 10:03,396.1,445.8,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5674,5833,CfrLaguna1,100-1,1,2,2,44,0,C2,0+C2+E Coast,2/27/16,10:03,2/8/16 20:15,2/29/16 11:10,445.8,494.9166667,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5678,5834,CfrLaguna1,100-1,1,2,2,44,0,C2,0+C2+E Coast,2/29/16,11:10,2/8/16 20:15,3/2/16 10:44,494.9166667,542.4833333,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5689,5802,CfrLaguna1,100-1,1,1,3,91,0,C2,0+C2+E Coast,2/3/16,8:32,1/18/16 2:30,2/5/16 8:24,390.0333333,437.9,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5701,5842,CfrLaguna1,100-1,1,2,3,99,0,C2,0+C2+E Coast,2/21/16,11:24,2/8/16 20:30,2/23/16 10:06,302.9,349.6,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5696,5843,CfrLaguna1,100-1,1,2,3,99,0,C2,0+C2+E Coast,2/23/16,10:06,2/8/16 20:30,2/25/16 8:24,349.6,395.9,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5703,5678,CfrLaguna1,100-1,1,2,3,99,0,C2,0+C2+E Coast,2/25/16,8:24,2/8/16 20:30,2/27/16 10:03,395.9,445.55,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5695,5679,CfrLaguna1,100-1,1,2,3,99,0,C2,0+C2+E Coast,2/27/16,10:03,2/8/16 20:30,2/29/16 11:13,445.55,494.7166667,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5700,5680,CfrLaguna1,100-1,1,2,3,99,0,C2,0+C2+E Coast,2/29/16,11:13,2/8/16 20:30,3/2/16 10:56,494.7166667,542.4333333,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5801,5898,CfrLaguna1,100-1,1,2,4,122,10,C2,10+C2+E Coast,2/27/16,10:11,2/8/16 20:45,2/29/16 11:16,445.4333333,494.5166667,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5806,5899,CfrLaguna1,100-1,1,2,4,122,10,C2,10+C2+E Coast,2/29/16,11:16,2/8/16 20:45,3/2/16 11:15,494.5166667,542.5,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5926,5706,CfrLaguna1,100-1,1,2,4,125,15,C2,15+C2+E Coast,2/29/16,11:16,2/8/16 20:45,3/2/16 11:15,494.5166667,542.5,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5746,5811,CfrLaguna1,100-1,1,1,7,225,0,C2,0+C2+E Coast,2/1/16,8:59,1/18/16 2:30,2/3/16 8:42,342.4833333,390.2,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5743,5812,CfrLaguna1,100-1,1,1,7,225,0,C2,0+C2+E Coast,2/3/16,8:42,1/18/16 2:30,2/5/16 10:44,390.2,440.2333333,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5841,5919,CfrLaguna1,100-1,1,2,7,239,10,C2,10+C2+E Coast,2/21/16,11:45,2/8/16 21:20,2/23/16 10:20,302.4166667,349,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5835,5920,CfrLaguna1,100-1,1,2,7,239,10,C2,10+C2+E Coast,2/23/16,10:20,2/8/16 21:20,2/25/16 8:41,349,395.35,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5843,5921,CfrLaguna1,100-1,1,2,7,239,10,C2,10+C2+E Coast,2/25/16,8:41,2/8/16 21:20,2/27/16 10:28,395.35,445.1333333,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5836,5922,CfrLaguna1,100-1,1,2,7,239,10,C2,10+C2+E Coast,2/27/16,10:28,2/8/16 21:20,2/29/16 11:26,445.1333333,494.1,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5839,5923,CfrLaguna1,100-1,1,2,7,239,10,C2,10+C2+E Coast,2/29/16,11:26,2/8/16 21:20,3/2/16 11:41,494.1,542.35,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5755,5676,CfrLaguna1,100-1,1,2,7,251,0,C2,0+C2+E Coast,2/21/16,11:45,2/8/16 21:20,2/23/16 10:20,302.4166667,349,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5749,5677,CfrLaguna1,100-1,1,2,7,251,0,C2,0+C2+E Coast,2/23/16,10:20,2/8/16 21:20,2/25/16 8:41,349,395.35,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5757,5681,CfrLaguna1,100-1,1,2,7,251,0,C2,0+C2+E Coast,2/25/16,8:41,2/8/16 21:20,2/27/16 10:28,395.35,445.1333333,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5750,5856,CfrLaguna1,100-1,1,2,7,251,0,C2,0+C2+E Coast,2/27/16,10:28,2/8/16 21:20,2/29/16 11:26,445.1333333,494.1,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5753,5857,CfrLaguna1,100-1,1,2,7,251,0,C2,0+C2+E Coast,2/29/16,11:26,2/8/16 21:20,3/2/16 11:41,494.1,542.35,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5955,5986,CfrLaguna1,100-1,1,2,9,322,15,C2,15+C2+E Coast,2/23/16,10:31,2/8/16 21:45,2/25/16 8:48,348.7666667,395.05,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5964,5987,CfrLaguna1,100-1,1,2,9,322,15,C2,15+C2+E Coast,2/25/16,8:48,2/8/16 21:45,2/27/16 10:34,395.05,444.8166667,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5956,5988,CfrLaguna1,100-1,1,2,9,322,15,C2,15+C2+E Coast,2/27/16,10:34,2/8/16 21:45,2/29/16 11:32,444.8166667,493.7833333,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5959,5989,CfrLaguna1,100-1,1,2,9,322,15,C2,15+C2+E Coast,2/29/16,11:32,2/8/16 21:45,3/2/16 11:57,493.7833333,542.2,10,10,NA,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5782,5872,CfrLaguna1,100-1,1,1,1,11,10,C2,10+C2+E Coast,2/5/16,8:08,2/5/16 8:08,Inf,437.6333333,Inf,9,10,1,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5679,5827,CfrLaguna1,100-1,1,2,2,44,0,C2,0+C2+E Coast,2/21/16,11:24,2/8/16 20:15,2/23/16 10:03,303.15,349.8,9,10,1,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
5894,5960,CfrLaguna1,100-1,1,2,2,57,15,C2,15+C2+E Coast,2/29/16,11:10,2/8/16 20:15,3/2/16 10:44,494.9166667,542.4833333,9,10,1,,14FBo100-1,11/10/14,FBo,18,E Coast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
